"Start",01/07/1954
"End",06/01/2007
"Frequency","D"
"Name","US FEDERAL FUNDS (EFFECTIVE) - MIDDLE RATE"
"Code","FRFEDFD"
"CURRENCY","U$"
01/07/1954,"#NA"
01/08/1954,"#NA"
01/11/1954,"#NA"
01/12/1954,"#NA"
"13/1/1954","#NA"
"14/1/1954","#NA"
"15/1/1954","#NA"
"18/1/1954","#NA"
"19/1/1954","#NA"
"20/1/1954","#NA"
"21/1/1954","#NA"
"22/1/1954","#NA"
"25/1/1954","#NA"
"26/1/1954","#NA"
"27/1/1954","#NA"
"28/1/1954","#NA"
"29/1/1954","#NA"
02/01/1954,"#NA"
02/02/1954,"#NA"
02/03/1954,"#NA"
02/04/1954,"#NA"
02/05/1954,"#NA"
02/08/1954,"#NA"
02/09/1954,"#NA"
02/10/1954,"#NA"
02/11/1954,"#NA"
02/12/1954,"#NA"
"15/2/1954","#NA"
"16/2/1954","#NA"
"17/2/1954","#NA"
"18/2/1954","#NA"
"19/2/1954","#NA"
"22/2/1954","#NA"
"23/2/1954","#NA"
"24/2/1954","#NA"
"25/2/1954","#NA"
"26/2/1954","#NA"
03/01/1954,"#NA"
03/02/1954,"#NA"
03/03/1954,"#NA"
03/04/1954,"#NA"
03/05/1954,"#NA"
03/08/1954,"#NA"
03/09/1954,"#NA"
03/10/1954,"#NA"
03/11/1954,"#NA"
03/12/1954,"#NA"
"15/3/1954","#NA"
"16/3/1954","#NA"
"17/3/1954","#NA"
"18/3/1954","#NA"
"19/3/1954","#NA"
"22/3/1954","#NA"
"23/3/1954","#NA"
"24/3/1954","#NA"
"25/3/1954","#NA"
"26/3/1954","#NA"
"29/3/1954","#NA"
"30/3/1954","#NA"
"31/3/1954","#NA"
04/01/1954,"#NA"
04/02/1954,"#NA"
04/05/1954,"#NA"
04/06/1954,"#NA"
04/07/1954,"#NA"
04/08/1954,"#NA"
04/09/1954,"#NA"
04/12/1954,"#NA"
"13/4/1954","#NA"
"14/4/1954","#NA"
"15/4/1954","#NA"
"16/4/1954","#NA"
"19/4/1954","#NA"
"20/4/1954","#NA"
"21/4/1954","#NA"
"22/4/1954","#NA"
"23/4/1954","#NA"
"26/4/1954","#NA"
"27/4/1954","#NA"
"28/4/1954","#NA"
"29/4/1954","#NA"
"30/4/1954","#NA"
05/03/1954,"#NA"
05/04/1954,"#NA"
05/05/1954,"#NA"
05/06/1954,"#NA"
05/07/1954,"#NA"
05/10/1954,"#NA"
05/11/1954,"#NA"
05/12/1954,"#NA"
"13/5/1954","#NA"
"14/5/1954","#NA"
"17/5/1954","#NA"
"18/5/1954","#NA"
"19/5/1954","#NA"
"20/5/1954","#NA"
"21/5/1954","#NA"
"24/5/1954","#NA"
"25/5/1954","#NA"
"26/5/1954","#NA"
"27/5/1954","#NA"
"28/5/1954","#NA"
"31/5/1954","#NA"
06/01/1954,"#NA"
06/02/1954,"#NA"
06/03/1954,"#NA"
06/04/1954,"#NA"
06/07/1954,"#NA"
06/08/1954,"#NA"
06/09/1954,"#NA"
06/10/1954,"#NA"
06/11/1954,"#NA"
"14/6/1954","#NA"
"15/6/1954","#NA"
"16/6/1954","#NA"
"17/6/1954","#NA"
"18/6/1954","#NA"
"21/6/1954","#NA"
"22/6/1954","#NA"
"23/6/1954","#NA"
"24/6/1954","#NA"
"25/6/1954","#NA"
"28/6/1954","#NA"
"29/6/1954","#NA"
"30/6/1954","#NA"
07/01/1954,1.13
07/02/1954,1.25
07/05/1954,0.88
07/06/1954,0.25
07/07/1954,1
07/08/1954,1.25
07/09/1954,1.25
07/12/1954,1.25
"13/7/1954",1.13
"14/7/1954",1.13
"15/7/1954",0.75
"16/7/1954",0.75
"19/7/1954",0.5
"20/7/1954",0.25
"21/7/1954",0.25
"22/7/1954",0.75
"23/7/1954",0.75
"26/7/1954",0.75
"27/7/1954",0.38
"28/7/1954",0.25
"29/7/1954",0.38
"30/7/1954",0.25
08/02/1954,0.38
08/03/1954,0.25
08/04/1954,0.13
08/05/1954,0.75
08/06/1954,1.38
08/09/1954,1.38
08/10/1954,1.44
08/11/1954,1.44
08/12/1954,1.38
"13/8/1954",1.44
"16/8/1954",1.38
"17/8/1954",1.38
"18/8/1954",1.44
"19/8/1954",1.38
"20/8/1954",1.44
"23/8/1954",1.44
"24/8/1954",1.38
"25/8/1954",1.38
"26/8/1954",1.25
"27/8/1954",1.25
"30/8/1954",1.44
"31/8/1954",1.44
09/01/1954,1.44
09/02/1954,1.38
09/03/1954,1.38
09/06/1954,1
09/07/1954,1.13
09/08/1954,0.88
09/09/1954,1.25
09/10/1954,1.25
"13/9/1954",1.38
"14/9/1954",1.25
"15/9/1954",1
"16/9/1954",1
"17/9/1954",0.5
"20/9/1954",0.5
"21/9/1954",0.5
"22/9/1954",0.38
"23/9/1954",0.75
"24/9/1954",1.13
"27/9/1954",1.25
"28/9/1954",1.25
"29/9/1954",1.44
"30/9/1954",1.44
10/01/1954,0.5
10/04/1954,0.5
10/05/1954,0.25
10/06/1954,0.13
10/07/1954,1.25
10/08/1954,1.25
10/11/1954,1.25
