"Start",07/07/1954
"End",06/01/2007
"Frequency","D"
"Name","US FED FUNDS EFFECT RATE (7 DAY AVG) - MIDDLE RATE"
"Code","FRFEDFW"
"CURRENCY",
07/07/1954,1
07/08/1954,1
07/09/1954,1
07/12/1954,1
"13/7/1954",1
"14/7/1954",1.21
"15/7/1954",1.21
"16/7/1954",1.21
"19/7/1954",1.21
"20/7/1954",1.21
"21/7/1954",0.57
"22/7/1954",0.57
"23/7/1954",0.57
"26/7/1954",0.57
"27/7/1954",0.57
"28/7/1954",0.63
"29/7/1954",0.63
"30/7/1954",0.63
08/02/1954,0.63
08/03/1954,0.63
08/04/1954,0.27
08/05/1954,0.27
08/06/1954,0.27
08/09/1954,0.27
08/10/1954,0.27
08/11/1954,1.3
08/12/1954,1.3
"13/8/1954",1.3
"16/8/1954",1.3
"17/8/1954",1.3
"18/8/1954",1.41
"19/8/1954",1.41
"20/8/1954",1.41
"23/8/1954",1.41
"24/8/1954",1.41
"25/8/1954",1.41
"26/8/1954",1.41
"27/8/1954",1.41
"30/8/1954",1.41
"31/8/1954",1.41
09/01/1954,1.33
09/02/1954,1.33
09/03/1954,1.33
09/06/1954,1.33
09/07/1954,1.33
09/08/1954,1.21
09/09/1954,1.21
09/10/1954,1.21
"13/9/1954",1.21
"14/9/1954",1.21
"15/9/1954",1.23
"16/9/1954",1.23
"17/9/1954",1.23
"20/9/1954",1.23
"21/9/1954",1.23
"22/9/1954",0.55
"23/9/1954",0.55
"24/9/1954",0.55
"27/9/1954",0.55
"28/9/1954",0.55
"29/9/1954",1.15
"30/9/1954",1.15
10/01/1954,1.15
10/04/1954,1.15
10/05/1954,1.15
10/06/1954,0.54
10/07/1954,0.54
10/08/1954,0.54
10/11/1954,0.54
10/12/1954,0.54
"13/10/1954",1.27
"14/10/1954",1.27
"15/10/1954",1.27
"18/10/1954",1.27
"19/10/1954",1.27
"20/10/1954",0.77
"21/10/1954",0.77
"22/10/1954",0.77
"25/10/1954",0.77
"26/10/1954",0.77
"27/10/1954",0.75
"28/10/1954",0.75
"29/10/1954",0.75
11/01/1954,0.75
11/02/1954,0.75
11/03/1954,1.18
11/04/1954,1.18
11/05/1954,1.18
11/08/1954,1.18
11/09/1954,1.18
11/10/1954,0.32
11/11/1954,0.32
11/12/1954,0.32
"15/11/1954",0.32
"16/11/1954",0.32
"17/11/1954",0.39
"18/11/1954",0.39
"19/11/1954",0.39
"22/11/1954",0.39
"23/11/1954",0.39
"24/11/1954",1.07
"25/11/1954",1.07
"26/11/1954",1.07
"29/11/1954",1.07
"30/11/1954",1.07
12/01/1954,1.4
12/02/1954,1.4
12/03/1954,1.4
12/06/1954,1.4
12/07/1954,1.4
12/08/1954,1.42
12/09/1954,1.42
12/10/1954,1.42
"13/12/1954",1.42
"14/12/1954",1.42
"15/12/1954",1.28
"16/12/1954",1.28
"17/12/1954",1.28
"20/12/1954",1.28
"21/12/1954",1.28
"22/12/1954",1.18
"23/12/1954",1.18
"24/12/1954",1.18
"27/12/1954",1.18
"28/12/1954",1.18
"29/12/1954",1.19
"30/12/1954",1.19
"31/12/1954",1.19
01/03/1955,1.19
01/04/1955,1.19
01/05/1955,1.35
01/06/1955,1.35
01/07/1955,1.35
01/10/1955,1.35
01/11/1955,1.35
01/12/1955,1.41
"13/1/1955",1.41
"14/1/1955",1.41
"17/1/1955",1.41
"18/1/1955",1.41
"19/1/1955",1.37
"20/1/1955",1.37
"21/1/1955",1.37
"24/1/1955",1.37
"25/1/1955",1.37
"26/1/1955",1.41
"27/1/1955",1.41
"28/1/1955",1.41
"31/1/1955",1.41
02/01/1955,1.41
02/02/1955,1.44
02/03/1955,1.44
02/04/1955,1.44
02/07/1955,1.44
02/08/1955,1.44
02/09/1955,1.27
02/10/1955,1.27
02/11/1955,1.27
"14/2/1955",1.27
"15/2/1955",1.27
"16/2/1955",1.13
"17/2/1955",1.13
"18/2/1955",1.13
"21/2/1955",1.13
"22/2/1955",1.13
"23/2/1955",1.32
"24/2/1955",1.32
"25/2/1955",1.32
"28/2/1955",1.32
03/01/1955,1.32
03/02/1955,1.38
03/03/1955,1.38
03/04/1955,1.38
03/07/1955,1.38
03/08/1955,1.38
03/09/1955,1.41
03/10/1955,1.41
03/11/1955,1.41
"14/3/1955",1.41
"15/3/1955",1.41
"16/3/1955",1.24
"17/3/1955",1.24
"18/3/1955",1.24
"21/3/1955",1.24
"22/3/1955",1.24
"23/3/1955",1.31
"24/3/1955",1.31
"25/3/1955",1.31
"28/3/1955",1.31
"29/3/1955",1.31
"30/3/1955",1.44
"31/3/1955",1.44
04/01/1955,1.44
04/04/1955,1.44
04/05/1955,1.44
04/06/1955,1.44
04/07/1955,1.44
04/08/1955,1.44
04/11/1955,1.44
04/12/1955,1.44
"13/4/1955",1.44
"14/4/1955",1.44
"15/4/1955",1.44
"18/4/1955",1.44
"19/4/1955",1.44
"20/4/1955",1.4
"21/4/1955",1.4
"22/4/1955",1.4
"25/4/1955",1.4
"26/4/1955",1.4
"27/4/1955",1.34
"28/4/1955",1.34
