"Start","15/2/1952"
"End","15/2/2007"
"Frequency","D"
"Name","US CAPITAL EXPEND.S - NFARM NFIN CORP BUS (FOF, CHG AT AR) CURA"
"Code","US10IEINB"
"CURRENCY","U$"
"15/2/1952",25.18
"15/5/1952",18.96
"15/8/1952",23.43
"15/11/1952",26.49
"15/2/1953",25.93
"15/5/1953",27.22
"15/8/1953",25.3
"15/11/1953",19.42
"15/2/1954",20.28
"15/5/1954",19.7
"15/8/1954",20.28
"15/11/1954",22.78
"15/2/1955",26.41
"15/5/1955",29.32
"15/8/1955",30.91
"15/11/1955",34.02
"15/2/1956",34.35
"15/5/1956",34.38
"15/8/1956",35.15
"15/11/1956",35.28
"15/2/1957",34.28
"15/5/1957",34.66
"15/8/1957",35.77
"15/11/1957",29.18
"15/2/1958",22.85
"15/5/1958",21.72
"15/8/1958",25.98
"15/11/1958",30.86
"15/2/1959",33.07
"15/5/1959",38.8
"15/8/1959",33.13
"15/11/1959",36.5
"15/2/1960",42.83
"15/5/1960",35.63
"15/8/1960",35.74
"15/11/1960",26.9
"15/2/1961",28.28
"15/5/1961",32.77
"15/8/1961",37.23
"15/11/1961",37.52
"15/2/1962",41.14
"15/5/1962",39.56
"15/8/1962",40.79
"15/11/1962",37.68
"15/2/1963",39.8
"15/5/1963",40.39
"15/8/1963",43.1
"15/11/1963",43.06
"15/2/1964",44.82
"15/5/1964",45.75
"15/8/1964",47.98
"15/11/1964",49.96
"15/2/1965",57.33
"15/5/1965",56.11
"15/8/1965",59.09
"15/11/1965",59.91
"15/2/1966",69.01
"15/5/1966",72.04
"15/8/1966",71.31
"15/11/1966",76.41
"15/2/1967",72.48
"15/5/1967",64.22
"15/8/1967",67.13
"15/11/1967",72
"15/2/1968",71.53
"15/5/1968",74.09
"15/8/1968",73.39
"15/11/1968",75.91
"15/2/1969",80.49
"15/5/1969",80.07
"15/8/1969",86.08
"15/11/1969",82.87
"15/2/1970",76.78
"15/5/1970",81.85
"15/8/1970",84.14
"15/11/1970",74.93
"15/2/1971",87.73
"15/5/1971",83.82
"15/8/1971",85.78
"15/11/1971",82.92
"15/2/1972",88.42
"15/5/1972",96.97
"15/8/1972",102.24
"15/11/1972",106.12
"15/2/1973",118.44
"15/5/1973",117.79
"15/8/1973",119.21
"15/11/1973",133.42
"15/2/1974",132.27
"15/5/1974",147.42
"15/8/1974",127.03
"15/11/1974",155.81
"15/2/1975",103.45
"15/5/1975",102.51
"15/8/1975",118.65
"15/11/1975",121.63
"15/2/1976",143.49
"15/5/1976",157.74
"15/8/1976",158.85
"15/11/1976",156.27
"15/2/1977",167.23
"15/5/1977",173.64
"15/8/1977",194.28
"15/11/1977",189.21
"15/2/1978",203.86
"15/5/1978",223.04
"15/8/1978",222.82
"15/11/1978",245.85
"15/2/1979",246.7
"15/5/1979",252.55
"15/8/1979",249.18
"15/11/1979",260.38
"15/2/1980",269.3
"15/5/1980",261.19
"15/8/1980",238.08
"15/11/1980",275.26
"15/2/1981",306.75
"15/5/1981",294.01
"15/8/1981",341.05
"15/11/1981",329.73
"15/2/1982",284.72
"15/5/1982",290.83
"15/8/1982",286.31
"15/11/1982",249.95
"15/2/1983",248.35
"15/5/1983",296.05
"15/8/1983",319.47
"15/11/1983",337.39
"15/2/1984",381.45
"15/5/1984",397.99
"15/8/1984",407.63
"15/11/1984",393.37
"15/2/1985",359.92
"15/5/1985",373.99
"15/8/1985",364.24
"15/11/1985",381
"15/2/1986",377.8
"15/5/1986",367.71
"15/8/1986",333.58
"15/11/1986",335.62
"15/2/1987",360.14
"15/5/1987",358.86
"15/8/1987",347.55
"15/11/1987",406.63
"15/2/1988",369.06
"15/5/1988",386.25
"15/8/1988",391.28
"15/11/1988",404.97
"15/2/1989",414.29
"15/5/1989",414.19
"15/8/1989",411.95
"15/11/1989",421.24
"15/2/1990",423.39
"15/5/1990",448
"15/8/1990",441.1
"15/11/1990",401.93
"15/2/1991",398.77
"15/5/1991",392.37
"15/8/1991",415.79
"15/11/1991",425.13
"15/2/1992",394.24
"15/5/1992",429.87
"15/8/1992",440.47
"15/11/1992",457.53
"15/2/1993",477.82
"15/5/1993",479.79
"15/8/1993",476.13
"15/11/1993",494.42
"15/2/1994",509
"15/5/1994",552.65
"15/8/1994",541.6
"15/11/1994",600.7
"15/2/1995",619.81
"15/5/1995",613.22
"15/8/1995",631.94
"15/11/1995",605.35
"15/2/1996",597.39
"15/5/1996",622
"15/8/1996",656.01
"15/11/1996",680.22
"15/2/1997",693.11
"15/5/1997",775.26
"15/8/1997",752.06
"15/11/1997",754.63
"15/2/1998",778.43
"15/5/1998",764.76
"15/8/1998",774.35
"15/11/1998",796.45
"15/2/1999",833.43
"15/5/1999",849.07
"15/8/1999",862.26
"15/11/1999",911.02
"15/2/2000",887.41
"15/5/2000",957.45
"15/8/2000",951.18
"15/11/2000",918.07
"15/2/2001",874.03
"15/5/2001",849.46
"15/8/2001",787.69
"15/11/2001",699.06
"15/2/2002",736.73
"15/5/2002",729.14
"15/8/2002",744.4
"15/11/2002",738.19
"15/2/2003",732.97
"15/5/2003",729.49
"15/8/2003",757.33
"15/11/2003",779.66
"15/2/2004",780.86
"15/5/2004",816.78
"15/8/2004",825.69
"15/11/2004",866.35
"15/2/2005",887.05
"15/5/2005",849.71
"15/8/2005",857.15
"15/11/2005",933.48
"15/2/2006",969.72
"15/5/2006",1005.81
"15/8/2006",1028.23
"15/11/2006",1043.37
"15/2/2007",972.79
