"Start","15/2/1952"
"End","15/2/2007"
"Frequency","D"
"Name","US FIXED INVESTMENT - NFARM NFIN CORP BUS (FOF, CHG AT AR) CURA"
"Code","US10IVFNB"
"CURRENCY","U$"
"15/2/1952",21.85
"15/5/1952",22.44
"15/8/1952",20.49
"15/11/1952",22.18
"15/2/1953",23.28
"15/5/1953",23.5
"15/8/1953",24.08
"15/11/1953",23.68
"15/2/1954",23.27
"15/5/1954",23.05
"15/8/1954",23.3
"15/11/1954",23
"15/2/1955",23.22
"15/5/1955",24.47
"15/8/1955",26.22
"15/11/1955",28.12
"15/2/1956",28.93
"15/5/1956",30.27
"15/8/1956",31.73
"15/11/1956",32.29
"15/2/1957",33.16
"15/5/1957",33.46
"15/8/1957",34.28
"15/11/1957",33.21
"15/2/1958",29.55
"15/5/1958",28.04
"15/8/1958",27.4
"15/11/1958",28.4
"15/2/1959",29.91
"15/5/1959",30.85
"15/8/1959",32.01
"15/11/1959",32.27
"15/2/1960",33.89
"15/5/1960",34.76
"15/8/1960",33.98
"15/11/1960",33.55
"15/2/1961",32.58
"15/5/1961",33.19
"15/8/1961",33.42
"15/11/1961",34.62
"15/2/1962",35.26
"15/5/1962",36.35
"15/8/1962",36.76
"15/11/1962",36.45
"15/2/1963",36.63
"15/5/1963",37.71
"15/8/1963",38.93
"15/11/1963",40.33
"15/2/1964",41.32
"15/5/1964",42.56
"15/8/1964",44.07
"15/11/1964",45.32
"15/2/1965",48.57
"15/5/1965",50.5
"15/8/1965",52.83
"15/11/1965",55.61
"15/2/1966",58.81
"15/5/1966",60.69
"15/8/1966",61.64
"15/11/1966",61.99
"15/2/1967",60.91
"15/5/1967",61.09
"15/8/1967",61.18
"15/11/1967",63.16
"15/2/1968",65.78
"15/5/1968",65.32
"15/8/1968",66.82
"15/11/1968",69.83
"15/2/1969",72.38
"15/5/1969",73.79
"15/8/1969",76.34
"15/11/1969",76.57
"15/2/1970",77.45
"15/5/1970",78.09
"15/8/1970",78.57
"15/11/1970",76.14
"15/2/1971",77.66
"15/5/1971",79.24
"15/8/1971",80.19
"15/11/1971",82.9
"15/2/1972",86.85
"15/5/1972",89.43
"15/8/1972",91.44
"15/11/1972",96.32
"15/2/1973",100.86
"15/5/1973",105.8
"15/8/1973",109.32
"15/11/1973",112.47
"15/2/1974",115.28
"15/5/1974",119.79
"15/8/1974",123.77
"15/11/1974",124.84
"15/2/1975",120.92
"15/5/1975",120.1
"15/8/1975",122.41
"15/11/1975",125.47
"15/2/1976",130.08
"15/5/1976",133.47
"15/8/1976",138.41
"15/11/1976",143.69
"15/2/1977",153.63
"15/5/1977",160.81
"15/8/1977",167.19
"15/11/1977",175.74
"15/2/1978",180.81
"15/5/1978",198.78
"15/8/1978",208.63
"15/11/1978",218.53
"15/2/1979",227.2
"15/5/1979",230.95
"15/8/1979",242.95
"15/11/1979",248.4
"15/2/1980",258.45
"15/5/1980",251.39
"15/8/1980",258.29
"15/11/1980",267.47
"15/2/1981",278.56
"15/5/1981",288.91
"15/8/1981",299.47
"15/11/1981",310.47
"15/2/1982",308.69
"15/5/1982",300.17
"15/8/1982",291.18
"15/11/1982",284.77
"15/2/1983",277.16
"15/5/1983",278.85
"15/8/1983",290.03
"15/11/1983",308.87
"15/2/1984",317.21
"15/5/1984",333.97
"15/8/1984",344.92
"15/11/1984",353.12
"15/2/1985",355.38
"15/5/1985",360.59
"15/8/1985",353.98
"15/11/1985",357.07
"15/2/1986",354.88
"15/5/1986",345.76
"15/8/1986",341.04
"15/11/1986",345.32
"15/2/1987",330.35
"15/5/1987",336.97
"15/8/1987",346.24
"15/11/1987",347.09
"15/2/1988",353.11
"15/5/1988",362.7
"15/8/1988",365.37
"15/11/1988",371.85
"15/2/1989",380.11
"15/5/1989",385.94
"15/8/1989",401.56
"15/11/1989",405.55
"15/2/1990",416.97
"15/5/1990",418.88
"15/8/1990",428.59
"15/11/1990",423.75
"15/2/1991",419.45
"15/5/1991",414.91
"15/8/1991",410.74
"15/11/1991",407.73
"15/2/1992",407.7
"15/5/1992",422.9
"15/8/1992",431.91
"15/11/1992",445.7
"15/2/1993",444.41
"15/5/1993",458.27
"15/8/1993",463.86
"15/11/1993",483.09
"15/2/1994",487.7
"15/5/1994",496.9
"15/8/1994",508.95
"15/11/1994",539.18
"15/2/1995",563.13
"15/5/1995",573.08
"15/8/1995",580.84
"15/11/1995",590.51
"15/2/1996",597.37
"15/5/1996",610.43
"15/8/1996",630.08
"15/11/1996",642.6
"15/2/1997",654.94
"15/5/1997",670.41
"15/8/1997",695.39
"15/11/1997",685.48
"15/2/1998",677.9
"15/5/1998",712.03
"15/8/1998",719.95
"15/11/1998",748.07
"15/2/1999",767.29
"15/5/1999",819.74
"15/8/1999",813.92
"15/11/1999",821.27
"15/2/2000",857.08
"15/5/2000",876.75
"15/8/2000",904.13
"15/11/2000",890.51
"15/2/2001",891.39
"15/5/2001",859.18
"15/8/2001",829.2
"15/11/2001",785.21
"15/2/2002",757.68
"15/5/2002",728.72
"15/8/2002",729.14
"15/11/2002",722.15
"15/2/2003",723.13
"15/5/2003",743.45
"15/8/2003",760.17
"15/11/2003",763.28
"15/2/2004",761.22
"15/5/2004",773.39
"15/8/2004",794.28
"15/11/2004",818.79
"15/2/2005",842.96
"15/5/2005",861.42
"15/8/2005",882.13
"15/11/2005",904.58
"15/2/2006",942.03
"15/5/2006",958.6
"15/8/2006",983.07
"15/11/2006",982.18
"15/2/2007",993.13
