"Start","15/2/1952"
"End","15/2/2007"
"Frequency","D"
"Name","US CONSUMPTION EXPEND.: HHOLDS & NONPROFITS (FLOW OF FUNDS) CURA"
"Code","US15CXTNB"
"CURRENCY","U$"
"15/2/1952",213.15
"15/5/1952",217.28
"15/8/1952",219.77
"15/11/1952",227.91
"15/2/1953",231.52
"15/5/1953",233.29
"15/8/1953",234.02
"15/11/1953",233.48
"15/2/1954",235.52
"15/5/1954",238.27
"15/8/1954",240.7
"15/11/1954",245.52
"15/2/1955",251.84
"15/5/1955",256.93
"15/8/1955",261.13
"15/11/1955",265.15
"15/2/1956",266.68
"15/5/1956",269.37
"15/8/1956",272.63
"15/11/1956",278
"15/2/1957",282.44
"15/5/1957",284.74
"15/8/1957",289.32
"15/11/1957",290.96
"15/2/1958",290.52
"15/5/1958",293.44
"15/8/1958",298.47
"15/11/1958",302.32
"15/2/1959",309.98
"15/5/1959",316
"15/8/1959",321.2
"15/11/1959",323.32
"15/2/1960",326.86
"15/5/1960",332.73
"15/8/1960",332.68
"15/11/1960",334.62
"15/2/1961",335.14
"15/5/1961",340.1
"15/8/1961",342.99
"15/11/1961",350.27
"15/2/1962",355.55
"15/5/1962",361.19
"15/8/1962",365.06
"15/11/1962",371.34
"15/2/1963",374.91
"15/5/1963",379.04
"15/8/1963",386.03
"15/11/1963",390.7
"15/2/1964",400.33
"15/5/1964",408.31
"15/8/1964",417.22
"15/11/1964",419.8
"15/2/1965",430.5
"15/5/1965",437.43
"15/8/1965",446.61
"15/11/1965",460.57
"15/2/1966",471.01
"15/5/1966",476.11
"15/8/1966",485.26
"15/11/1966",491.07
"15/2/1967",495.39
"15/5/1967",504.52
"15/8/1967",511.79
"15/11/1967",519.33
"15/2/1968",537.34
"15/5/1968",551.15
"15/8/1968",567.35
"15/11/1968",576.28
"15/2/1969",588.49
"15/5/1969",599.89
"15/8/1969",610.22
"15/11/1969",622.25
"15/2/1970",633.35
"15/5/1970",643.29
"15/8/1970",655.26
"15/11/1970",661.96
"15/2/1971",681.04
"15/5/1971",695.1
"15/8/1971",707.53
"15/11/1971",723.79
"15/2/1972",741.2
"15/5/1972",759.76
"15/8/1972",778.32
"15/11/1972",803.13
"15/2/1973",827.71
"15/5/1973",843.29
"15/8/1973",861.76
"15/11/1973",876.89
"15/2/1974",895.09
"15/5/1974",923.68
"15/8/1974",952.51
"15/11/1974",962.36
"15/2/1975",988.62
"15/5/1975",1017.43
"15/8/1975",1051.26
"15/11/1975",1080.2
"15/2/1976",1114.01
"15/5/1976",1133.68
"15/8/1976",1163.06
"15/11/1976",1196.89
"15/2/1977",1232.46
"15/5/1977",1260.44
"15/8/1977",1291.65
"15/11/1977",1329.84
"15/2/1978",1359.93
"15/5/1978",1417.59
"15/8/1978",1448.65
"15/11/1978",1487.9
"15/2/1979",1523.64
"15/5/1979",1564.31
"15/8/1979",1618.59
"15/11/1979",1662.24
"15/2/1980",1709.07
"15/5/1980",1711.24
"15/8/1980",1770.1
"15/11/1980",1838.1
"15/2/1981",1893.73
"15/5/1981",1925.51
"15/8/1981",1965.1
"15/11/1981",1979.89
"15/2/1982",2018.03
"15/5/1982",2044.43
"15/8/1982",2092.38
"15/11/1982",2154.21
"15/2/1983",2194.08
"15/5/1983",2258.23
"15/8/1983",2328.6
"15/11/1983",2381.3
"15/2/1984",2427.56
"15/5/1984",2486.35
"15/8/1984",2524.93
"15/11/1984",2574.3
"15/2/1985",2645.72
"15/5/1985",2690.06
"15/8/1985",2758.72
"15/11/1985",2786.7
"15/2/1986",2830.28
"15/5/1986",2861.96
"15/8/1986",2933.48
"15/11/1986",2973.18
"15/2/1987",3008.02
"15/5/1987",3075.34
"15/8/1987",3141.57
"15/11/1987",3175.99
"15/2/1988",3256.8
"15/5/1988",3316.41
"15/8/1988",3384.04
"15/11/1988",3457.2
"15/2/1989",3511.29
"15/5/1989",3573.92
"15/8/1989",3630.94
"15/11/1989",3677.83
"15/2/1990",3762.58
"15/5/1990",3815.86
"15/8/1990",3879.61
"15/11/1990",3901.69
"15/2/1991",3914.21
"15/5/1991",3970.29
"15/8/1991",4015.66
"15/11/1991",4044.09
"15/2/1992",4142.55
"15/5/1992",4193.05
"15/8/1992",4264.33
"15/11/1992",4341.11
"15/2/1993",4379.31
"15/5/1993",4446.68
"15/8/1993",4510.68
"15/11/1993",4574.87
"15/2/1994",4643.89
"15/5/1994",4702.82
"15/8/1994",4778.58
"15/11/1994",4847.85
"15/2/1995",4879.05
"15/5/1995",4946.68
"15/8/1995",5011.04
"15/11/1995",5066.38
"15/2/1996",5142.76
"15/5/1996",5232.02
"15/8/1996",5286.44
"15/11/1996",5366.11
"15/2/1997",5448.79
"15/5/1997",5484.62
"15/8/1997",5589.76
"15/11/1997",5666.42
"15/2/1998",5733.36
"15/5/1998",5834.22
"15/8/1998",5924.17
"15/11/1998",6026.16
"15/2/1999",6101.73
"15/5/1999",6237.24
"15/8/1999",6337.19
"15/11/1999",6453.73
"15/2/2000",6613.91
"15/5/2000",6688.05
"15/8/2000",6783.9
"15/11/2000",6871.64
"15/2/2001",6955.81
"15/5/2001",7017.52
"15/8/2001",7058.46
"15/11/2001",7188.36
"15/2/2002",7230.26
"15/5/2002",7323.01
"15/8/2002",7396.55
"15/11/2002",7453.05
"15/2/2003",7548.13
"15/5/2003",7628.41
"15/8/2003",7782.63
"15/11/2003",7855.34
"15/2/2004",8018.03
"15/5/2004",8148.12
"15/8/2004",8265.05
"15/11/2004",8414.82
"15/2/2005",8519.7
"15/5/2005",8674.58
"15/8/2005",8847.3
"15/11/2005",8927.82
"15/2/2006",9079.15
"15/5/2006",9228.09
"15/8/2006",9346.67
"15/11/2006",9421.77
"15/2/2007",9601.29
