"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CHAIN-TYPE PRICE OF GDP LESS CONSMPTN. OF FIXED CAPITAL SADJ"
"Code","USCCF..CE"
"CURRENCY","U$"
"15/2/1950",20.55
"15/5/1950",20.62
"15/8/1950",20.92
"15/11/1950",21.44
"15/2/1951",22.18
"15/5/1951",22.62
"15/8/1951",22.99
"15/11/1951",23.27
"15/2/1952",23.21
"15/5/1952",23.31
"15/8/1952",23.44
"15/11/1952",23.43
"15/2/1953",23.44
"15/5/1953",23.46
"15/8/1953",23.4
"15/11/1953",23.39
"15/2/1954",23.46
"15/5/1954",23.61
"15/8/1954",23.68
"15/11/1954",23.8
"15/2/1955",23.73
"15/5/1955",23.83
"15/8/1955",24.13
"15/11/1955",24.48
"15/2/1956",25.07
"15/5/1956",25.48
"15/8/1956",25.86
"15/11/1956",26.2
"15/2/1957",26.49
"15/5/1957",26.7
"15/8/1957",26.87
"15/11/1957",26.94
"15/2/1958",26.76
"15/5/1958",26.82
"15/8/1958",26.95
"15/11/1958",27.06
"15/2/1959",27.19
"15/5/1959",27.25
"15/8/1959",27.33
"15/11/1959",27.37
"15/2/1960",27.4
"15/5/1960",27.44
"15/8/1960",27.45
"15/11/1960",27.45
"15/2/1961",27.42
"15/5/1961",27.41
"15/8/1961",27.43
"15/11/1961",27.44
"15/2/1962",27.51
"15/5/1962",27.52
"15/8/1962",27.6
"15/11/1962",27.68
"15/2/1963",27.69
"15/5/1963",27.74
"15/8/1963",27.76
"15/11/1963",27.77
"15/2/1964",27.81
"15/5/1964",27.85
"15/8/1964",27.9
"15/11/1964",27.99
"15/2/1965",28.1
"15/5/1965",28.24
"15/8/1965",28.37
"15/11/1965",28.5
"15/2/1966",28.63
"15/5/1966",28.85
"15/8/1966",29.12
"15/11/1966",29.32
"15/2/1967",29.48
"15/5/1967",29.68
"15/8/1967",29.94
"15/11/1967",30.2
"15/2/1968",30.53
"15/5/1968",30.79
"15/8/1968",31.07
"15/11/1968",31.44
"15/2/1969",31.82
"15/5/1969",32.23
"15/8/1969",32.57
"15/11/1969",32.97
"15/2/1970",33.35
"15/5/1970",33.77
"15/8/1970",34.21
"15/11/1970",34.68
"15/2/1971",35.19
"15/5/1971",35.62
"15/8/1971",35.98
"15/11/1971",36.34
"15/2/1972",36.73
"15/5/1972",37.04
"15/8/1972",37.43
"15/11/1972",37.86
"15/2/1973",38.23
"15/5/1973",38.77
"15/8/1973",39.41
"15/11/1973",40.17
"15/2/1974",41.4
"15/5/1974",42.74
"15/8/1974",44.28
"15/11/1974",45.75
"15/2/1975",47.16
"15/5/1975",48.37
"15/8/1975",49.49
"15/11/1975",50.43
"15/2/1976",50.77
"15/5/1976",51.38
"15/8/1976",52.01
"15/11/1976",52.75
"15/2/1977",53.94
"15/5/1977",54.89
"15/8/1977",55.83
"15/11/1977",56.9
"15/2/1978",58.03
"15/5/1978",59.2
"15/8/1978",60.42
"15/11/1978",61.61
"15/2/1979",62.83
"15/5/1979",64.26
"15/8/1979",65.77
"15/11/1979",67.31
"15/2/1980",68.95
"15/5/1980",70.72
"15/8/1980",72.46
"15/11/1980",74.27
"15/2/1981",76.1
"15/5/1981",77.8
"15/8/1981",79.36
"15/11/1981",80.75
"15/2/1982",81.99
"15/5/1982",82.95
"15/8/1982",83.57
"15/11/1982",83.81
"15/2/1983",83.56
"15/5/1983",83.5
"15/8/1983",83.57
"15/11/1983",83.59
"15/2/1984",83.97
"15/5/1984",84.16
"15/8/1984",84.32
"15/11/1984",84.54
"15/2/1985",84.69
"15/5/1985",84.92
"15/8/1985",85.3
"15/11/1985",85.71
"15/2/1986",86.22
"15/5/1986",86.69
"15/8/1986",87.05
"15/11/1986",87.35
"15/2/1987",87.41
"15/5/1987",87.65
"15/8/1987",88.03
"15/11/1987",88.53
"15/2/1988",89.37
"15/5/1988",90.01
"15/8/1988",90.62
"15/11/1988",91.23
"15/2/1989",91.66
"15/5/1989",92.14
"15/8/1989",92.64
"15/11/1989",93.13
"15/2/1990",93.6
"15/5/1990",94.06
"15/8/1990",94.54
"15/11/1990",95.02
"15/2/1991",95.55
"15/5/1991",95.85
"15/8/1991",96.06
"15/11/1991",96.1
"15/2/1992",95.79
"15/5/1992",95.81
"15/8/1992",95.86
"15/11/1992",96.09
"15/2/1993",96.61
"15/5/1993",96.93
"15/8/1993",97.21
"15/11/1993",97.51
"15/2/1994",97.78
"15/5/1994",98.15
"15/8/1994",98.51
"15/11/1994",98.93
"15/2/1995",99.42
"15/5/1995",99.7
"15/8/1995",99.87
"15/11/1995",99.98
"15/2/1996",99.78
"15/5/1996",99.69
"15/8/1996",99.66
"15/11/1996",99.62
"15/2/1997",99.73
"15/5/1997",99.72
"15/8/1997",99.6
"15/11/1997",99.52
"15/2/1998",99.18
"15/5/1998",98.99
"15/8/1998",98.86
"15/11/1998",98.78
"15/2/1999",98.75
"15/5/1999",98.83
"15/8/1999",98.95
"15/11/1999",99.19
"15/2/2000",99.57
"15/5/2000",99.88
"15/8/2000",100.16
"15/11/2000",100.39
"15/2/2001",100.45
"15/5/2001",100.52
"15/8/2001",100.52
"15/11/2001",100.48
"15/2/2002",100.36
"15/5/2002",100.32
"15/8/2002",100.31
"15/11/2002",100.37
"15/2/2003",100.68
"15/5/2003",101.02
"15/8/2003",101.38
"15/11/2003",101.8
"15/2/2004",102.3
"15/5/2004",103.1
"15/8/2004",104.11
"15/11/2004",105.37
"15/2/2005",106.37
"15/5/2005",107.35
"15/8/2005",108.1
"15/11/2005",109.07
"15/2/2006",110.34
"15/5/2006",111.29
"15/8/2006",112.06
"15/11/2006",112.6
"15/2/2007",113.11
