"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CHAIN-TYPE PRICE OF GDP LESS CNSMPT OF FXD.CAP.GOVT ENTP SADJ"
"Code","USCCFE.CE"
"CURRENCY","U$"
"15/2/1950",14.6
"15/5/1950",14.58
"15/8/1950",15.11
"15/11/1950",15.61
"15/2/1951",16.1
"15/5/1951",16.49
"15/8/1951",16.63
"15/11/1951",16.67
"15/2/1952",16.71
"15/5/1952",16.76
"15/8/1952",17.04
"15/11/1952",17.39
"15/2/1953",17.18
"15/5/1953",17.25
"15/8/1953",17.56
"15/11/1953",17.41
"15/2/1954",17.24
"15/5/1954",17.26
"15/8/1954",17.39
"15/11/1954",17.41
"15/2/1955",17.28
"15/5/1955",17.42
"15/8/1955",17.8
"15/11/1955",18.01
"15/2/1956",18.48
"15/5/1956",18.84
"15/8/1956",19.19
"15/11/1956",19.3
"15/2/1957",19.4
"15/5/1957",19.76
"15/8/1957",19.91
"15/11/1957",19.82
"15/2/1958",19.61
"15/5/1958",19.78
"15/8/1958",19.95
"15/11/1958",20.07
"15/2/1959",19.83
"15/5/1959",19.6
"15/8/1959",19.62
"15/11/1959",19.59
"15/2/1960",19.59
"15/5/1960",19.63
"15/8/1960",19.65
"15/11/1960",19.7
"15/2/1961",19.62
"15/5/1961",19.59
"15/8/1961",19.64
"15/11/1961",19.72
"15/2/1962",19.78
"15/5/1962",19.89
"15/8/1962",19.88
"15/11/1962",19.94
"15/2/1963",19.93
"15/5/1963",20.01
"15/8/1963",20.1
"15/11/1963",20.19
"15/2/1964",20.17
"15/5/1964",20.26
"15/8/1964",20.24
"15/11/1964",20.3
"15/2/1965",20.5
"15/5/1965",20.59
"15/8/1965",20.73
"15/11/1965",20.79
"15/2/1966",20.98
"15/5/1966",21.29
"15/8/1966",21.42
"15/11/1966",21.57
"15/2/1967",21.77
"15/5/1967",21.85
"15/8/1967",22.05
"15/11/1967",22.24
"15/2/1968",22.56
"15/5/1968",22.74
"15/8/1968",22.93
"15/11/1968",23.38
"15/2/1969",23.71
"15/5/1969",24.11
"15/8/1969",24.43
"15/11/1969",24.93
"15/2/1970",25.3
"15/5/1970",25.77
"15/8/1970",26.21
"15/11/1970",26.66
"15/2/1971",27.13
"15/5/1971",27.75
"15/8/1971",28.23
"15/11/1971",28.84
"15/2/1972",29.32
"15/5/1972",29.62
"15/8/1972",29.97
"15/11/1972",30.39
"15/2/1973",30.98
"15/5/1973",31.56
"15/8/1973",32.15
"15/11/1973",32.75
"15/2/1974",33.91
"15/5/1974",35.66
"15/8/1974",38.05
"15/11/1974",39.65
"15/2/1975",40.92
"15/5/1975",41.6
"15/8/1975",42.1
"15/11/1975",42.69
"15/2/1976",43.1
"15/5/1976",43.68
"15/8/1976",44.01
"15/11/1976",44.52
"15/2/1977",45.06
"15/5/1977",45.64
"15/8/1977",46.65
"15/11/1977",47.18
"15/2/1978",47.79
"15/5/1978",48.98
"15/8/1978",50.13
"15/11/1978",51.07
"15/2/1979",52.02
"15/5/1979",53.37
"15/8/1979",54.96
"15/11/1979",56.51
"15/2/1980",57.91
"15/5/1980",59.34
"15/8/1980",61.13
"15/11/1980",62.67
"15/2/1981",63.97
"15/5/1981",65.2
"15/8/1981",66.57
"15/11/1981",67.05
"15/2/1982",67.39
"15/5/1982",68.47
"15/8/1982",69.46
"15/11/1982",69.62
"15/2/1983",69.86
"15/5/1983",70.01
"15/8/1983",70.26
"15/11/1983",70.22
"15/2/1984",70.53
"15/5/1984",71.15
"15/8/1984",71.59
"15/11/1984",71.88
"15/2/1985",72.39
"15/5/1985",72.48
"15/8/1985",72.48
"15/11/1985",72.89
"15/2/1986",73.27
"15/5/1986",73.95
"15/8/1986",74.34
"15/11/1986",74.98
"15/2/1987",75.05
"15/5/1987",75.46
"15/8/1987",76.04
"15/11/1987",76.29
"15/2/1988",76.81
"15/5/1988",77.68
"15/8/1988",78.41
"15/11/1988",79.05
"15/2/1989",79.39
"15/5/1989",80.2
"15/8/1989",81
"15/11/1989",81.34
"15/2/1990",81.68
"15/5/1990",82.58
"15/8/1990",83.36
"15/11/1990",83.37
"15/2/1991",83.5
"15/5/1991",83.8
"15/8/1991",84.22
"15/11/1991",84.03
"15/2/1992",83.9
"15/5/1992",84.47
"15/8/1992",84.93
"15/11/1992",85.49
"15/2/1993",86.3
"15/5/1993",87.03
"15/8/1993",86.94
"15/11/1993",87.63
"15/2/1994",88.61
"15/5/1994",89.08
"15/8/1994",89.52
"15/11/1994",89.94
"15/2/1995",90.71
"15/5/1995",91.36
"15/8/1995",92
"15/11/1995",92.71
"15/2/1996",92.77
"15/5/1996",92.85
"15/8/1996",93.11
"15/11/1996",93.37
"15/2/1997",93.46
"15/5/1997",94.01
"15/8/1997",94.23
"15/11/1997",94.76
"15/2/1998",95.03
"15/5/1998",95.01
"15/8/1998",95.28
"15/11/1998",95.75
"15/2/1999",96.12
"15/5/1999",96.55
"15/8/1999",96.94
"15/11/1999",97.91
"15/2/2000",98.77
"15/5/2000",99.81
"15/8/2000",100.4
"15/11/2000",101.03
"15/2/2001",101.3
"15/5/2001",101.56
"15/8/2001",101.78
"15/11/2001",102.2
"15/2/2002",102.96
"15/5/2002",103.6
"15/8/2002",104.08
"15/11/2002",104.36
"15/2/2003",104.4
"15/5/2003",104.67
"15/8/2003",104.95
"15/11/2003",105.57
"15/2/2004",106.08
"15/5/2004",107.87
"15/8/2004",110.1
"15/11/2004",112.56
"15/2/2005",113.59
"15/5/2005",115.32
"15/8/2005",117.12
"15/11/2005",118.27
"15/2/2006",118.81
"15/5/2006",120.94
"15/8/2006",122.07
"15/11/2006",123.58
"15/2/2007",125.19
