"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CHAIN-TYPE PRICE OF GDP LESS CNSMPT OF FXD.CAP. GOVT SADJ"
"Code","USCCFG.CE"
"CURRENCY","U$"
"15/2/1950",17.4
"15/5/1950",17.31
"15/8/1950",17.66
"15/11/1950",18.48
"15/2/1951",19.08
"15/5/1951",19.24
"15/8/1951",19.4
"15/11/1951",19.54
"15/2/1952",19.44
"15/5/1952",19.56
"15/8/1952",19.89
"15/11/1952",19.85
"15/2/1953",19.89
"15/5/1953",19.92
"15/8/1953",19.69
"15/11/1953",19.59
"15/2/1954",19.53
"15/5/1954",19.85
"15/8/1954",19.92
"15/11/1954",20.18
"15/2/1955",20.07
"15/5/1955",20.09
"15/8/1955",20.53
"15/11/1955",20.9
"15/2/1956",21.43
"15/5/1956",21.71
"15/8/1956",21.95
"15/11/1956",22.18
"15/2/1957",22.56
"15/5/1957",22.75
"15/8/1957",22.95
"15/11/1957",23
"15/2/1958",22.6
"15/5/1958",22.72
"15/8/1958",23
"15/11/1958",23.17
"15/2/1959",23.15
"15/5/1959",23.12
"15/8/1959",23.17
"15/11/1959",23.16
"15/2/1960",23.18
"15/5/1960",23.21
"15/8/1960",23.22
"15/11/1960",23.24
"15/2/1961",23.29
"15/5/1961",23.29
"15/8/1961",23.38
"15/11/1961",23.44
"15/2/1962",23.58
"15/5/1962",23.59
"15/8/1962",23.84
"15/11/1962",24.12
"15/2/1963",24.17
"15/5/1963",24.3
"15/8/1963",24.31
"15/11/1963",24.26
"15/2/1964",24.29
"15/5/1964",24.29
"15/8/1964",24.29
"15/11/1964",24.38
"15/2/1965",24.5
"15/5/1965",24.68
"15/8/1965",24.81
"15/11/1965",24.91
"15/2/1966",25
"15/5/1966",25.32
"15/8/1966",25.77
"15/11/1966",25.93
"15/2/1967",26.03
"15/5/1967",26.15
"15/8/1967",26.4
"15/11/1967",26.64
"15/2/1968",26.99
"15/5/1968",27.12
"15/8/1968",27.27
"15/11/1968",27.69
"15/2/1969",28.04
"15/5/1969",28.51
"15/8/1969",28.73
"15/11/1969",29.16
"15/2/1970",29.63
"15/5/1970",30.14
"15/8/1970",30.66
"15/11/1970",31.25
"15/2/1971",31.8
"15/5/1971",32.25
"15/8/1971",32.54
"15/11/1971",32.9
"15/2/1972",33.53
"15/5/1972",33.73
"15/8/1972",34.17
"15/11/1972",34.79
"15/2/1973",35.37
"15/5/1973",36.03
"15/8/1973",36.67
"15/11/1973",37.31
"15/2/1974",38.56
"15/5/1974",40.34
"15/8/1974",42.46
"15/11/1974",43.97
"15/2/1975",44.69
"15/5/1975",45.04
"15/8/1975",45.55
"15/11/1975",46.17
"15/2/1976",46.82
"15/5/1976",47.31
"15/8/1976",47.76
"15/11/1976",48.34
"15/2/1977",49.23
"15/5/1977",49.78
"15/8/1977",50.13
"15/11/1977",50.95
"15/2/1978",51.94
"15/5/1978",52.84
"15/8/1978",53.78
"15/11/1978",54.42
"15/2/1979",55.23
"15/5/1979",56.6
"15/8/1979",58.06
"15/11/1979",59.43
"15/2/1980",60.7
"15/5/1980",62.52
"15/8/1980",64.06
"15/11/1980",65.84
"15/2/1981",67.59
"15/5/1981",69.15
"15/8/1981",70.51
"15/11/1981",71.74
"15/2/1982",73.03
"15/5/1982",74.24
"15/8/1982",75.08
"15/11/1982",75.3
"15/2/1983",75.51
"15/5/1983",75.64
"15/8/1983",76.27
"15/11/1983",76.34
"15/2/1984",76.82
"15/5/1984",77.14
"15/8/1984",77.23
"15/11/1984",77.54
"15/2/1985",77.7
"15/5/1985",77.55
"15/8/1985",77.85
"15/11/1985",78.04
"15/2/1986",77.9
"15/5/1986",78.48
"15/8/1986",78.88
"15/11/1986",79.28
"15/2/1987",79.6
"15/5/1987",79.57
"15/8/1987",79.82
"15/11/1987",80.11
"15/2/1988",80.68
"15/5/1988",81.07
"15/8/1988",81.45
"15/11/1988",82.02
"15/2/1989",82.43
"15/5/1989",82.86
"15/8/1989",83.33
"15/11/1989",83.85
"15/2/1990",84.39
"15/5/1990",84.89
"15/8/1990",85.55
"15/11/1990",86.18
"15/2/1991",86.65
"15/5/1991",86.91
"15/8/1991",87.28
"15/11/1991",87.36
"15/2/1992",87.19
"15/5/1992",87.55
"15/8/1992",87.68
"15/11/1992",88.27
"15/2/1993",89.15
"15/5/1993",89.65
"15/8/1993",90
"15/11/1993",90.44
"15/2/1994",91.01
"15/5/1994",91.71
"15/8/1994",92.36
"15/11/1994",93.28
"15/2/1995",93.99
"15/5/1995",94.44
"15/8/1995",94.71
"15/11/1995",95.16
"15/2/1996",95.26
"15/5/1996",95.25
"15/8/1996",95.46
"15/11/1996",95.57
"15/2/1997",95.67
"15/5/1997",95.95
"15/8/1997",95.91
"15/11/1997",96.36
"15/2/1998",96.14
"15/5/1998",96.22
"15/8/1998",96.44
"15/11/1998",96.69
"15/2/1999",97.01
"15/5/1999",97.53
"15/8/1999",97.89
"15/11/1999",98.55
"15/2/2000",99.23
"15/5/2000",99.86
"15/8/2000",100.31
"15/11/2000",100.61
"15/2/2001",100.89
"15/5/2001",101.17
"15/8/2001",101.24
"15/11/2001",101.31
"15/2/2002",101.62
"15/5/2002",101.82
"15/8/2002",102.05
"15/11/2002",102.37
"15/2/2003",102.54
"15/5/2003",102.83
"15/8/2003",102.81
"15/11/2003",102.76
"15/2/2004",103.26
"15/5/2004",104.76
"15/8/2004",106.31
"15/11/2004",108.33
"15/2/2005",109.24
"15/5/2005",110.38
"15/8/2005",111.97
"15/11/2005",113.28
"15/2/2006",114.21
"15/5/2006",115.79
"15/8/2006",116.92
"15/11/2006",118.28
"15/2/2007",120.14
