"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CHAIN-TYPE PRICE OF GDP LESS CNSMPT OF FXD.CAP.GENL GOVT SADJ"
"Code","USCCFL.CE"
"CURRENCY","U$"
"15/2/1950",17.83
"15/5/1950",17.73
"15/8/1950",18.08
"15/11/1950",18.94
"15/2/1951",19.55
"15/5/1951",19.69
"15/8/1951",19.86
"15/11/1951",20.01
"15/2/1952",19.89
"15/5/1952",20.02
"15/8/1952",20.35
"15/11/1952",20.28
"15/2/1953",20.34
"15/5/1953",20.37
"15/8/1953",20.1
"15/11/1953",19.99
"15/2/1954",19.95
"15/5/1954",20.3
"15/8/1954",20.36
"15/11/1954",20.64
"15/2/1955",20.53
"15/5/1955",20.55
"15/8/1955",21
"15/11/1955",21.38
"15/2/1956",21.92
"15/5/1956",22.2
"15/8/1956",22.43
"15/11/1956",22.67
"15/2/1957",23.08
"15/5/1957",23.26
"15/8/1957",23.47
"15/11/1957",23.53
"15/2/1958",23.11
"15/5/1958",23.23
"15/8/1958",23.52
"15/11/1958",23.7
"15/2/1959",23.7
"15/5/1959",23.69
"15/8/1959",23.74
"15/11/1959",23.73
"15/2/1960",23.75
"15/5/1960",23.78
"15/8/1960",23.79
"15/11/1960",23.81
"15/2/1961",23.86
"15/5/1961",23.88
"15/8/1961",23.96
"15/11/1961",24.03
"15/2/1962",24.17
"15/5/1962",24.17
"15/8/1962",24.45
"15/11/1962",24.75
"15/2/1963",24.81
"15/5/1963",24.95
"15/8/1963",24.95
"15/11/1963",24.89
"15/2/1964",24.92
"15/5/1964",24.92
"15/8/1964",24.92
"15/11/1964",25
"15/2/1965",25.13
"15/5/1965",25.31
"15/8/1965",25.45
"15/11/1965",25.55
"15/2/1966",25.62
"15/5/1966",25.96
"15/8/1966",26.44
"15/11/1966",26.6
"15/2/1967",26.69
"15/5/1967",26.81
"15/8/1967",27.08
"15/11/1967",27.32
"15/2/1968",27.67
"15/5/1968",27.8
"15/8/1968",27.95
"15/11/1968",28.37
"15/2/1969",28.72
"15/5/1969",29.2
"15/8/1969",29.41
"15/11/1969",29.84
"15/2/1970",30.32
"15/5/1970",30.84
"15/8/1970",31.37
"15/11/1970",31.99
"15/2/1971",32.55
"15/5/1971",32.97
"15/8/1971",33.24
"15/11/1971",33.57
"15/2/1972",34.22
"15/5/1972",34.41
"15/8/1972",34.86
"15/11/1972",35.51
"15/2/1973",36.09
"15/5/1973",36.77
"15/8/1973",37.42
"15/11/1973",38.07
"15/2/1974",39.33
"15/5/1974",41.11
"15/8/1974",43.2
"15/11/1974",44.7
"15/2/1975",45.33
"15/5/1975",45.63
"15/8/1975",46.15
"15/11/1975",46.77
"15/2/1976",47.46
"15/5/1976",47.93
"15/8/1976",48.41
"15/11/1976",48.99
"15/2/1977",49.95
"15/5/1977",50.49
"15/8/1977",50.73
"15/11/1977",51.6
"15/2/1978",52.66
"15/5/1978",53.51
"15/8/1978",54.41
"15/11/1978",55
"15/2/1979",55.79
"15/5/1979",57.16
"15/8/1979",58.6
"15/11/1979",59.94
"15/2/1980",61.18
"15/5/1980",63.07
"15/8/1980",64.57
"15/11/1980",66.39
"15/2/1981",68.21
"15/5/1981",69.83
"15/8/1981",71.19
"15/11/1981",72.56
"15/2/1982",74.01
"15/5/1982",75.24
"15/8/1982",76.06
"15/11/1982",76.29
"15/2/1983",76.49
"15/5/1983",76.62
"15/8/1983",77.32
"15/11/1983",77.41
"15/2/1984",77.92
"15/5/1984",78.19
"15/8/1984",78.22
"15/11/1984",78.53
"15/2/1985",78.62
"15/5/1985",78.43
"15/8/1985",78.78
"15/11/1985",78.94
"15/2/1986",78.71
"15/5/1986",79.28
"15/8/1986",79.67
"15/11/1986",80.03
"15/2/1987",80.4
"15/5/1987",80.29
"15/8/1987",80.49
"15/11/1987",80.78
"15/2/1988",81.36
"15/5/1988",81.66
"15/8/1988",81.99
"15/11/1988",82.55
"15/2/1989",82.97
"15/5/1989",83.33
"15/8/1989",83.76
"15/11/1989",84.3
"15/2/1990",84.88
"15/5/1990",85.31
"15/8/1990",85.95
"15/11/1990",86.68
"15/2/1991",87.2
"15/5/1991",87.46
"15/8/1991",87.83
"15/11/1991",87.95
"15/2/1992",87.77
"15/5/1992",88.09
"15/8/1992",88.17
"15/11/1992",88.77
"15/2/1993",89.66
"15/5/1993",90.12
"15/8/1993",90.54
"15/11/1993",90.95
"15/2/1994",91.44
"15/5/1994",92.19
"15/8/1994",92.87
"15/11/1994",93.88
"15/2/1995",94.58
"15/5/1995",94.99
"15/8/1995",95.2
"15/11/1995",95.61
"15/2/1996",95.71
"15/5/1996",95.68
"15/8/1996",95.88
"15/11/1996",95.97
"15/2/1997",96.07
"15/5/1997",96.3
"15/8/1997",96.21
"15/11/1997",96.65
"15/2/1998",96.35
"15/5/1998",96.44
"15/8/1998",96.65
"15/11/1998",96.86
"15/2/1999",97.17
"15/5/1999",97.71
"15/8/1999",98.07
"15/11/1999",98.67
"15/2/2000",99.32
"15/5/2000",99.87
"15/8/2000",100.29
"15/11/2000",100.53
"15/2/2001",100.81
"15/5/2001",101.09
"15/8/2001",101.14
"15/11/2001",101.14
"15/2/2002",101.37
"15/5/2002",101.49
"15/8/2002",101.67
"15/11/2002",102
"15/2/2003",102.2
"15/5/2003",102.48
"15/8/2003",102.41
"15/11/2003",102.23
"15/2/2004",102.73
"15/5/2004",104.18
"15/8/2004",105.61
"15/11/2004",107.54
"15/2/2005",108.42
"15/5/2005",109.44
"15/8/2005",110.99
"15/11/2005",112.33
"15/2/2006",113.34
"15/5/2006",114.82
"15/8/2006",115.94
"15/11/2006",117.27
"15/2/2007",119.18
