"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CHAIN-TYPE PRICE OF GDP LESS CONSUMPT OF FXD.CAP.PRIVATE SADJ"
"Code","USCCFP.CE"
"CURRENCY","U$"
"15/2/1950",21.55
"15/5/1950",21.7
"15/8/1950",21.95
"15/11/1950",22.33
"15/2/1951",23.13
"15/5/1951",23.67
"15/8/1951",24.14
"15/11/1951",24.47
"15/2/1952",24.43
"15/5/1952",24.52
"15/8/1952",24.56
"15/11/1952",24.57
"15/2/1953",24.56
"15/5/1953",24.57
"15/8/1953",24.59
"15/11/1953",24.63
"15/2/1954",24.76
"15/5/1954",24.82
"15/8/1954",24.88
"15/11/1954",24.94
"15/2/1955",24.89
"15/5/1955",25.02
"15/8/1955",25.25
"15/11/1955",25.58
"15/2/1956",26.19
"15/5/1956",26.65
"15/8/1956",27.09
"15/11/1956",27.47
"15/2/1957",27.71
"15/5/1957",27.93
"15/8/1957",28.07
"15/11/1957",28.15
"15/2/1958",28.08
"15/5/1958",28.11
"15/8/1958",28.17
"15/11/1958",28.25
"15/2/1959",28.44
"15/5/1959",28.55
"15/8/1959",28.63
"15/11/1959",28.69
"15/2/1960",28.74
"15/5/1960",28.77
"15/8/1960",28.78
"15/11/1960",28.77
"15/2/1961",28.72
"15/5/1961",28.7
"15/8/1961",28.68
"15/11/1961",28.68
"15/2/1962",28.71
"15/5/1962",28.71
"15/8/1962",28.71
"15/11/1962",28.71
"15/2/1963",28.69
"15/5/1963",28.71
"15/8/1963",28.73
"15/11/1963",28.77
"15/2/1964",28.82
"15/5/1964",28.87
"15/8/1964",28.94
"15/11/1964",29.02
"15/2/1965",29.13
"15/5/1965",29.25
"15/8/1965",29.37
"15/11/1965",29.51
"15/2/1966",29.66
"15/5/1966",29.84
"15/8/1966",30.03
"15/11/1966",30.23
"15/2/1967",30.43
"15/5/1967",30.65
"15/8/1967",30.9
"15/11/1967",31.18
"15/2/1968",31.49
"15/5/1968",31.81
"15/8/1968",32.14
"15/11/1968",32.48
"15/2/1969",32.86
"15/5/1969",33.24
"15/8/1969",33.63
"15/11/1969",34.01
"15/2/1970",34.34
"15/5/1970",34.72
"15/8/1970",35.12
"15/11/1970",35.54
"15/2/1971",36.03
"15/5/1971",36.45
"15/8/1971",36.84
"15/11/1971",37.19
"15/2/1972",37.49
"15/5/1972",37.84
"15/8/1972",38.2
"15/11/1972",38.56
"15/2/1973",38.87
"15/5/1973",39.36
"15/8/1973",39.99
"15/11/1973",40.8
"15/2/1974",42
"15/5/1974",43.21
"15/8/1974",44.56
"15/11/1974",46.01
"15/2/1975",47.62
"15/5/1975",49.08
"15/8/1975",50.36
"15/11/1975",51.4
"15/2/1976",51.65
"15/5/1976",52.29
"15/8/1976",52.97
"15/11/1976",53.75
"15/2/1977",55.01
"15/5/1977",56.07
"15/8/1977",57.18
"15/11/1977",58.32
"15/2/1978",59.48
"15/5/1978",60.71
"15/8/1978",62
"15/11/1978",63.34
"15/2/1979",64.67
"15/5/1979",66.1
"15/8/1979",67.62
"15/11/1979",69.21
"15/2/1980",70.94
"15/5/1980",72.68
"15/8/1980",74.48
"15/11/1980",76.29
"15/2/1981",78.14
"15/5/1981",79.88
"15/8/1981",81.49
"15/11/1981",82.91
"15/2/1982",84.14
"15/5/1982",85.03
"15/8/1982",85.6
"15/11/1982",85.84
"15/2/1983",85.47
"15/5/1983",85.37
"15/8/1983",85.29
"15/11/1983",85.3
"15/2/1984",85.66
"15/5/1984",85.81
"15/8/1984",85.99
"15/11/1984",86.19
"15/2/1985",86.34
"15/5/1985",86.66
"15/8/1985",87.06
"15/11/1985",87.53
"15/2/1986",88.21
"15/5/1986",88.64
"15/8/1986",88.99
"15/11/1986",89.27
"15/2/1987",89.26
"15/5/1987",89.56
"15/8/1987",89.98
"15/11/1987",90.54
"15/2/1988",91.45
"15/5/1988",92.15
"15/8/1988",92.82
"15/11/1988",93.44
"15/2/1989",93.87
"15/5/1989",94.37
"15/8/1989",94.87
"15/11/1989",95.36
"15/2/1990",95.8
"15/5/1990",96.24
"15/8/1990",96.68
"15/11/1990",97.12
"15/2/1991",97.67
"15/5/1991",97.97
"15/8/1991",98.14
"15/11/1991",98.17
"15/2/1992",97.82
"15/5/1992",97.75
"15/8/1992",97.78
"15/11/1992",97.91
"15/2/1993",98.34
"15/5/1993",98.6
"15/8/1993",98.87
"15/11/1993",99.13
"15/2/1994",99.32
"15/5/1994",99.6
"15/8/1994",99.88
"15/11/1994",100.18
"15/2/1995",100.62
"15/5/1995",100.86
"15/8/1995",101
"15/11/1995",101.02
"15/2/1996",100.76
"15/5/1996",100.65
"15/8/1996",100.55
"15/11/1996",100.48
"15/2/1997",100.59
"15/5/1997",100.52
"15/8/1997",100.38
"15/11/1997",100.18
"15/2/1998",99.81
"15/5/1998",99.57
"15/8/1998",99.36
"15/11/1998",99.21
"15/2/1999",99.11
"15/5/1999",99.1
"15/8/1999",99.17
"15/11/1999",99.32
"15/2/2000",99.64
"15/5/2000",99.89
"15/8/2000",100.13
"15/11/2000",100.35
"15/2/2001",100.37
"15/5/2001",100.4
"15/8/2001",100.38
"15/11/2001",100.32
"15/2/2002",100.11
"15/5/2002",100.03
"15/8/2002",99.98
"15/11/2002",99.99
"15/2/2003",100.32
"15/5/2003",100.67
"15/8/2003",101.11
"15/11/2003",101.62
"15/2/2004",102.11
"15/5/2004",102.78
"15/8/2004",103.68
"15/11/2004",104.8
"15/2/2005",105.82
"15/5/2005",106.76
"15/8/2005",107.38
"15/11/2005",108.31
"15/2/2006",109.63
"15/5/2006",110.45
"15/8/2006",111.15
"15/11/2006",111.52
"15/2/2007",111.78
