"Start","15/2/1950"
"End","15/2/2005"
"Frequency","D"
"Name","US GROSS PRIVATE DOMESTIC INVESTMENT CURN"
"Code","USDGPRINA"
"CURRENCY","U$"
"15/2/1950",11.6
"15/5/1950",11.2
"15/8/1950",15
"15/11/1950",16.3
"15/2/1951",16.1
"15/5/1951",15.2
"15/8/1951",15.6
"15/11/1951",13.3
"15/2/1952",14.6
"15/5/1952",11.6
"15/8/1952",14
"15/11/1952",13.8
"15/2/1953",15
"15/5/1953",14.2
"15/8/1953",14.8
"15/11/1953",12.5
"15/2/1954",13.6
"15/5/1954",12.4
"15/8/1954",14.1
"15/11/1954",13.7
"15/2/1955",16.5
"15/5/1955",16.5
"15/8/1955",18.2
"15/11/1955",17.9
"15/2/1956",18.5
"15/5/1956",17.2
"15/8/1956",18.7
"15/11/1956",17.7
"15/2/1957",18
"15/5/1957",17.5
"15/8/1957",18.6
"15/11/1957",16.4
"15/2/1958",15.1
"15/5/1958",14.8
"15/8/1958",16.7
"15/11/1958",17.9
"15/2/1959",19.2
"15/5/1959",20.6
"15/8/1959",19.1
"15/11/1959",19.7
"15/2/1960",21.8
"15/5/1960",19.9
"15/8/1960",20.1
"15/11/1960",17.2
"15/2/1961",17.6
"15/5/1961",19.1
"15/8/1961",20.8
"15/11/1961",20.6
"15/2/1962",22.6
"15/5/1962",21.7
"15/8/1962",22.4
"15/11/1962",21.5
"15/2/1963",23.1
"15/5/1963",22.9
"15/8/1963",23.9
"15/11/1963",23.9
"15/2/1964",25
"15/5/1964",24.9
"15/8/1964",25.7
"15/11/1964",26.4
"15/2/1965",29.2
"15/5/1965",28.9
"15/8/1965",29.7
"15/11/1965",30.4
"15/2/1966",31.9
"15/5/1966",32.5
"15/8/1966",32.1
"15/11/1966",34.8
"15/2/1967",31.8
"15/5/1967",30.6
"15/8/1967",31.7
"15/11/1967",34.5
"15/2/1968",31.8
"15/5/1968",36
"15/8/1968",35.1
"15/11/1968",38.2
"15/2/1969",36.9
"15/5/1969",40.1
"15/8/1969",39.7
"15/11/1969",39.8
"15/2/1970",36.2
"15/5/1970",38.7
"15/8/1970",38
"15/11/1970",39.5
"15/2/1971",40.8
"15/5/1971",45.3
"15/8/1971",44.8
"15/11/1971",47.3
"15/2/1972",47.4
"15/5/1972",52.2
"15/8/1972",52.2
"15/11/1972",55.8
"15/2/1973",56.3
"15/5/1973",60.3
"15/8/1973",60.1
"15/11/1973",67.7
"15/2/1974",60.6
"15/5/1974",61.4
"15/8/1974",60.7
"15/11/1974",66.7
"15/2/1975",54.6
"15/5/1975",52.8
"15/8/1975",58.2
"15/11/1975",64.6
"15/2/1976",67.7
"15/5/1976",71.8
"15/8/1976",73.6
"15/11/1976",78.8
"15/2/1977",80.4
"15/5/1977",88.2
"15/8/1977",94.5
"15/11/1977",98.2
"15/2/1978",96
"15/5/1978",107.1
"15/8/1978",115
"15/11/1978",119.9
"15/2/1979",118.5
"15/5/1979",122.6
"15/8/1979",125.3
"15/11/1979",126.5
"15/2/1980",125.4
"15/5/1980",116.8
"15/8/1980",112.6
"15/11/1980",124.4
"15/2/1981",137.1
"15/5/1981",138.9
"15/8/1981",152.6
"15/11/1981",143.8
"15/2/1982",132.1
"15/5/1982",132
"15/8/1982",134.2
"15/11/1982",119
"15/2/1983",124.5
"15/5/1983",135.4
"15/8/1983",148.2
"15/11/1983",156.2
"15/2/1984",175.9
"15/5/1984",183.5
"15/8/1984",193.3
"15/11/1984",182.8
"15/2/1985",178.2
"15/5/1985",183.1
"15/8/1985",187.3
"15/11/1985",187.6
"15/2/1986",189.8
"15/5/1986",188.6
"15/8/1986",190
"15/11/1986",178.3
"15/2/1987",188.1
"15/5/1987",191.8
"15/8/1987",199.8
"15/11/1987",205.3
"15/2/1988",194.1
"15/5/1988",204
"15/8/1988",215.2
"15/11/1988",208.2
"15/2/1989",216.5
"15/5/1989",218.4
"15/8/1989",227
"15/11/1989",213.1
"15/2/1990",213.7
"15/5/1990",217.9
"15/8/1990",227.9
"15/11/1990",201.5
"15/2/1991",192
"15/5/1991",192.4
"15/8/1991",212.7
"15/11/1991",205.7
"15/2/1992",197.4
"15/5/1992",214.1
"15/8/1992",231.7
"15/11/1992",221.5
"15/2/1993",226.3
"15/5/1993",231.6
"15/8/1993",251.2
"15/11/1993",244.2
"15/2/1994",251.8
"15/5/1994",274.4
"15/8/1994",289.4
"15/11/1994",281.5
"15/2/1995",281
"15/5/1995",281.6
"15/8/1995",297.2
"15/11/1995",284.3
"15/2/1996",282.4
"15/5/1996",303.2
"15/8/1996",339.4
"15/11/1996",315.3
"15/2/1997",317.4
"15/5/1997",344.3
"15/8/1997",375.1
"15/11/1997",352.9
"15/2/1998",365.8
"15/5/1998",369.6
"15/8/1998",398
"15/11/1998",375.7
"15/2/1999",386.7
"15/5/1999",396
"15/8/1999",428.1
"15/11/1999",414.9
"15/2/2000",404.4
"15/5/2000",445.7
"15/8/2000",458.1
"15/11/2000",427.3
"15/2/2001",400.6
"15/5/2001",412.3
"15/8/2001",426.2
"15/11/2001",375.2
"15/2/2002",381.5
"15/5/2002",391.6
"15/8/2002",416.1
"15/11/2002",392.9
"15/2/2003",394.8
"15/5/2003",401.5
"15/8/2003",438.4
"15/11/2003",429.2
"15/2/2004",436.7
"15/5/2004",468
"15/8/2004",496.8
"15/11/2004",486.5
"15/2/2005",489.1
