"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US UNEMPLOYMENT RATE AS % OF LABOUR FORCE NADJ"
"Code","USEBQUEM%"
"CURRENCY",
"15/2/1950",6.4
"15/5/1950",5.6
"15/8/1950",4.6
"15/11/1950",4.2
"15/2/1951",3.5
"15/5/1951",3.1
"15/8/1951",3.2
"15/11/1951",3.4
"15/2/1952",3.1
"15/5/1952",3
"15/8/1952",3.2
"15/11/1952",2.8
"15/2/1953",2.7
"15/5/1953",2.6
"15/8/1953",2.7
"15/11/1953",3.7
"15/2/1954",5.3
"15/5/1954",5.8
"15/8/1954",6
"15/11/1954",5.3
"15/2/1955",4.7
"15/5/1955",4.4
"15/8/1955",4.1
"15/11/1955",4.2
"15/2/1956",4
"15/5/1956",4.2
"15/8/1956",4.1
"15/11/1956",4.1
"15/2/1957",3.9
"15/5/1957",4.1
"15/8/1957",4.2
"15/11/1957",4.9
"15/2/1958",6.3
"15/5/1958",7.4
"15/8/1958",7.3
"15/11/1958",6.4
"15/2/1959",5.8
"15/5/1959",5.1
"15/8/1959",5.3
"15/11/1959",5.6
"15/2/1960",5.1
"15/5/1960",5.2
"15/8/1960",5.5
"15/11/1960",6.3
"15/2/1961",6.8
"15/5/1961",7
"15/8/1961",6.8
"15/11/1961",6.2
"15/2/1962",5.6
"15/5/1962",5.5
"15/8/1962",5.6
"15/11/1962",5.5
"15/2/1963",5.8
"15/5/1963",5.7
"15/8/1963",5.5
"15/11/1963",5.6
"15/2/1964",5.5
"15/5/1964",5.2
"15/8/1964",5
"15/11/1964",5
"15/2/1965",4.9
"15/5/1965",4.7
"15/8/1965",4.4
"15/11/1965",4.1
"15/2/1966",3.9
"15/5/1966",3.8
"15/8/1966",3.8
"15/11/1966",3.7
"15/2/1967",3.8
"15/5/1967",3.8
"15/8/1967",3.8
"15/11/1967",3.9
"15/2/1968",3.7
"15/5/1968",3.6
"15/8/1968",3.5
"15/11/1968",3.4
"15/2/1969",3.4
"15/5/1969",3.4
"15/8/1969",3.6
"15/11/1969",3.6
"15/2/1970",4.2
"15/5/1970",4.8
"15/8/1970",5.2
"15/11/1970",5.8
"15/2/1971",5.9
"15/5/1971",5.9
"15/8/1971",6
"15/11/1971",5.9
"15/2/1972",5.8
"15/5/1972",5.7
"15/8/1972",5.6
"15/11/1972",5.4
"15/2/1973",4.9
"15/5/1973",4.9
"15/8/1973",4.8
"15/11/1973",4.8
"15/2/1974",5.1
"15/5/1974",5.2
"15/8/1974",5.6
"15/11/1974",6.6
"15/2/1975",8.3
"15/5/1975",8.9
"15/8/1975",8.5
"15/11/1975",8.3
"15/2/1976",7.7
"15/5/1976",7.6
"15/8/1976",7.7
"15/11/1976",7.8
"15/2/1977",7.5
"15/5/1977",7.1
"15/8/1977",6.9
"15/11/1977",6.7
"15/2/1978",6.3
"15/5/1978",6
"15/8/1978",6
"15/11/1978",5.9
"15/2/1979",5.9
"15/5/1979",5.7
"15/8/1979",5.9
"15/11/1979",6
"15/2/1980",6.3
"15/5/1980",7.3
"15/8/1980",7.7
"15/11/1980",7.4
"15/2/1981",7.4
"15/5/1981",7.4
"15/8/1981",7.4
"15/11/1981",8.2
"15/2/1982",8.8
"15/5/1982",9.4
"15/8/1982",9.9
"15/11/1982",10.7
"15/2/1983",10.4
"15/5/1983",10.1
"15/8/1983",9.4
"15/11/1983",8.5
"15/2/1984",7.9
"15/5/1984",7.4
"15/8/1984",7.4
"15/11/1984",7.3
"15/2/1985",7.2
"15/5/1985",7.3
"15/8/1985",7.2
"15/11/1985",7
"15/2/1986",7
"15/5/1986",7.2
"15/8/1986",7
"15/11/1986",6.8
"15/2/1987",6.6
"15/5/1987",6.3
"15/8/1987",6
"15/11/1987",5.8
"15/2/1988",5.7
"15/5/1988",5.5
"15/8/1988",5.5
"15/11/1988",5.3
"15/2/1989",5.2
"15/5/1989",5.2
"15/8/1989",5.2
"15/11/1989",5.4
"15/2/1990",5.3
"15/5/1990",5.3
"15/8/1990",5.7
"15/11/1990",6.1
"15/2/1991",6.6
"15/5/1991",6.8
"15/8/1991",6.9
"15/11/1991",7.1
"15/2/1992",7.4
"15/5/1992",7.6
"15/8/1992",7.6
"15/11/1992",7.4
"15/2/1993",7.1
"15/5/1993",7.1
"15/8/1993",6.8
"15/11/1993",6.6
"15/2/1994",6.6
"15/5/1994",6.2
"15/8/1994",6
"15/11/1994",5.6
"15/2/1995",5.5
"15/5/1995",5.7
"15/8/1995",5.7
"15/11/1995",5.6
"15/2/1996",5.5
"15/5/1996",5.5
"15/8/1996",5.3
"15/11/1996",5.3
"15/2/1997",5.2
"15/5/1997",5
"15/8/1997",4.9
"15/11/1997",4.7
"15/2/1998",4.6
"15/5/1998",4.4
"15/8/1998",4.5
"15/11/1998",4.4
"15/2/1999",4.3
"15/5/1999",4.3
"15/8/1999",4.2
"15/11/1999",4.1
"15/2/2000",4
"15/5/2000",3.9
"15/8/2000",4
"15/11/2000",3.9
"15/2/2001",4.2
"15/5/2001",4.4
"15/8/2001",4.8
"15/11/2001",5.5
"15/2/2002",5.7
"15/5/2002",5.8
"15/8/2002",5.7
"15/11/2002",5.9
"15/2/2003",5.8
"15/5/2003",6.1
"15/8/2003",6.1
"15/11/2003",5.9
"15/2/2004",5.7
"15/5/2004",5.6
"15/8/2004",5.4
"15/11/2004",5.4
"15/2/2005",5.3
"15/5/2005",5.1
"15/8/2005",5
"15/11/2005",5
"15/2/2006",4.7
"15/5/2006",4.6
"15/8/2006",4.7
"15/11/2006",4.5
"15/2/2007",4.5
