"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CONSUMPTION EXPENDITURE - GENERAL GOVERNMENT CONA"
"Code","USEONCGPD"
"CURRENCY","E"
"15/2/1950",6.09
"15/5/1950",6.12
"15/8/1950",5.96
"15/11/1950",6.49
"15/2/1951",7.41
"15/5/1951",8.09
"15/8/1951",8.94
"15/11/1951",9.23
"15/2/1952",9.56
"15/5/1952",10.19
"15/8/1952",10.41
"15/11/1952",10.75
"15/2/1953",10.96
"15/5/1953",11.21
"15/8/1953",11.01
"15/11/1953",11.25
"15/2/1954",10.81
"15/5/1954",10.51
"15/8/1954",10.55
"15/11/1954",10.61
"15/2/1955",10.75
"15/5/1955",10.71
"15/8/1955",11.16
"15/11/1955",11.1
"15/2/1956",11.08
"15/5/1956",11.55
"15/8/1956",11.3
"15/11/1956",11.8
"15/2/1957",12.33
"15/5/1957",12.43
"15/8/1957",12.56
"15/11/1957",12.93
"15/2/1958",12.8
"15/5/1958",13.38
"15/8/1958",13.28
"15/11/1958",13.6
"15/2/1959",13.06
"15/5/1959",13.46
"15/8/1959",13.63
"15/11/1959",13.72
"15/2/1960",13.45
"15/5/1960",13.68
"15/8/1960",14.08
"15/11/1960",14.38
"15/2/1961",14.23
"15/5/1961",14.62
"15/8/1961",14.85
"15/11/1961",15.15
"15/2/1962",15.7
"15/5/1962",15.97
"15/8/1962",16.37
"15/11/1962",16.59
"15/2/1963",16.72
"15/5/1963",16.79
"15/8/1963",17.37
"15/11/1963",17.69
"15/2/1964",17.87
"15/5/1964",18.07
"15/8/1964",18.3
"15/11/1964",18.25
"15/2/1965",18.47
"15/5/1965",18.79
"15/8/1965",19.61
"15/11/1965",20.51
"15/2/1966",20.84
"15/5/1966",21.64
"15/8/1966",22.61
"15/11/1966",22.99
"15/2/1967",24.23
"15/5/1967",24.64
"15/8/1967",25.16
"15/11/1967",25.88
"15/2/1968",26.9
"15/5/1968",27.31
"15/8/1968",27.9
"15/11/1968",28.55
"15/2/1969",28.58
"15/5/1969",29.38
"15/8/1969",30.25
"15/11/1969",30.75
"15/2/1970",31.22
"15/5/1970",31.37
"15/8/1970",31.95
"15/11/1970",32.39
"15/2/1971",33.37
"15/5/1971",33.97
"15/8/1971",34.4
"15/11/1971",34.89
"15/2/1972",36.27
"15/5/1972",36.87
"15/8/1972",36.79
"15/11/1972",37.42
"15/2/1973",38.24
"15/5/1973",38.94
"15/8/1973",39.29
"15/11/1973",40.26
"15/2/1974",41.7
"15/5/1974",42.63
"15/8/1974",44.25
"15/11/1974",46.07
"15/2/1975",47.32
"15/5/1975",48.69
"15/8/1975",49.74
"15/11/1975",50.91
"15/2/1976",51.51
"15/5/1976",52.44
"15/8/1976",52.98
"15/11/1976",54.41
"15/2/1977",55.81
"15/5/1977",57.2
"15/8/1977",58.35
"15/11/1977",59.97
"15/2/1978",60.98
"15/5/1978",62.2
"15/8/1978",63.27
"15/11/1978",64.82
"15/2/1979",66.52
"15/5/1979",67.93
"15/8/1979",69.01
"15/11/1979",71.71
"15/2/1980",74.27
"15/5/1980",77.24
"15/8/1980",78.37
"15/11/1980",81.09
"15/2/1981",83.84
"15/5/1981",86.26
"15/8/1981",87.3
"15/11/1981",90.07
"15/2/1982",92.07
"15/5/1982",93.29
"15/8/1982",95.51
"15/11/1982",98.34
"15/2/1983",99.93
"15/5/1983",101.68
"15/8/1983",103.85
"15/11/1983",102.08
"15/2/1984",105.85
"15/5/1984",109.19
"15/8/1984",110.87
"15/11/1984",113.01
"15/2/1985",116.23
"15/5/1985",118.55
"15/8/1985",121.63
"15/11/1985",124.25
"15/2/1986",125.82
"15/5/1986",128.51
"15/8/1986",131.2
"15/11/1986",132.45
"15/2/1987",134.02
"15/5/1987",135.32
"15/8/1987",135.95
"15/11/1987",138.79
"15/2/1988",140.27
"15/5/1988",141.34
"15/8/1988",142.01
"15/11/1988",145.58
"15/2/1989",146.63
"15/5/1989",149.92
"15/8/1989",151.47
"15/11/1989",153.57
"15/2/1990",212.32
"15/5/1990",212.8
"15/8/1990",212.79
"15/11/1990",214.5
"15/2/1991",216.69
"15/5/1991",216.72
"15/8/1991",215.49
"15/11/1991",214.47
"15/2/1992",215.22
"15/5/1992",215.67
"15/8/1992",217.81
"15/11/1992",218.53
"15/2/1993",216.66
"15/5/1993",215.76
"15/8/1993",215.82
"15/11/1993",216.39
"15/2/1994",215.76
"15/5/1994",215.99
"15/8/1994",218.41
"15/11/1994",216.94
"15/2/1995",217.39
"15/5/1995",217.92
"15/8/1995",218.28
"15/11/1995",215.29
"15/2/1996",216.09
"15/5/1996",218.69
"15/8/1996",217.71
"15/11/1996",219.61
"15/2/1997",219.64
"15/5/1997",222.13
"15/8/1997",222.38
"15/11/1997",223.45
"15/2/1998",222.3
"15/5/1998",225.43
"15/8/1998",225.48
"15/11/1998",228.57
"15/2/1999",230.11
"15/5/1999",230.31
"15/8/1999",233.24
"15/11/1999",236.11
"15/2/2000",233.74
"15/5/2000",237.91
"15/8/2000",236.53
"15/11/2000",237.58
"15/2/2001",240.27
"15/5/2001",242.57
"15/8/2001",244.35
"15/11/2001",247.91
"15/2/2002",250.31
"15/5/2002",253.3
"15/8/2002",254.72
"15/11/2002",258.37
"15/2/2003",257.49
"15/5/2003",261.54
"15/8/2003",261.19
"15/11/2003",262.27
"15/2/2004",263.84
"15/5/2004",264.14
"15/8/2004",265.59
"15/11/2004",264.69
"15/2/2005",265.76
"15/5/2005",265.84
"15/8/2005",268.36
"15/11/2005",266.58
"15/2/2006",269.43
"15/5/2006",269.06
"15/8/2006",270.4
"15/11/2006",272.77
"15/2/2007",272.5
