"Start","15/2/1959"
"End","15/2/1999"
"Frequency","D"
"Name","US CONSUMPTION EXPENDITURE - HOUSEHOLDS CONA"
"Code","USEONCHPD"
"CURRENCY","E"
"15/2/1959",243.28
"15/5/1959",247.15
"15/8/1959",249.9
"15/11/1959",250.31
"15/2/1960",252.62
"15/5/1960",255.65
"15/8/1960",254.57
"15/11/1960",254.8
"15/2/1961",254.69
"15/5/1961",258.51
"15/8/1961",259.9
"15/11/1961",265.1
"15/2/1962",267.87
"15/5/1962",271.12
"15/8/1962",273.41
"15/11/1962",277.14
"15/2/1963",279.02
"15/5/1963",281.7
"15/8/1963",285.49
"15/11/1963",287.88
"15/2/1964",293.66
"15/5/1964",298.9
"15/8/1964",304.36
"15/11/1964",305.2
"15/2/1965",311.88
"15/5/1965",315.41
"15/8/1965",320.74
"15/11/1965",329.95
"15/2/1966",334.86
"15/5/1966",335.8
"15/8/1966",339.62
"15/11/1966",340.81
"15/2/1967",342.95
"15/5/1967",347.62
"15/8/1967",349.33
"15/11/1967",351.35
"15/2/1968",359.63
"15/5/1968",365.19
"15/8/1968",372.06
"15/11/1968",373.71
"15/2/1969",377.9
"15/5/1969",380.28
"15/8/1969",382.17
"15/11/1969",385.15
"15/2/1970",387.55
"15/5/1970",389.43
"15/8/1970",392.75
"15/11/1970",391.51
"15/2/1971",398.95
"15/5/1971",402.5
"15/8/1971",405.59
"15/11/1971",412.2
"15/2/1972",417.68
"15/5/1972",425.3
"15/8/1972",431.64
"15/11/1972",441.5
"15/2/1973",449.36
"15/5/1973",448.85
"15/8/1973",451.05
"15/11/1973",449.75
"15/2/1974",446.22
"15/5/1974",448
"15/8/1974",449.72
"15/11/1974",442.35
"15/2/1975",446.31
"15/5/1975",453.96
"15/8/1975",460.27
"15/11/1975",465.04
"15/2/1976",474.9
"15/5/1976",479.11
"15/8/1976",483.82
"15/11/1976",490.28
"15/2/1977",496.23
"15/5/1977",499.07
"15/8/1977",503.79
"15/11/1977",511.02
"15/2/1978",513.77
"15/5/1978",524.7
"15/8/1978",527.11
"15/11/1978",531.09
"15/2/1979",534.2
"15/5/1979",533.38
"15/8/1979",537.86
"15/11/1979",539.9
"15/2/1980",539.36
"15/5/1980",527.22
"15/8/1980",532.49
"15/11/1980",538.83
"15/2/1981",540.86
"15/5/1981",540.89
"15/8/1981",543.2
"15/11/1981",539.03
"15/2/1982",542.35
"15/5/1982",543.79
"15/8/1982",546.98
"15/11/1982",555.79
"15/2/1983",560.55
"15/5/1983",571.83
"15/8/1983",580.19
"15/11/1983",589.34
"15/2/1984",595.62
"15/5/1984",603.35
"15/8/1984",607.06
"15/11/1984",614.55
"15/2/1985",623.54
"15/5/1985",628.8
"15/8/1985",639.68
"15/11/1985",641.46
"15/2/1986",647.12
"15/5/1986",654.05
"15/8/1986",664.67
"15/11/1986",668.58
"15/2/1987",668.74
"15/5/1987",677.31
"15/8/1987",684.22
"15/11/1987",684.86
"15/2/1988",696.88
"15/5/1988",701.86
"15/8/1988",707.7
"15/11/1988",715.51
"15/2/1989",716.17
"15/5/1989",718.76
"15/8/1989",725.12
"15/11/1989",727.22
"15/2/1990",733.23
"15/5/1990",734.27
"15/8/1990",736.72
"15/11/1990",731.02
"15/2/1991",725.35
"15/5/1991",729.88
"15/8/1991",731.57
"15/11/1991",729.72
"15/2/1992",741.21
"15/5/1992",745.22
"15/8/1992",750.6
"15/11/1992",760.48
"15/2/1993",761.28
"15/5/1993",767.67
"15/8/1993",775.45
"15/11/1993",781.02
"15/2/1994",788.38
"15/5/1994",794.2
"15/8/1994",798.82
"15/11/1994",805.19
"15/2/1995",808.96
"15/5/1995",815.76
"15/8/1995",821.05
"15/11/1995",825.78
"15/2/1996",833.25
"15/5/1996",842.93
"15/8/1996",846.78
"15/11/1996",852.87
"15/2/1997",861.9
"15/5/1997",865.32
"15/8/1997",878.52
"15/11/1997",884.56
"15/2/1998",897.72
"15/5/1998",911.05
"15/8/1998",920.22
"15/11/1998",931.62
"15/2/1999",946.87
