"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CONSUMPTION EXPENDITURE - HOUSEHOLDS & NPISH CONA"
"Code","USEONHHPD"
"CURRENCY","E"
"15/2/1950",195.84
"15/5/1950",198.98
"15/8/1950",209.21
"15/11/1950",203.05
"15/2/1951",207.83
"15/5/1951",202.07
"15/8/1951",204.42
"15/11/1951",205.64
"15/2/1952",206.2
"15/5/1952",210.16
"15/8/1952",211.09
"15/11/1952",218.49
"15/2/1953",221.13
"15/5/1953",222.5
"15/8/1953",221.97
"15/11/1953",220.49
"15/2/1954",221.29
"15/5/1954",224.06
"15/8/1954",227.03
"15/11/1954",231.74
"15/2/1955",236.9
"15/5/1955",241.39
"15/8/1955",244.36
"15/11/1955",247.37
"15/2/1956",247.76
"15/5/1956",248.58
"15/8/1956",249.14
"15/11/1956",252.54
"15/2/1957",254.27
"15/5/1957",254.69
"15/8/1957",256.77
"15/11/1957",256.91
"15/2/1958",253.32
"15/5/1958",255.35
"15/8/1958",259.43
"15/11/1958",262.7
"15/2/1959",267.08
"15/5/1959",271.6
"15/8/1959",274.66
"15/11/1959",275.04
"15/2/1960",277.53
"15/5/1960",280.94
"15/8/1960",279.79
"15/11/1960",280.1
"15/2/1961",280.08
"15/5/1961",284.29
"15/8/1961",285.67
"15/11/1961",291.41
"15/2/1962",294.52
"15/5/1962",298.1
"15/8/1962",300.53
"15/11/1962",304.82
"15/2/1963",306.85
"15/5/1963",309.81
"15/8/1963",314.01
"15/11/1963",316.68
"15/2/1964",322.97
"15/5/1964",328.69
"15/8/1964",334.76
"15/11/1964",335.71
"15/2/1965",343.11
"15/5/1965",346.91
"15/8/1965",352.86
"15/11/1965",362.79
"15/2/1966",368.13
"15/5/1966",369.14
"15/8/1966",373.36
"15/11/1966",374.92
"15/2/1967",377.12
"15/5/1967",382.16
"15/8/1967",384.11
"15/11/1967",386.43
"15/2/1968",395.62
"15/5/1968",401.71
"15/8/1968",409.26
"15/11/1968",411.08
"15/2/1969",415.7
"15/5/1969",418.32
"15/8/1969",420.25
"15/11/1969",423.54
"15/2/1970",426.1
"15/5/1970",428.07
"15/8/1970",431.82
"15/11/1970",430.59
"15/2/1971",438.87
"15/5/1971",442.92
"15/8/1971",446.45
"15/11/1971",453.89
"15/2/1972",459.91
"15/5/1972",468.61
"15/8/1972",475.8
"15/11/1972",486.88
"15/2/1973",495.69
"15/5/1973",495.43
"15/8/1973",497.19
"15/11/1973",495.72
"15/2/1974",491.45
"15/5/1974",493.41
"15/8/1974",495.62
"15/11/1974",488.48
"15/2/1975",492.64
"15/5/1975",500.68
"15/8/1975",507.8
"15/11/1975",513.09
"15/2/1976",523.29
"15/5/1976",527.95
"15/8/1976",533.48
"15/11/1976",540.5
"15/2/1977",546.9
"15/5/1977",549.86
"15/8/1977",555.09
"15/11/1977",563.44
"15/2/1978",566.63
"15/5/1978",578.72
"15/8/1978",581.24
"15/11/1978",585.97
"15/2/1979",589.03
"15/5/1979",588.8
"15/8/1979",594.63
"15/11/1979",596.35
"15/2/1980",595.4
"15/5/1980",582.12
"15/8/1980",588.45
"15/11/1980",596.3
"15/2/1981",598.83
"15/5/1981",598.97
"15/8/1981",601.35
"15/11/1981",596.8
"15/2/1982",600.74
"15/5/1982",602.86
"15/8/1982",607.5
"15/11/1982",618.54
"15/2/1983",624.6
"15/5/1983",637.03
"15/8/1983",648.33
"15/11/1983",658.55
"15/2/1984",664.23
"15/5/1984",673.75
"15/8/1984",678.96
"15/11/1984",687.91
"15/2/1985",699.46
"15/5/1985",705.83
"15/8/1985",719.22
"15/11/1985",720.85
"15/2/1986",726.85
"15/5/1986",734.55
"15/8/1986",747.3
"15/11/1986",752.06
"15/2/1987",752.39
"15/5/1987",762.66
"15/8/1987",771.24
"15/11/1987",773.13
"15/2/1988",785.99
"15/5/1988",791.61
"15/8/1988",798.23
"15/11/1988",807.59
"15/2/1989",810.6
"15/5/1989",814.42
"15/8/1989",822.17
"15/11/1989",825.94
"15/2/1990",832.64
"15/5/1990",835.42
"15/8/1990",838.85
"15/11/1990",832.85
"15/2/1991",829.32
"15/5/1991",836.54
"15/8/1991",840.17
"15/11/1991",839.43
"15/2/1992",853.28
"15/5/1992",858.18
"15/8/1992",866.72
"15/11/1992",876.8
"15/2/1993",879.93
"15/5/1993",887.74
"15/8/1993",897.44
"15/11/1993",905.42
"15/2/1994",915.47
"15/5/1994",922.06
"15/8/1994",928.66
"15/11/1994",937.94
"15/2/1995",939.43
"15/5/1995",947.22
"15/8/1995",955.46
"15/11/1995",961.99
"15/2/1996",970.48
"15/5/1996",981.03
"15/8/1996",987.3
"15/11/1996",995.51
"15/2/1997",1006.27
"15/5/1997",1010.95
"15/8/1997",1027.56
"15/11/1997",1038.18
"15/2/1998",1049.63
"15/5/1998",1066.31
"15/8/1998",1079.19
"15/11/1998",1093.74
"15/2/1999",1104.67
"15/5/1999",1121.9
"15/8/1999",1133.62
"15/11/1999",1147.64
"15/2/2000",1165.94
"15/5/2000",1173.29
"15/8/2000",1184.61
"15/11/2000",1194.59
"15/2/2001",1199.51
"15/5/2001",1202.52
"15/8/2001",1207.8
"15/11/2001",1228.3
"15/2/2002",1232.6
"15/5/2002",1239.83
"15/8/2002",1246.78
"15/11/2002",1251.16
"15/2/2003",1257.58
"15/5/2003",1268.85
"15/8/2003",1286.99
"15/11/2003",1294.23
"15/2/2004",1308.38
"15/5/2004",1316.32
"15/8/2004",1327.7
"15/11/2004",1341.49
"15/2/2005",1349.39
"15/5/2005",1360.9
"15/8/2005",1374.49
"15/11/2005",1378.7
"15/2/2006",1393.58
"15/5/2006",1401.88
"15/8/2006",1411.42
"15/11/2006",1424.96
"15/2/2007",1438
