"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CONSUMPTION EXPENDITURE - GENERAL GOVERNMENT (%QOQ) SADJ"
"Code","USESNCG%Q"
"CURRENCY",
"15/2/1950",0.6
"15/5/1950",0.5
"15/8/1950",-2.7
"15/11/1950",9
"15/2/1951",14.1
"15/5/1951",9.2
"15/8/1951",10.5
"15/11/1951",3.2
"15/2/1952",3.6
"15/5/1952",6.6
"15/8/1952",2.1
"15/11/1952",3.2
"15/2/1953",2
"15/5/1953",2.3
"15/8/1953",-1.8
"15/11/1953",2.1
"15/2/1954",-3.9
"15/5/1954",-2.8
"15/8/1954",0.3
"15/11/1954",0.6
"15/2/1955",1.3
"15/5/1955",-0.3
"15/8/1955",4.2
"15/11/1955",-0.6
"15/2/1956",-0.2
"15/5/1956",4.2
"15/8/1956",-2.2
"15/11/1956",4.4
"15/2/1957",4.5
"15/5/1957",0.8
"15/8/1957",1.1
"15/11/1957",2.9
"15/2/1958",-1
"15/5/1958",4.6
"15/8/1958",-0.7
"15/11/1958",2.4
"15/2/1959",-3.9
"15/5/1959",3.1
"15/8/1959",1.2
"15/11/1959",0.6
"15/2/1960",-1.9
"15/5/1960",1.7
"15/8/1960",2.9
"15/11/1960",2.1
"15/2/1961",-1
"15/5/1961",2.7
"15/8/1961",1.6
"15/11/1961",2
"15/2/1962",3.6
"15/5/1962",1.7
"15/8/1962",2.5
"15/11/1962",1.3
"15/2/1963",0.8
"15/5/1963",0.4
"15/8/1963",3.5
"15/11/1963",1.8
"15/2/1964",1
"15/5/1964",1.1
"15/8/1964",1.3
"15/11/1964",-0.3
"15/2/1965",1.2
"15/5/1965",1.7
"15/8/1965",4.4
"15/11/1965",4.6
"15/2/1966",1.6
"15/5/1966",3.8
"15/8/1966",4.5
"15/11/1966",1.7
"15/2/1967",5.4
"15/5/1967",1.7
"15/8/1967",2.1
"15/11/1967",2.9
"15/2/1968",3.9
"15/5/1968",1.6
"15/8/1968",2.1
"15/11/1968",2.3
"15/2/1969",0.1
"15/5/1969",2.8
"15/8/1969",3
"15/11/1969",1.7
"15/2/1970",1.5
"15/5/1970",0.5
"15/8/1970",1.9
"15/11/1970",1.4
"15/2/1971",3
"15/5/1971",1.8
"15/8/1971",1.3
"15/11/1971",1.4
"15/2/1972",4
"15/5/1972",1.7
"15/8/1972",-0.2
"15/11/1972",1.7
"15/2/1973",2.2
"15/5/1973",1.8
"15/8/1973",0.9
"15/11/1973",2.5
"15/2/1974",3.6
"15/5/1974",2.2
"15/8/1974",3.8
"15/11/1974",4.1
"15/2/1975",2.7
"15/5/1975",2.9
"15/8/1975",2.2
"15/11/1975",2.3
"15/2/1976",1.2
"15/5/1976",1.8
"15/8/1976",1
"15/11/1976",2.7
"15/2/1977",2.6
"15/5/1977",2.5
"15/8/1977",2
"15/11/1977",2.8
"15/2/1978",1.7
"15/5/1978",2
"15/8/1978",1.7
"15/11/1978",2.5
"15/2/1979",2.6
"15/5/1979",2.1
"15/8/1979",1.6
"15/11/1979",3.9
"15/2/1980",3.6
"15/5/1980",4
"15/8/1980",1.5
"15/11/1980",3.5
"15/2/1981",3.4
"15/5/1981",2.9
"15/8/1981",1.2
"15/11/1981",3.2
"15/2/1982",2.2
"15/5/1982",1.3
"15/8/1982",2.4
"15/11/1982",3
"15/2/1983",1.6
"15/5/1983",1.8
"15/8/1983",2.1
"15/11/1983",-1.7
"15/2/1984",3.7
"15/5/1984",3.2
"15/8/1984",1.5
"15/11/1984",1.9
"15/2/1985",2.8
"15/5/1985",2
"15/8/1985",2.6
"15/11/1985",2.2
"15/2/1986",1.3
"15/5/1986",2.1
"15/8/1986",2.1
"15/11/1986",1
"15/2/1987",1.2
"15/5/1987",1
"15/8/1987",0.5
"15/11/1987",2.1
"15/2/1988",1.1
"15/5/1988",0.8
"15/8/1988",0.5
"15/11/1988",2.5
"15/2/1989",0.7
"15/5/1989",2.2
"15/8/1989",1
"15/11/1989",1.4
"15/2/1990",38.3
"15/5/1990",0.2
"15/8/1990",0
"15/11/1990",0.8
"15/2/1991",1
"15/5/1991",0
"15/8/1991",-0.6
"15/11/1991",-0.5
"15/2/1992",0.4
"15/5/1992",0.2
"15/8/1992",1
"15/11/1992",0.3
"15/2/1993",-0.9
"15/5/1993",-0.4
"15/8/1993",0
"15/11/1993",0.3
"15/2/1994",-0.3
"15/5/1994",0.1
"15/8/1994",1.1
"15/11/1994",-0.7
"15/2/1995",0.2
"15/5/1995",0.2
"15/8/1995",0.2
"15/11/1995",-1.4
"15/2/1996",0.4
"15/5/1996",1.2
"15/8/1996",-0.5
"15/11/1996",0.9
"15/2/1997",0
"15/5/1997",1.1
"15/8/1997",0.1
"15/11/1997",0.5
"15/2/1998",-0.5
"15/5/1998",1.4
"15/8/1998",0
"15/11/1998",1.4
"15/2/1999",0.7
"15/5/1999",0.1
"15/8/1999",1.3
"15/11/1999",1.2
"15/2/2000",-1
"15/5/2000",1.8
"15/8/2000",-0.6
"15/11/2000",0.4
"15/2/2001",1.1
"15/5/2001",1
"15/8/2001",0.7
"15/11/2001",1.5
"15/2/2002",1
"15/5/2002",1.2
"15/8/2002",0.6
"15/11/2002",1.4
"15/2/2003",-0.3
"15/5/2003",1.6
"15/8/2003",-0.1
"15/11/2003",0.4
"15/2/2004",0.6
"15/5/2004",0.1
"15/8/2004",0.5
"15/11/2004",-0.3
"15/2/2005",0.4
"15/5/2005",0
"15/8/2005",0.9
"15/11/2005",-0.7
"15/2/2006",1.1
"15/5/2006",-0.1
"15/8/2006",0.5
"15/11/2006",0.9
"15/2/2007",-0.1
