"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CONSUMPTION EXPENDITURE - GENERAL GOVERNMENT (%YOY) SADJ"
"Code","USESNCG&Q"
"CURRENCY",
"15/2/1950",-1.4
"15/5/1950",-2.9
"15/8/1950",-3.3
"15/11/1950",7.2
"15/2/1951",21.6
"15/5/1951",32.2
"15/8/1951",50.1
"15/11/1951",42.2
"15/2/1952",29.1
"15/5/1952",26
"15/8/1952",16.4
"15/11/1952",16.5
"15/2/1953",14.7
"15/5/1953",10
"15/8/1953",5.8
"15/11/1953",4.7
"15/2/1954",-1.4
"15/5/1954",-6.3
"15/8/1954",-4.2
"15/11/1954",-5.6
"15/2/1955",-0.6
"15/5/1955",1.9
"15/8/1955",5.9
"15/11/1955",4.6
"15/2/1956",3.1
"15/5/1956",7.8
"15/8/1956",1.2
"15/11/1956",6.3
"15/2/1957",11.3
"15/5/1957",7.7
"15/8/1957",11.2
"15/11/1957",9.6
"15/2/1958",3.8
"15/5/1958",7.7
"15/8/1958",5.7
"15/11/1958",5.2
"15/2/1959",2.1
"15/5/1959",0.6
"15/8/1959",2.6
"15/11/1959",0.9
"15/2/1960",2.9
"15/5/1960",1.6
"15/8/1960",3.3
"15/11/1960",4.9
"15/2/1961",5.8
"15/5/1961",6.8
"15/8/1961",5.5
"15/11/1961",5.3
"15/2/1962",10.3
"15/5/1962",9.2
"15/8/1962",10.2
"15/11/1962",9.5
"15/2/1963",6.5
"15/5/1963",5.1
"15/8/1963",6.1
"15/11/1963",6.6
"15/2/1964",6.9
"15/5/1964",7.7
"15/8/1964",5.4
"15/11/1964",3.2
"15/2/1965",3.4
"15/5/1965",4
"15/8/1965",7.1
"15/11/1965",12.3
"15/2/1966",12.8
"15/5/1966",15.2
"15/8/1966",15.3
"15/11/1966",12.1
"15/2/1967",16.3
"15/5/1967",13.9
"15/8/1967",11.3
"15/11/1967",12.6
"15/2/1968",11
"15/5/1968",10.8
"15/8/1968",10.9
"15/11/1968",10.3
"15/2/1969",6.3
"15/5/1969",7.6
"15/8/1969",8.4
"15/11/1969",7.7
"15/2/1970",9.2
"15/5/1970",6.8
"15/8/1970",5.6
"15/11/1970",5.3
"15/2/1971",6.9
"15/5/1971",8.3
"15/8/1971",7.7
"15/11/1971",7.7
"15/2/1972",8.7
"15/5/1972",8.5
"15/8/1972",6.9
"15/11/1972",7.3
"15/2/1973",5.4
"15/5/1973",5.6
"15/8/1973",6.8
"15/11/1973",7.6
"15/2/1974",9
"15/5/1974",9.5
"15/8/1974",12.6
"15/11/1974",14.4
"15/2/1975",13.5
"15/5/1975",14.2
"15/8/1975",12.4
"15/11/1975",10.5
"15/2/1976",8.9
"15/5/1976",7.7
"15/8/1976",6.5
"15/11/1976",6.9
"15/2/1977",8.4
"15/5/1977",9.1
"15/8/1977",10.1
"15/11/1977",10.2
"15/2/1978",9.3
"15/5/1978",8.8
"15/8/1978",8.4
"15/11/1978",8.1
"15/2/1979",9.1
"15/5/1979",9.2
"15/8/1979",9.1
"15/11/1979",10.6
"15/2/1980",11.6
"15/5/1980",13.7
"15/8/1980",13.6
"15/11/1980",13.1
"15/2/1981",12.9
"15/5/1981",11.7
"15/8/1981",11.4
"15/11/1981",11.1
"15/2/1982",9.8
"15/5/1982",8.1
"15/8/1982",9.4
"15/11/1982",9.2
"15/2/1983",8.5
"15/5/1983",9
"15/8/1983",8.7
"15/11/1983",3.8
"15/2/1984",5.9
"15/5/1984",7.4
"15/8/1984",6.8
"15/11/1984",10.7
"15/2/1985",9.8
"15/5/1985",8.6
"15/8/1985",9.7
"15/11/1985",10
"15/2/1986",8.3
"15/5/1986",8.4
"15/8/1986",7.9
"15/11/1986",6.6
"15/2/1987",6.5
"15/5/1987",5.3
"15/8/1987",3.6
"15/11/1987",4.8
"15/2/1988",4.7
"15/5/1988",4.5
"15/8/1988",4.5
"15/11/1988",4.9
"15/2/1989",4.5
"15/5/1989",6.1
"15/8/1989",6.7
"15/11/1989",5.5
"15/2/1990",44.8
"15/5/1990",41.9
"15/8/1990",40.5
"15/11/1990",39.7
"15/2/1991",2.1
"15/5/1991",1.8
"15/8/1991",1.3
"15/11/1991",0
"15/2/1992",-0.7
"15/5/1992",-0.5
"15/8/1992",1.1
"15/11/1992",1.9
"15/2/1993",0.7
"15/5/1993",0
"15/8/1993",-0.9
"15/11/1993",-1
"15/2/1994",-0.4
"15/5/1994",0.1
"15/8/1994",1.2
"15/11/1994",0.3
"15/2/1995",0.8
"15/5/1995",0.9
"15/8/1995",-0.1
"15/11/1995",-0.8
"15/2/1996",-0.6
"15/5/1996",0.4
"15/8/1996",-0.3
"15/11/1996",2
"15/2/1997",1.6
"15/5/1997",1.6
"15/8/1997",2.1
"15/11/1997",1.7
"15/2/1998",1.2
"15/5/1998",1.5
"15/8/1998",1.4
"15/11/1998",2.3
"15/2/1999",3.5
"15/5/1999",2.2
"15/8/1999",3.4
"15/11/1999",3.3
"15/2/2000",1.6
"15/5/2000",3.3
"15/8/2000",1.4
"15/11/2000",0.6
"15/2/2001",2.8
"15/5/2001",2
"15/8/2001",3.3
"15/11/2001",4.3
"15/2/2002",4.2
"15/5/2002",4.4
"15/8/2002",4.2
"15/11/2002",4.2
"15/2/2003",2.9
"15/5/2003",3.3
"15/8/2003",2.5
"15/11/2003",1.5
"15/2/2004",2.5
"15/5/2004",1
"15/8/2004",1.7
"15/11/2004",0.9
"15/2/2005",0.7
"15/5/2005",0.6
"15/8/2005",1
"15/11/2005",0.7
"15/2/2006",1.4
"15/5/2006",1.2
"15/8/2006",0.8
"15/11/2006",2.3
"15/2/2007",1.1
