"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CONSUMPTION EXPENDITURE - GENERAL GOVERNMENT CONA"
"Code","USESNCGPD"
"CURRENCY","E"
"15/2/1950",9.88
"15/5/1950",9.93
"15/8/1950",9.66
"15/11/1950",10.53
"15/2/1951",12.02
"15/5/1951",13.13
"15/8/1951",14.51
"15/11/1951",14.97
"15/2/1952",15.51
"15/5/1952",16.54
"15/8/1952",16.89
"15/11/1952",17.43
"15/2/1953",17.78
"15/5/1953",18.19
"15/8/1953",17.86
"15/11/1953",18.24
"15/2/1954",17.54
"15/5/1954",17.05
"15/8/1954",17.11
"15/11/1954",17.22
"15/2/1955",17.43
"15/5/1955",17.38
"15/8/1955",18.11
"15/11/1955",18
"15/2/1956",17.97
"15/5/1956",18.73
"15/8/1956",18.33
"15/11/1956",19.14
"15/2/1957",20
"15/5/1957",20.17
"15/8/1957",20.38
"15/11/1957",20.98
"15/2/1958",20.76
"15/5/1958",21.71
"15/8/1958",21.55
"15/11/1958",22.06
"15/2/1959",21.19
"15/5/1959",21.84
"15/8/1959",22.11
"15/11/1959",22.25
"15/2/1960",21.82
"15/5/1960",22.2
"15/8/1960",22.85
"15/11/1960",23.33
"15/2/1961",23.09
"15/5/1961",23.71
"15/8/1961",24.09
"15/11/1961",24.58
"15/2/1962",25.47
"15/5/1962",25.9
"15/8/1962",26.55
"15/11/1962",26.91
"15/2/1963",27.12
"15/5/1963",27.23
"15/8/1963",28.18
"15/11/1963",28.69
"15/2/1964",28.99
"15/5/1964",29.31
"15/8/1964",29.69
"15/11/1964",29.61
"15/2/1965",29.96
"15/5/1965",30.48
"15/8/1965",31.8
"15/11/1965",33.27
"15/2/1966",33.81
"15/5/1966",35.11
"15/8/1966",36.68
"15/11/1966",37.3
"15/2/1967",39.3
"15/5/1967",39.98
"15/8/1967",40.82
"15/11/1967",41.98
"15/2/1968",43.63
"15/5/1968",44.31
"15/8/1968",45.26
"15/11/1968",46.31
"15/2/1969",46.37
"15/5/1969",47.67
"15/8/1969",49.07
"15/11/1969",49.89
"15/2/1970",50.64
"15/5/1970",50.89
"15/8/1970",51.84
"15/11/1970",52.54
"15/2/1971",54.14
"15/5/1971",55.11
"15/8/1971",55.81
"15/11/1971",56.6
"15/2/1972",58.85
"15/5/1972",59.82
"15/8/1972",59.68
"15/11/1972",60.71
"15/2/1973",62.04
"15/5/1973",63.18
"15/8/1973",63.75
"15/11/1973",65.32
"15/2/1974",67.64
"15/5/1974",69.16
"15/8/1974",71.78
"15/11/1974",74.73
"15/2/1975",76.76
"15/5/1975",78.98
"15/8/1975",80.69
"15/11/1975",82.58
"15/2/1976",83.56
"15/5/1976",85.07
"15/8/1976",85.94
"15/11/1976",88.27
"15/2/1977",90.54
"15/5/1977",92.79
"15/8/1977",94.66
"15/11/1977",97.28
"15/2/1978",98.93
"15/5/1978",100.91
"15/8/1978",102.64
"15/11/1978",105.16
"15/2/1979",107.92
"15/5/1979",110.19
"15/8/1979",111.95
"15/11/1979",116.34
"15/2/1980",120.48
"15/5/1980",125.3
"15/8/1980",127.14
"15/11/1980",131.55
"15/2/1981",136.02
"15/5/1981",139.94
"15/8/1981",141.62
"15/11/1981",146.11
"15/2/1982",149.36
"15/5/1982",151.34
"15/8/1982",154.94
"15/11/1982",159.54
"15/2/1983",162.11
"15/5/1983",164.95
"15/8/1983",168.47
"15/11/1983",165.6
"15/2/1984",171.72
"15/5/1984",177.13
"15/8/1984",179.87
"15/11/1984",183.33
"15/2/1985",188.56
"15/5/1985",192.32
"15/8/1985",197.33
"15/11/1985",201.58
"15/2/1986",204.12
"15/5/1986",208.48
"15/8/1986",212.84
"15/11/1986",214.87
"15/2/1987",217.41
"15/5/1987",219.52
"15/8/1987",220.55
"15/11/1987",225.15
"15/2/1988",227.56
"15/5/1988",229.29
"15/8/1988",230.38
"15/11/1988",236.17
"15/2/1989",237.87
"15/5/1989",243.21
"15/8/1989",245.72
"15/11/1989",249.13
"15/2/1990",344.44
"15/5/1990",345.23
"15/8/1990",345.2
"15/11/1990",347.99
"15/2/1991",351.53
"15/5/1991",351.59
"15/8/1991",349.58
"15/11/1991",347.93
"15/2/1992",349.15
"15/5/1992",349.88
"15/8/1992",353.35
"15/11/1992",354.51
"15/2/1993",351.48
"15/5/1993",350.02
"15/8/1993",350.12
"15/11/1993",351.04
"15/2/1994",350.02
"15/5/1994",350.4
"15/8/1994",354.32
"15/11/1994",351.94
"15/2/1995",352.67
"15/5/1995",353.53
"15/8/1995",354.1
"15/11/1995",349.26
"15/2/1996",350.56
"15/5/1996",354.78
"15/8/1996",353.18
"15/11/1996",356.27
"15/2/1997",356.32
"15/5/1997",360.36
"15/8/1997",360.76
"15/11/1997",362.49
"15/2/1998",360.63
"15/5/1998",365.72
"15/8/1998",365.8
"15/11/1998",370.8
"15/2/1999",373.29
"15/5/1999",373.62
"15/8/1999",378.38
"15/11/1999",383.04
"15/2/2000",379.2
"15/5/2000",385.96
"15/8/2000",383.72
"15/11/2000",385.42
"15/2/2001",389.78
"15/5/2001",393.51
"15/8/2001",396.41
"15/11/2001",402.18
"15/2/2002",406.07
"15/5/2002",410.92
"15/8/2002",413.22
"15/11/2002",419.15
"15/2/2003",417.71
"15/5/2003",424.29
"15/8/2003",423.72
"15/11/2003",425.48
"15/2/2004",428.03
"15/5/2004",428.51
"15/8/2004",430.87
"15/11/2004",429.41
"15/2/2005",431.14
"15/5/2005",431.27
"15/8/2005",435.36
"15/11/2005",432.47
"15/2/2006",437.09
"15/5/2006",436.5
"15/8/2006",438.66
"15/11/2006",442.51
"15/2/2007",442.07
