"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CONSUMPTION EXPENDITURE - GENERAL GOVERNMENT (VOL.) SADJ"
"Code","USESNCGVE"
"CURRENCY",
"15/2/1950",2.8
"15/5/1950",2.8
"15/8/1950",2.7
"15/11/1950",3
"15/2/1951",3.4
"15/5/1951",3.7
"15/8/1951",4.1
"15/11/1951",4.2
"15/2/1952",4.4
"15/5/1952",4.7
"15/8/1952",4.8
"15/11/1952",4.9
"15/2/1953",5
"15/5/1953",5.2
"15/8/1953",5.1
"15/11/1953",5.2
"15/2/1954",5
"15/5/1954",4.8
"15/8/1954",4.9
"15/11/1954",4.9
"15/2/1955",4.9
"15/5/1955",4.9
"15/8/1955",5.1
"15/11/1955",5.1
"15/2/1956",5.1
"15/5/1956",5.3
"15/8/1956",5.2
"15/11/1956",5.4
"15/2/1957",5.7
"15/5/1957",5.7
"15/8/1957",5.8
"15/11/1957",6
"15/2/1958",5.9
"15/5/1958",6.2
"15/8/1958",6.1
"15/11/1958",6.3
"15/2/1959",6
"15/5/1959",6.2
"15/8/1959",6.3
"15/11/1959",6.3
"15/2/1960",6.2
"15/5/1960",6.3
"15/8/1960",6.5
"15/11/1960",6.6
"15/2/1961",6.6
"15/5/1961",6.7
"15/8/1961",6.8
"15/11/1961",7
"15/2/1962",7.2
"15/5/1962",7.4
"15/8/1962",7.5
"15/11/1962",7.6
"15/2/1963",7.7
"15/5/1963",7.7
"15/8/1963",8
"15/11/1963",8.1
"15/2/1964",8.2
"15/5/1964",8.3
"15/8/1964",8.4
"15/11/1964",8.4
"15/2/1965",8.5
"15/5/1965",8.6
"15/8/1965",9
"15/11/1965",9.4
"15/2/1966",9.6
"15/5/1966",10
"15/8/1966",10.4
"15/11/1966",10.6
"15/2/1967",11.2
"15/5/1967",11.3
"15/8/1967",11.6
"15/11/1967",11.9
"15/2/1968",12.4
"15/5/1968",12.6
"15/8/1968",12.8
"15/11/1968",13.1
"15/2/1969",13.2
"15/5/1969",13.5
"15/8/1969",13.9
"15/11/1969",14.2
"15/2/1970",14.4
"15/5/1970",14.4
"15/8/1970",14.7
"15/11/1970",14.9
"15/2/1971",15.4
"15/5/1971",15.6
"15/8/1971",15.8
"15/11/1971",16.1
"15/2/1972",16.7
"15/5/1972",17
"15/8/1972",16.9
"15/11/1972",17.2
"15/2/1973",17.6
"15/5/1973",17.9
"15/8/1973",18.1
"15/11/1973",18.5
"15/2/1974",19.2
"15/5/1974",19.6
"15/8/1974",20.4
"15/11/1974",21.2
"15/2/1975",21.8
"15/5/1975",22.4
"15/8/1975",22.9
"15/11/1975",23.4
"15/2/1976",23.7
"15/5/1976",24.1
"15/8/1976",24.4
"15/11/1976",25
"15/2/1977",25.7
"15/5/1977",26.3
"15/8/1977",26.9
"15/11/1977",27.6
"15/2/1978",28.1
"15/5/1978",28.6
"15/8/1978",29.1
"15/11/1978",29.8
"15/2/1979",30.6
"15/5/1979",31.3
"15/8/1979",31.8
"15/11/1979",33
"15/2/1980",34.2
"15/5/1980",35.6
"15/8/1980",36.1
"15/11/1980",37.3
"15/2/1981",38.6
"15/5/1981",39.7
"15/8/1981",40.2
"15/11/1981",41.5
"15/2/1982",42.4
"15/5/1982",42.9
"15/8/1982",44
"15/11/1982",45.3
"15/2/1983",46
"15/5/1983",46.8
"15/8/1983",47.8
"15/11/1983",47
"15/2/1984",48.7
"15/5/1984",50.3
"15/8/1984",51
"15/11/1984",52
"15/2/1985",53.5
"15/5/1985",54.6
"15/8/1985",56
"15/11/1985",57.2
"15/2/1986",57.9
"15/5/1986",59.2
"15/8/1986",60.4
"15/11/1986",61
"15/2/1987",61.7
"15/5/1987",62.3
"15/8/1987",62.6
"15/11/1987",63.9
"15/2/1988",64.6
"15/5/1988",65.1
"15/8/1988",65.4
"15/11/1988",67
"15/2/1989",67.5
"15/5/1989",69
"15/8/1989",69.7
"15/11/1989",70.7
"15/2/1990",97.7
"15/5/1990",98
"15/8/1990",98
"15/11/1990",98.7
"15/2/1991",99.8
"15/5/1991",99.8
"15/8/1991",99.2
"15/11/1991",98.7
"15/2/1992",99.1
"15/5/1992",99.3
"15/8/1992",100.3
"15/11/1992",100.6
"15/2/1993",99.7
"15/5/1993",99.3
"15/8/1993",99.4
"15/11/1993",99.6
"15/2/1994",99.3
"15/5/1994",99.4
"15/8/1994",100.5
"15/11/1994",99.9
"15/2/1995",100.1
"15/5/1995",100.3
"15/8/1995",100.5
"15/11/1995",99.1
"15/2/1996",99.5
"15/5/1996",100.7
"15/8/1996",100.2
"15/11/1996",101.1
"15/2/1997",101.1
"15/5/1997",102.3
"15/8/1997",102.4
"15/11/1997",102.9
"15/2/1998",102.3
"15/5/1998",103.8
"15/8/1998",103.8
"15/11/1998",105.2
"15/2/1999",105.9
"15/5/1999",106
"15/8/1999",107.4
"15/11/1999",108.7
"15/2/2000",107.6
"15/5/2000",109.5
"15/8/2000",108.9
"15/11/2000",109.4
"15/2/2001",110.6
"15/5/2001",111.7
"15/8/2001",112.5
"15/11/2001",114.1
"15/2/2002",115.2
"15/5/2002",116.6
"15/8/2002",117.3
"15/11/2002",118.9
"15/2/2003",118.5
"15/5/2003",120.4
"15/8/2003",120.2
"15/11/2003",120.7
"15/2/2004",121.5
"15/5/2004",121.6
"15/8/2004",122.3
"15/11/2004",121.9
"15/2/2005",122.3
"15/5/2005",122.4
"15/8/2005",123.5
"15/11/2005",122.7
"15/2/2006",124
"15/5/2006",123.9
"15/8/2006",124.5
"15/11/2006",125.6
"15/2/2007",125.4
