"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CONSUMPTION EXPEND.- GENERAL GOVERNMENT (% CONSTANT GDP) SADJ"
"Code","USESNCGXQ"
"CURRENCY",
"15/2/1950",2
"15/5/1950",2
"15/8/1950",1.9
"15/11/1950",2
"15/2/1951",2.2
"15/5/1951",2.4
"15/8/1951",2.6
"15/11/1951",2.7
"15/2/1952",2.8
"15/5/1952",2.9
"15/8/1952",3
"15/11/1952",3
"15/2/1953",3
"15/5/1953",3
"15/8/1953",3
"15/11/1953",3.1
"15/2/1954",3
"15/5/1954",2.9
"15/8/1954",2.9
"15/11/1954",2.9
"15/2/1955",2.8
"15/5/1955",2.8
"15/8/1955",2.8
"15/11/1955",2.8
"15/2/1956",2.8
"15/5/1956",2.9
"15/8/1956",2.9
"15/11/1956",2.9
"15/2/1957",3
"15/5/1957",3.1
"15/8/1957",3.1
"15/11/1957",3.2
"15/2/1958",3.3
"15/5/1958",3.4
"15/8/1958",3.3
"15/11/1958",3.3
"15/2/1959",3.1
"15/5/1959",3.1
"15/8/1959",3.2
"15/11/1959",3.2
"15/2/1960",3
"15/5/1960",3.1
"15/8/1960",3.2
"15/11/1960",3.3
"15/2/1961",3.2
"15/5/1961",3.3
"15/8/1961",3.3
"15/11/1961",3.3
"15/2/1962",3.3
"15/5/1962",3.3
"15/8/1962",3.4
"15/11/1962",3.4
"15/2/1963",3.4
"15/5/1963",3.4
"15/8/1963",3.4
"15/11/1963",3.5
"15/2/1964",3.4
"15/5/1964",3.4
"15/8/1964",3.4
"15/11/1964",3.4
"15/2/1965",3.4
"15/5/1965",3.4
"15/8/1965",3.5
"15/11/1965",3.5
"15/2/1966",3.5
"15/5/1966",3.6
"15/8/1966",3.8
"15/11/1966",3.8
"15/2/1967",4
"15/5/1967",4
"15/8/1967",4.1
"15/11/1967",4.2
"15/2/1968",4.3
"15/5/1968",4.2
"15/8/1968",4.3
"15/11/1968",4.4
"15/2/1969",4.3
"15/5/1969",4.4
"15/8/1969",4.5
"15/11/1969",4.6
"15/2/1970",4.7
"15/5/1970",4.7
"15/8/1970",4.8
"15/11/1970",4.9
"15/2/1971",4.9
"15/5/1971",5
"15/8/1971",5
"15/11/1971",5
"15/2/1972",5.2
"15/5/1972",5.1
"15/8/1972",5.1
"15/11/1972",5.1
"15/2/1973",5
"15/5/1973",5.1
"15/8/1973",5.2
"15/11/1973",5.2
"15/2/1974",5.5
"15/5/1974",5.6
"15/8/1974",5.8
"15/11/1974",6.1
"15/2/1975",6.3
"15/5/1975",6.5
"15/8/1975",6.5
"15/11/1975",6.6
"15/2/1976",6.5
"15/5/1976",6.6
"15/8/1976",6.6
"15/11/1976",6.7
"15/2/1977",6.8
"15/5/1977",6.9
"15/8/1977",6.9
"15/11/1977",7.1
"15/2/1978",7.2
"15/5/1978",7
"15/8/1978",7.1
"15/11/1978",7.2
"15/2/1979",7.3
"15/5/1979",7.5
"15/8/1979",7.6
"15/11/1979",7.8
"15/2/1980",8.1
"15/5/1980",8.6
"15/8/1980",8.7
"15/11/1980",8.9
"15/2/1981",9
"15/5/1981",9.3
"15/8/1981",9.3
"15/11/1981",9.7
"15/2/1982",10.1
"15/5/1982",10.2
"15/8/1982",10.5
"15/11/1982",10.8
"15/2/1983",10.8
"15/5/1983",10.8
"15/8/1983",10.8
"15/11/1983",10.4
"15/2/1984",10.5
"15/5/1984",10.7
"15/8/1984",10.8
"15/11/1984",10.9
"15/2/1985",11.1
"15/5/1985",11.2
"15/8/1985",11.3
"15/11/1985",11.5
"15/2/1986",11.5
"15/5/1986",11.7
"15/8/1986",11.8
"15/11/1986",11.9
"15/2/1987",12
"15/5/1987",11.9
"15/8/1987",11.9
"15/11/1987",11.9
"15/2/1988",12
"15/5/1988",11.9
"15/8/1988",11.9
"15/11/1988",12.1
"15/2/1989",12
"15/5/1989",12.2
"15/8/1989",12.3
"15/11/1989",12.4
"15/2/1990",17
"15/5/1990",17
"15/8/1990",17
"15/11/1990",17.2
"15/2/1991",17.5
"15/5/1991",17.4
"15/8/1991",17.2
"15/11/1991",17
"15/2/1992",16.9
"15/5/1992",16.8
"15/8/1992",16.8
"15/11/1992",16.7
"15/2/1993",16.5
"15/5/1993",16.3
"15/8/1993",16.3
"15/11/1993",16.1
"15/2/1994",15.9
"15/5/1994",15.7
"15/8/1994",15.8
"15/11/1994",15.5
"15/2/1995",15.5
"15/5/1995",15.5
"15/8/1995",15.4
"15/11/1995",15.1
"15/2/1996",15
"15/5/1996",15
"15/8/1996",14.8
"15/11/1996",14.7
"15/2/1997",14.6
"15/5/1997",14.6
"15/8/1997",14.4
"15/11/1997",14.4
"15/2/1998",14.1
"15/5/1998",14.2
"15/8/1998",14.1
"15/11/1998",14.1
"15/2/1999",14
"15/5/1999",13.9
"15/8/1999",13.9
"15/11/1999",13.9
"15/2/2000",13.7
"15/5/2000",13.7
"15/8/2000",13.7
"15/11/2000",13.6
"15/2/2001",13.8
"15/5/2001",13.9
"15/8/2001",14.1
"15/11/2001",14.2
"15/2/2002",14.3
"15/5/2002",14.3
"15/8/2002",14.3
"15/11/2002",14.5
"15/2/2003",14.4
"15/5/2003",14.5
"15/8/2003",14.3
"15/11/2003",14.2
"15/2/2004",14.2
"15/5/2004",14.1
"15/8/2004",14.1
"15/11/2004",13.9
"15/2/2005",13.9
"15/5/2005",13.8
"15/8/2005",13.8
"15/11/2005",13.6
"15/2/2006",13.6
"15/5/2006",13.5
"15/8/2006",13.5
"15/11/2006",13.6
"15/2/2007",13.6
