"Start","15/2/1971"
"End","15/2/2007"
"Frequency","D"
"Name","US CONSUMPTION EXPEND. - GENERAL GOVERNMENT (% CURRENT GDP) SADJ"
"Code","USESNCGYQ"
"CURRENCY",
"15/2/1971",18.2
"15/5/1971",18.2
"15/8/1971",18.1
"15/11/1971",18.2
"15/2/1972",18.3
"15/5/1972",18
"15/8/1972",17.6
"15/11/1972",17.4
"15/2/1973",17.2
"15/5/1973",17
"15/8/1973",16.9
"15/11/1973",16.8
"15/2/1974",17.3
"15/5/1974",17.2
"15/8/1974",17.5
"15/11/1974",17.8
"15/2/1975",18.1
"15/5/1975",18.2
"15/8/1975",17.9
"15/11/1975",17.8
"15/2/1976",17.4
"15/5/1976",17.4
"15/8/1976",17.3
"15/11/1976",17.3
"15/2/1977",17.2
"15/5/1977",17.1
"15/8/1977",16.9
"15/11/1977",17
"15/2/1978",17
"15/5/1978",16.4
"15/8/1978",16.2
"15/11/1978",16.1
"15/2/1979",16.2
"15/5/1979",16.1
"15/8/1979",15.9
"15/11/1979",16.2
"15/2/1980",16.3
"15/5/1980",17
"15/8/1980",16.9
"15/11/1980",16.7
"15/2/1981",16.5
"15/5/1981",16.8
"15/8/1981",16.5
"15/11/1981",16.9
"15/2/1982",17.3
"15/5/1982",17.2
"15/8/1982",17.5
"15/11/1982",17.8
"15/2/1983",17.7
"15/5/1983",17.5
"15/8/1983",17.3
"15/11/1983",16.6
"15/2/1984",16.7
"15/5/1984",16.7
"15/8/1984",16.7
"15/11/1984",16.8
"15/2/1985",16.9
"15/5/1985",17
"15/8/1985",17.1
"15/11/1985",17.2
"15/2/1986",17.2
"15/5/1986",17.4
"15/8/1986",17.5
"15/11/1986",17.5
"15/2/1987",17.4
"15/5/1987",17.3
"15/8/1987",17.1
"15/11/1987",17
"15/2/1988",17
"15/5/1988",16.7
"15/8/1988",16.5
"15/11/1988",16.6
"15/2/1989",16.4
"15/5/1989",16.5
"15/8/1989",16.4
"15/11/1989",16.5
"15/2/1990",16.5
"15/5/1990",16.5
"15/8/1990",16.5
"15/11/1990",16.9
"15/2/1991",17.2
"15/5/1991",17
"15/8/1991",16.8
"15/11/1991",16.7
"15/2/1992",16.6
"15/5/1992",16.5
"15/8/1992",16.6
"15/11/1992",16.4
"15/2/1993",16.3
"15/5/1993",16.1
"15/8/1993",16.1
"15/11/1993",15.9
"15/2/1994",15.8
"15/5/1994",15.6
"15/8/1994",15.7
"15/11/1994",15.4
"15/2/1995",15.5
"15/5/1995",15.5
"15/8/1995",15.4
"15/11/1995",15.1
"15/2/1996",15.2
"15/5/1996",15
"15/8/1996",14.9
"15/11/1996",14.9
"15/2/1997",14.8
"15/5/1997",14.7
"15/8/1997",14.5
"15/11/1997",14.6
"15/2/1998",14.3
"15/5/1998",14.5
"15/8/1998",14.3
"15/11/1998",14.3
"15/2/1999",14.4
"15/5/1999",14.3
"15/8/1999",14.4
"15/11/1999",14.4
"15/2/2000",14.4
"15/5/2000",14.4
"15/8/2000",14.4
"15/11/2000",14.5
"15/2/2001",14.7
"15/5/2001",14.7
"15/8/2001",14.9
"15/11/2001",15
"15/2/2002",15.2
"15/5/2002",15.4
"15/8/2002",15.4
"15/11/2002",15.7
"15/2/2003",15.9
"15/5/2003",16
"15/8/2003",15.7
"15/11/2003",15.7
"15/2/2004",15.9
"15/5/2004",15.8
"15/8/2004",15.8
"15/11/2004",15.7
"15/2/2005",15.8
"15/5/2005",15.8
"15/8/2005",15.9
"15/11/2005",15.8
"15/2/2006",15.8
"15/5/2006",15.8
"15/8/2006",15.8
"15/11/2006",15.9
"15/2/2007",15.9
