"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CONSUMPTION EXPENDITURE - HOUSEHOLDS & NPISH (%QOQ) SADJ"
"Code","USESNHH%Q"
"CURRENCY",
"15/2/1950",1.7
"15/5/1950",1.6
"15/8/1950",5.1
"15/11/1950",-2.9
"15/2/1951",2.4
"15/5/1951",-2.8
"15/8/1951",1.2
"15/11/1951",0.6
"15/2/1952",0.3
"15/5/1952",1.9
"15/8/1952",0.4
"15/11/1952",3.5
"15/2/1953",1.2
"15/5/1953",0.6
"15/8/1953",-0.2
"15/11/1953",-0.7
"15/2/1954",0.4
"15/5/1954",1.2
"15/8/1954",1.3
"15/11/1954",2.1
"15/2/1955",2.2
"15/5/1955",1.9
"15/8/1955",1.2
"15/11/1955",1.2
"15/2/1956",0.2
"15/5/1956",0.3
"15/8/1956",0.2
"15/11/1956",1.4
"15/2/1957",0.7
"15/5/1957",0.2
"15/8/1957",0.8
"15/11/1957",0.1
"15/2/1958",-1.4
"15/5/1958",0.8
"15/8/1958",1.6
"15/11/1958",1.3
"15/2/1959",1.7
"15/5/1959",1.7
"15/8/1959",1.1
"15/11/1959",0.1
"15/2/1960",0.9
"15/5/1960",1.2
"15/8/1960",-0.4
"15/11/1960",0.1
"15/2/1961",0
"15/5/1961",1.5
"15/8/1961",0.5
"15/11/1961",2
"15/2/1962",1.1
"15/5/1962",1.2
"15/8/1962",0.8
"15/11/1962",1.4
"15/2/1963",0.7
"15/5/1963",1
"15/8/1963",1.4
"15/11/1963",0.9
"15/2/1964",2
"15/5/1964",1.8
"15/8/1964",1.8
"15/11/1964",0.3
"15/2/1965",2.2
"15/5/1965",1.1
"15/8/1965",1.7
"15/11/1965",2.8
"15/2/1966",1.5
"15/5/1966",0.3
"15/8/1966",1.1
"15/11/1966",0.4
"15/2/1967",0.6
"15/5/1967",1.3
"15/8/1967",0.5
"15/11/1967",0.6
"15/2/1968",2.4
"15/5/1968",1.5
"15/8/1968",1.9
"15/11/1968",0.4
"15/2/1969",1.1
"15/5/1969",0.6
"15/8/1969",0.5
"15/11/1969",0.8
"15/2/1970",0.6
"15/5/1970",0.5
"15/8/1970",0.9
"15/11/1970",-0.3
"15/2/1971",1.9
"15/5/1971",0.9
"15/8/1971",0.8
"15/11/1971",1.7
"15/2/1972",1.3
"15/5/1972",1.9
"15/8/1972",1.5
"15/11/1972",2.3
"15/2/1973",1.8
"15/5/1973",-0.1
"15/8/1973",0.4
"15/11/1973",-0.3
"15/2/1974",-0.9
"15/5/1974",0.4
"15/8/1974",0.4
"15/11/1974",-1.4
"15/2/1975",0.9
"15/5/1975",1.6
"15/8/1975",1.4
"15/11/1975",1
"15/2/1976",2
"15/5/1976",0.9
"15/8/1976",1
"15/11/1976",1.3
"15/2/1977",1.2
"15/5/1977",0.5
"15/8/1977",1
"15/11/1977",1.5
"15/2/1978",0.6
"15/5/1978",2.1
"15/8/1978",0.4
"15/11/1978",0.8
"15/2/1979",0.5
"15/5/1979",0
"15/8/1979",1
"15/11/1979",0.3
"15/2/1980",-0.2
"15/5/1980",-2.2
"15/8/1980",1.1
"15/11/1980",1.3
"15/2/1981",0.4
"15/5/1981",0
"15/8/1981",0.4
"15/11/1981",-0.8
"15/2/1982",0.7
"15/5/1982",0.4
"15/8/1982",0.8
"15/11/1982",1.8
"15/2/1983",1
"15/5/1983",2
"15/8/1983",1.8
"15/11/1983",1.6
"15/2/1984",0.9
"15/5/1984",1.4
"15/8/1984",0.8
"15/11/1984",1.3
"15/2/1985",1.7
"15/5/1985",0.9
"15/8/1985",1.9
"15/11/1985",0.2
"15/2/1986",0.8
"15/5/1986",1.1
"15/8/1986",1.7
"15/11/1986",0.6
"15/2/1987",0
"15/5/1987",1.4
"15/8/1987",1.1
"15/11/1987",0.2
"15/2/1988",1.7
"15/5/1988",0.7
"15/8/1988",0.8
"15/11/1988",1.2
"15/2/1989",0.4
"15/5/1989",0.5
"15/8/1989",1
"15/11/1989",0.5
"15/2/1990",0.8
"15/5/1990",0.3
"15/8/1990",0.4
"15/11/1990",-0.7
"15/2/1991",-0.4
"15/5/1991",0.9
"15/8/1991",0.4
"15/11/1991",-0.1
"15/2/1992",1.6
"15/5/1992",0.6
"15/8/1992",1
"15/11/1992",1.2
"15/2/1993",0.4
"15/5/1993",0.9
"15/8/1993",1.1
"15/11/1993",0.9
"15/2/1994",1.1
"15/5/1994",0.7
"15/8/1994",0.7
"15/11/1994",1
"15/2/1995",0.2
"15/5/1995",0.8
"15/8/1995",0.9
"15/11/1995",0.7
"15/2/1996",0.9
"15/5/1996",1.1
"15/8/1996",0.6
"15/11/1996",0.8
"15/2/1997",1.1
"15/5/1997",0.5
"15/8/1997",1.6
"15/11/1997",1
"15/2/1998",1.1
"15/5/1998",1.6
"15/8/1998",1.2
"15/11/1998",1.3
"15/2/1999",1
"15/5/1999",1.6
"15/8/1999",1
"15/11/1999",1.2
"15/2/2000",1.6
"15/5/2000",0.6
"15/8/2000",1
"15/11/2000",0.8
"15/2/2001",0.4
"15/5/2001",0.3
"15/8/2001",0.4
"15/11/2001",1.7
"15/2/2002",0.4
"15/5/2002",0.6
"15/8/2002",0.6
"15/11/2002",0.4
"15/2/2003",0.5
"15/5/2003",0.9
"15/8/2003",1.4
"15/11/2003",0.6
"15/2/2004",1.1
"15/5/2004",0.6
"15/8/2004",0.9
"15/11/2004",1
"15/2/2005",0.6
"15/5/2005",0.9
"15/8/2005",1
"15/11/2005",0.3
"15/2/2006",1.1
"15/5/2006",0.6
"15/8/2006",0.7
"15/11/2006",1
"15/2/2007",0.9
