"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CONSUMPTION EXPENDITURE - HOUSEHOLDS & NPISH (%YOY) SADJ"
"Code","USESNHH&Q"
"CURRENCY",
"15/2/1950",5
"15/5/1950",5
"15/8/1950",10.2
"15/11/1950",5.4
"15/2/1951",6.1
"15/5/1951",1.6
"15/8/1951",-2.3
"15/11/1951",1.3
"15/2/1952",-0.8
"15/5/1952",4
"15/8/1952",3.3
"15/11/1952",6.2
"15/2/1953",7.2
"15/5/1953",5.9
"15/8/1953",5.2
"15/11/1953",0.9
"15/2/1954",0.1
"15/5/1954",0.7
"15/8/1954",2.3
"15/11/1954",5.1
"15/2/1955",7.1
"15/5/1955",7.7
"15/8/1955",7.6
"15/11/1955",6.7
"15/2/1956",4.6
"15/5/1956",3
"15/8/1956",2
"15/11/1956",2.1
"15/2/1957",2.6
"15/5/1957",2.5
"15/8/1957",3.1
"15/11/1957",1.7
"15/2/1958",-0.4
"15/5/1958",0.3
"15/8/1958",1
"15/11/1958",2.3
"15/2/1959",5.4
"15/5/1959",6.4
"15/8/1959",5.9
"15/11/1959",4.7
"15/2/1960",3.9
"15/5/1960",3.4
"15/8/1960",1.9
"15/11/1960",1.8
"15/2/1961",0.9
"15/5/1961",1.2
"15/8/1961",2.1
"15/11/1961",4
"15/2/1962",5.2
"15/5/1962",4.9
"15/8/1962",5.2
"15/11/1962",4.6
"15/2/1963",4.2
"15/5/1963",3.9
"15/8/1963",4.5
"15/11/1963",3.9
"15/2/1964",5.3
"15/5/1964",6.1
"15/8/1964",6.6
"15/11/1964",6
"15/2/1965",6.2
"15/5/1965",5.5
"15/8/1965",5.4
"15/11/1965",8.1
"15/2/1966",7.3
"15/5/1966",6.4
"15/8/1966",5.8
"15/11/1966",3.3
"15/2/1967",2.4
"15/5/1967",3.5
"15/8/1967",2.9
"15/11/1967",3.1
"15/2/1968",4.9
"15/5/1968",5.1
"15/8/1968",6.5
"15/11/1968",6.4
"15/2/1969",5.1
"15/5/1969",4.1
"15/8/1969",2.7
"15/11/1969",3
"15/2/1970",2.5
"15/5/1970",2.3
"15/8/1970",2.8
"15/11/1970",1.7
"15/2/1971",3
"15/5/1971",3.5
"15/8/1971",3.4
"15/11/1971",5.4
"15/2/1972",4.8
"15/5/1972",5.8
"15/8/1972",6.6
"15/11/1972",7.3
"15/2/1973",7.8
"15/5/1973",5.7
"15/8/1973",4.5
"15/11/1973",1.8
"15/2/1974",-0.9
"15/5/1974",-0.4
"15/8/1974",-0.3
"15/11/1974",-1.5
"15/2/1975",0.2
"15/5/1975",1.5
"15/8/1975",2.5
"15/11/1975",5
"15/2/1976",6.2
"15/5/1976",5.4
"15/8/1976",5.1
"15/11/1976",5.3
"15/2/1977",4.5
"15/5/1977",4.2
"15/8/1977",4.1
"15/11/1977",4.2
"15/2/1978",3.6
"15/5/1978",5.2
"15/8/1978",4.7
"15/11/1978",4
"15/2/1979",4
"15/5/1979",1.7
"15/8/1979",2.3
"15/11/1979",1.8
"15/2/1980",1.1
"15/5/1980",-1.1
"15/8/1980",-1
"15/11/1980",0
"15/2/1981",0.6
"15/5/1981",2.9
"15/8/1981",2.2
"15/11/1981",0.1
"15/2/1982",0.3
"15/5/1982",0.6
"15/8/1982",1
"15/11/1982",3.6
"15/2/1983",4
"15/5/1983",5.7
"15/8/1983",6.7
"15/11/1983",6.5
"15/2/1984",6.3
"15/5/1984",5.8
"15/8/1984",4.7
"15/11/1984",4.5
"15/2/1985",5.3
"15/5/1985",4.8
"15/8/1985",5.9
"15/11/1985",4.8
"15/2/1986",3.9
"15/5/1986",4.1
"15/8/1986",3.9
"15/11/1986",4.3
"15/2/1987",3.5
"15/5/1987",3.8
"15/8/1987",3.2
"15/11/1987",2.8
"15/2/1988",4.5
"15/5/1988",3.8
"15/8/1988",3.5
"15/11/1988",4.5
"15/2/1989",3.1
"15/5/1989",2.9
"15/8/1989",3
"15/11/1989",2.3
"15/2/1990",2.7
"15/5/1990",2.6
"15/8/1990",2
"15/11/1990",0.8
"15/2/1991",-0.4
"15/5/1991",0.1
"15/8/1991",0.2
"15/11/1991",0.8
"15/2/1992",2.9
"15/5/1992",2.6
"15/8/1992",3.2
"15/11/1992",4.5
"15/2/1993",3.1
"15/5/1993",3.4
"15/8/1993",3.5
"15/11/1993",3.3
"15/2/1994",4
"15/5/1994",3.9
"15/8/1994",3.5
"15/11/1994",3.6
"15/2/1995",2.6
"15/5/1995",2.7
"15/8/1995",2.9
"15/11/1995",2.6
"15/2/1996",3.3
"15/5/1996",3.6
"15/8/1996",3.3
"15/11/1996",3.5
"15/2/1997",3.7
"15/5/1997",3
"15/8/1997",4.1
"15/11/1997",4.3
"15/2/1998",4.3
"15/5/1998",5.5
"15/8/1998",5
"15/11/1998",5.4
"15/2/1999",5.2
"15/5/1999",5.2
"15/8/1999",5
"15/11/1999",4.9
"15/2/2000",5.5
"15/5/2000",4.6
"15/8/2000",4.5
"15/11/2000",4.1
"15/2/2001",2.9
"15/5/2001",2.5
"15/8/2001",2
"15/11/2001",2.8
"15/2/2002",2.8
"15/5/2002",3.1
"15/8/2002",3.2
"15/11/2002",1.9
"15/2/2003",2
"15/5/2003",2.3
"15/8/2003",3.2
"15/11/2003",3.4
"15/2/2004",4
"15/5/2004",3.7
"15/8/2004",3.2
"15/11/2004",3.7
"15/2/2005",3.1
"15/5/2005",3.4
"15/8/2005",3.5
"15/11/2005",2.8
"15/2/2006",3.3
"15/5/2006",3
"15/8/2006",2.7
"15/11/2006",3.4
"15/2/2007",3.2
