"Start","15/2/1971"
"End","15/2/2007"
"Frequency","D"
"Name","US CONSUMPTION EXPENDITURE - HOUSEHOLDS & NPISH CURA"
"Code","USESNHHPB"
"CURRENCY","E"
"15/2/1971",165.55
"15/5/1971",168.13
"15/8/1971",168.33
"15/11/1971",167.82
"15/2/1972",164.43
"15/5/1972",167.55
"15/8/1972",173.72
"15/11/1972",181.46
"15/2/1973",178.99
"15/5/1973",172.2
"15/8/1973",165.48
"15/11/1973",176.15
"15/2/1974",193.99
"15/5/1974",190.42
"15/8/1974",199.7
"15/11/1974",198.5
"15/2/1975",191.55
"15/5/1975",196.05
"15/8/1975",218.29
"15/11/1975",229.62
"15/2/1976",242.14
"15/5/1976",256.11
"15/8/1976",263.94
"15/11/1976",268.67
"15/2/1977",275.2
"15/5/1977",279.3
"15/8/1977",282.48
"15/11/1977",283.24
"15/2/1978",274.75
"15/5/1978",286.83
"15/8/1978",282.6
"15/11/1978",277.21
"15/2/1979",281.41
"15/5/1979",293.57
"15/8/1979",291.29
"15/11/1979",295.85
"15/2/1980",302.79
"15/5/1980",307.53
"15/8/1980",310.93
"15/11/1980",342.4
"15/2/1981",384
"15/5/1981",431.69
"15/8/1981",475.61
"15/11/1981",454.42
"15/2/1982",486.82
"15/5/1982",510.15
"15/8/1982",550.26
"15/11/1982",576.86
"15/2/1983",578.65
"15/5/1983",619.56
"15/8/1983",676.38
"15/11/1983",705.47
"15/2/1984",729.74
"15/5/1984",753.63
"15/8/1984",821.24
"15/11/1984",879.12
"15/2/1985",966.33
"15/5/1985",926.32
"15/8/1985",878.87
"15/11/1985",816.82
"15/2/1986",766.7
"15/5/1986",746.26
"15/8/1986",724.15
"15/11/1986",715.98
"15/2/1987",668.71
"15/5/1987",668.67
"15/8/1987",696
"15/11/1987",653.97
"15/2/1988",660.06
"15/5/1988",681.67
"15/8/1988",759.69
"15/11/1988",738.56
"15/2/1989",779.43
"15/5/1989",831.66
"15/8/1989",841.67
"15/11/1989",815.21
"15/2/1990",780.28
"15/5/1990",780.19
"15/8/1990",748.09
"15/11/1990",713.79
"15/2/1991",729.56
"15/5/1991",835.78
"15/8/1991",853.11
"15/11/1991",805.93
"15/2/1992",820.22
"15/5/1992",824.23
"15/8/1992",769.21
"15/11/1992",855.81
"15/2/1993",919.65
"15/5/1993",921.14
"15/8/1993",980.36
"15/11/1993",1003.26
"15/2/1994",1031.8
"15/5/1994",1010.53
"15/8/1994",973.77
"15/11/1994",977.24
"15/2/1995",957.95
"15/5/1995",929.13
"15/8/1995",954.53
"15/11/1995",961.47
"15/2/1996",998.73
"15/5/1996",1042.64
"15/8/1996",1037.2
"15/11/1996",1063.08
"15/2/1997",1155.42
"15/5/1997",1199.08
"15/8/1997",1278.17
"15/11/1997",1260.99
"15/2/1998",1318.91
"15/5/1998",1325.5
"15/8/1998",1325.12
"15/11/1998",1280.04
"15/2/1999",1360.04
"15/5/1999",1475.35
"15/8/1999",1510.87
"15/11/1999",1554.36
"15/2/2000",1676.1
"15/5/2000",1791.71
"15/8/2000",1873.59
"15/11/2000",1978.46
"15/2/2001",1883.61
"15/5/2001",2010.74
"15/8/2001",1982.06
"15/11/2001",2005.92
"15/2/2002",2062.03
"15/5/2002",1992.54
"15/8/2002",1879.6
"15/11/2002",1864.39
"15/2/2003",1758.48
"15/5/2003",1677.01
"15/8/2003",1729.77
"15/11/2003",1651.66
"15/2/2004",1602.4
"15/5/2004",1688.32
"15/8/2004",1686.8
"15/11/2004",1616.96
"15/2/2005",1618.39
"15/5/2005",1713.63
"15/8/2005",1805.58
"15/11/2005",1872.12
"15/2/2006",1878.63
"15/5/2006",1824.81
"15/8/2006",1825.65
"15/11/2006",1818.44
"15/2/2007",1819.87
