"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CONSUMPTION EXPENDITURE - HOUSEHOLDS & NPISH CONA"
"Code","USESNHHPD"
"CURRENCY","E"
"15/2/1950",302.86
"15/5/1950",307.71
"15/8/1950",323.54
"15/11/1950",314.02
"15/2/1951",321.41
"15/5/1951",312.5
"15/8/1951",316.13
"15/11/1951",318.02
"15/2/1952",318.89
"15/5/1952",325.01
"15/8/1952",326.44
"15/11/1952",337.89
"15/2/1953",341.98
"15/5/1953",344.09
"15/8/1953",343.28
"15/11/1953",340.98
"15/2/1954",342.22
"15/5/1954",346.5
"15/8/1954",351.1
"15/11/1954",358.38
"15/2/1955",366.37
"15/5/1955",373.29
"15/8/1955",377.9
"15/11/1955",382.55
"15/2/1956",383.15
"15/5/1956",384.42
"15/8/1956",385.29
"15/11/1956",390.54
"15/2/1957",393.22
"15/5/1957",393.87
"15/8/1957",397.09
"15/11/1957",397.3
"15/2/1958",391.75
"15/5/1958",394.89
"15/8/1958",401.2
"15/11/1958",406.26
"15/2/1959",413.03
"15/5/1959",420.01
"15/8/1959",424.75
"15/11/1959",425.35
"15/2/1960",429.19
"15/5/1960",434.47
"15/8/1960",432.68
"15/11/1960",433.17
"15/2/1961",433.14
"15/5/1961",439.64
"15/8/1961",441.78
"15/11/1961",450.65
"15/2/1962",455.47
"15/5/1962",460.99
"15/8/1962",464.76
"15/11/1962",471.39
"15/2/1963",474.53
"15/5/1963",479.1
"15/8/1963",485.6
"15/11/1963",489.74
"15/2/1964",499.46
"15/5/1964",508.31
"15/8/1964",517.7
"15/11/1964",519.16
"15/2/1965",530.61
"15/5/1965",536.49
"15/8/1965",545.69
"15/11/1965",561.04
"15/2/1966",569.29
"15/5/1966",570.86
"15/8/1966",577.39
"15/11/1966",579.8
"15/2/1967",583.21
"15/5/1967",591
"15/8/1967",594.01
"15/11/1967",597.61
"15/2/1968",611.82
"15/5/1968",621.24
"15/8/1968",632.9
"15/11/1968",635.72
"15/2/1969",642.86
"15/5/1969",646.93
"15/8/1969",649.9
"15/11/1969",654.99
"15/2/1970",658.94
"15/5/1970",662
"15/8/1970",667.79
"15/11/1970",665.9
"15/2/1971",678.7
"15/5/1971",684.96
"15/8/1971",690.42
"15/11/1971",701.93
"15/2/1972",711.24
"15/5/1972",724.69
"15/8/1972",735.82
"15/11/1972",752.95
"15/2/1973",766.57
"15/5/1973",766.16
"15/8/1973",768.89
"15/11/1973",766.62
"15/2/1974",760.02
"15/5/1974",763.05
"15/8/1974",766.46
"15/11/1974",755.41
"15/2/1975",761.86
"15/5/1975",774.28
"15/8/1975",785.3
"15/11/1975",793.47
"15/2/1976",809.25
"15/5/1976",816.45
"15/8/1976",825.01
"15/11/1976",835.86
"15/2/1977",845.77
"15/5/1977",850.34
"15/8/1977",858.43
"15/11/1977",871.35
"15/2/1978",876.27
"15/5/1978",894.98
"15/8/1978",898.87
"15/11/1978",906.18
"15/2/1979",910.92
"15/5/1979",910.57
"15/8/1979",919.58
"15/11/1979",922.23
"15/2/1980",920.77
"15/5/1980",900.23
"15/8/1980",910.03
"15/11/1980",922.15
"15/2/1981",926.08
"15/5/1981",926.29
"15/8/1981",929.98
"15/11/1981",922.94
"15/2/1982",929.03
"15/5/1982",932.3
"15/8/1982",939.48
"15/11/1982",956.56
"15/2/1983",965.92
"15/5/1983",985.14
"15/8/1983",1002.63
"15/11/1983",1018.43
"15/2/1984",1027.2
"15/5/1984",1041.93
"15/8/1984",1049.99
"15/11/1984",1063.83
"15/2/1985",1081.69
"15/5/1985",1091.54
"15/8/1985",1112.25
"15/11/1985",1114.77
"15/2/1986",1124.05
"15/5/1986",1135.96
"15/8/1986",1155.67
"15/11/1986",1163.03
"15/2/1987",1163.55
"15/5/1987",1179.43
"15/8/1987",1192.7
"15/11/1987",1195.62
"15/2/1988",1215.52
"15/5/1988",1224.2
"15/8/1988",1234.44
"15/11/1988",1248.92
"15/2/1989",1253.57
"15/5/1989",1259.47
"15/8/1989",1271.47
"15/11/1989",1277.28
"15/2/1990",1287.65
"15/5/1990",1291.96
"15/8/1990",1297.26
"15/11/1990",1287.98
"15/2/1991",1282.51
"15/5/1991",1293.69
"15/8/1991",1299.29
"15/11/1991",1298.15
"15/2/1992",1319.57
"15/5/1992",1327.14
"15/8/1992",1340.35
"15/11/1992",1355.94
"15/2/1993",1360.79
"15/5/1993",1372.86
"15/8/1993",1387.86
"15/11/1993",1400.2
"15/2/1994",1415.74
"15/5/1994",1425.94
"15/8/1994",1436.15
"15/11/1994",1450.49
"15/2/1995",1452.79
"15/5/1995",1464.84
"15/8/1995",1477.59
"15/11/1995",1487.68
"15/2/1996",1500.81
"15/5/1996",1517.13
"15/8/1996",1526.82
"15/11/1996",1539.52
"15/2/1997",1556.17
"15/5/1997",1563.39
"15/8/1997",1589.08
"15/11/1997",1605.51
"15/2/1998",1623.21
"15/5/1998",1649.01
"15/8/1998",1668.93
"15/11/1998",1691.43
"15/2/1999",1708.34
"15/5/1999",1734.98
"15/8/1999",1753.11
"15/11/1999",1774.79
"15/2/2000",1803.08
"15/5/2000",1814.45
"15/8/2000",1831.96
"15/11/2000",1847.39
"15/2/2001",1855
"15/5/2001",1859.65
"15/8/2001",1867.83
"15/11/2001",1899.52
"15/2/2002",1906.18
"15/5/2002",1917.36
"15/8/2002",1928.11
"15/11/2002",1934.87
"15/2/2003",1944.81
"15/5/2003",1962.24
"15/8/2003",1990.28
"15/11/2003",2001.49
"15/2/2004",2023.36
"15/5/2004",2035.65
"15/8/2004",2053.24
"15/11/2004",2074.57
"15/2/2005",2086.78
"15/5/2005",2104.59
"15/8/2005",2125.6
"15/11/2005",2132.12
"15/2/2006",2155.13
"15/5/2006",2167.96
"15/8/2006",2182.71
"15/11/2006",2203.66
"15/2/2007",2223.83
