"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CONSUMPTION EXPENDITURE - HOUSEHOLDS & NPISH (VOL.) SADJ"
"Code","USESNHHVE"
"CURRENCY",
"15/2/1950",20.6
"15/5/1950",20.9
"15/8/1950",22
"15/11/1950",21.4
"15/2/1951",21.9
"15/5/1951",21.2
"15/8/1951",21.5
"15/11/1951",21.6
"15/2/1952",21.7
"15/5/1952",22.1
"15/8/1952",22.2
"15/11/1952",23
"15/2/1953",23.3
"15/5/1953",23.4
"15/8/1953",23.3
"15/11/1953",23.2
"15/2/1954",23.3
"15/5/1954",23.6
"15/8/1954",23.9
"15/11/1954",24.4
"15/2/1955",24.9
"15/5/1955",25.4
"15/8/1955",25.7
"15/11/1955",26
"15/2/1956",26.1
"15/5/1956",26.1
"15/8/1956",26.2
"15/11/1956",26.6
"15/2/1957",26.7
"15/5/1957",26.8
"15/8/1957",27
"15/11/1957",27
"15/2/1958",26.6
"15/5/1958",26.9
"15/8/1958",27.3
"15/11/1958",27.6
"15/2/1959",28.1
"15/5/1959",28.6
"15/8/1959",28.9
"15/11/1959",28.9
"15/2/1960",29.2
"15/5/1960",29.5
"15/8/1960",29.4
"15/11/1960",29.5
"15/2/1961",29.5
"15/5/1961",29.9
"15/8/1961",30
"15/11/1961",30.6
"15/2/1962",31
"15/5/1962",31.3
"15/8/1962",31.6
"15/11/1962",32.1
"15/2/1963",32.3
"15/5/1963",32.6
"15/8/1963",33
"15/11/1963",33.3
"15/2/1964",34
"15/5/1964",34.6
"15/8/1964",35.2
"15/11/1964",35.3
"15/2/1965",36.1
"15/5/1965",36.5
"15/8/1965",37.1
"15/11/1965",38.1
"15/2/1966",38.7
"15/5/1966",38.8
"15/8/1966",39.3
"15/11/1966",39.4
"15/2/1967",39.7
"15/5/1967",40.2
"15/8/1967",40.4
"15/11/1967",40.6
"15/2/1968",41.6
"15/5/1968",42.2
"15/8/1968",43
"15/11/1968",43.2
"15/2/1969",43.7
"15/5/1969",44
"15/8/1969",44.2
"15/11/1969",44.5
"15/2/1970",44.8
"15/5/1970",45
"15/8/1970",45.4
"15/11/1970",45.3
"15/2/1971",46.1
"15/5/1971",46.6
"15/8/1971",46.9
"15/11/1971",47.7
"15/2/1972",48.4
"15/5/1972",49.3
"15/8/1972",50
"15/11/1972",51.2
"15/2/1973",52.1
"15/5/1973",52.1
"15/8/1973",52.3
"15/11/1973",52.1
"15/2/1974",51.7
"15/5/1974",51.9
"15/8/1974",52.1
"15/11/1974",51.4
"15/2/1975",51.8
"15/5/1975",52.6
"15/8/1975",53.4
"15/11/1975",54
"15/2/1976",55
"15/5/1976",55.5
"15/8/1976",56.1
"15/11/1976",56.8
"15/2/1977",57.5
"15/5/1977",57.8
"15/8/1977",58.4
"15/11/1977",59.2
"15/2/1978",59.6
"15/5/1978",60.9
"15/8/1978",61.1
"15/11/1978",61.6
"15/2/1979",61.9
"15/5/1979",61.9
"15/8/1979",62.5
"15/11/1979",62.7
"15/2/1980",62.6
"15/5/1980",61.2
"15/8/1980",61.9
"15/11/1980",62.7
"15/2/1981",63
"15/5/1981",63
"15/8/1981",63.2
"15/11/1981",62.8
"15/2/1982",63.2
"15/5/1982",63.4
"15/8/1982",63.9
"15/11/1982",65
"15/2/1983",65.7
"15/5/1983",67
"15/8/1983",68.2
"15/11/1983",69.2
"15/2/1984",69.8
"15/5/1984",70.8
"15/8/1984",71.4
"15/11/1984",72.3
"15/2/1985",73.5
"15/5/1985",74.2
"15/8/1985",75.6
"15/11/1985",75.8
"15/2/1986",76.4
"15/5/1986",77.2
"15/8/1986",78.6
"15/11/1986",79.1
"15/2/1987",79.1
"15/5/1987",80.2
"15/8/1987",81.1
"15/11/1987",81.3
"15/2/1988",82.6
"15/5/1988",83.2
"15/8/1988",83.9
"15/11/1988",84.9
"15/2/1989",85.2
"15/5/1989",85.6
"15/8/1989",86.5
"15/11/1989",86.8
"15/2/1990",87.6
"15/5/1990",87.8
"15/8/1990",88.2
"15/11/1990",87.6
"15/2/1991",87.2
"15/5/1991",88
"15/8/1991",88.3
"15/11/1991",88.3
"15/2/1992",89.7
"15/5/1992",90.2
"15/8/1992",91.1
"15/11/1992",92.2
"15/2/1993",92.5
"15/5/1993",93.3
"15/8/1993",94.4
"15/11/1993",95.2
"15/2/1994",96.3
"15/5/1994",97
"15/8/1994",97.6
"15/11/1994",98.6
"15/2/1995",98.8
"15/5/1995",99.6
"15/8/1995",100.5
"15/11/1995",101.2
"15/2/1996",102
"15/5/1996",103.2
"15/8/1996",103.8
"15/11/1996",104.7
"15/2/1997",105.8
"15/5/1997",106.3
"15/8/1997",108
"15/11/1997",109.2
"15/2/1998",110.4
"15/5/1998",112.1
"15/8/1998",113.5
"15/11/1998",115
"15/2/1999",116.2
"15/5/1999",118
"15/8/1999",119.2
"15/11/1999",120.7
"15/2/2000",122.6
"15/5/2000",123.4
"15/8/2000",124.6
"15/11/2000",125.6
"15/2/2001",126.1
"15/5/2001",126.4
"15/8/2001",127
"15/11/2001",129.2
"15/2/2002",129.6
"15/5/2002",130.4
"15/8/2002",131.1
"15/11/2002",131.6
"15/2/2003",132.2
"15/5/2003",133.4
"15/8/2003",135.3
"15/11/2003",136.1
"15/2/2004",137.6
"15/5/2004",138.4
"15/8/2004",139.6
"15/11/2004",141.1
"15/2/2005",141.9
"15/5/2005",143.1
"15/8/2005",144.5
"15/11/2005",145
"15/2/2006",146.5
"15/5/2006",147.4
"15/8/2006",148.4
"15/11/2006",149.8
"15/2/2007",151.2
