"Start",01/01/1958
"End",01/01/2007
"Frequency","D"
"Name","US $ TO EURO (DS SYNTHETIC) - EXCHANGE RATE"
"Code","USEURSN"
"CURRENCY","E"
01/01/1958,1.73
01/02/1958,1.73
01/03/1958,1.73
01/06/1958,1.73
01/07/1958,1.73
01/08/1958,1.73
01/09/1958,1.73
01/10/1958,1.73
"13/1/1958",1.73
"14/1/1958",1.73
"15/1/1958",1.73
"16/1/1958",1.73
"17/1/1958",1.73
"20/1/1958",1.73
"21/1/1958",1.73
"22/1/1958",1.73
"23/1/1958",1.73
"24/1/1958",1.73
"27/1/1958",1.73
"28/1/1958",1.73
"29/1/1958",1.73
"30/1/1958",1.73
"31/1/1958",1.73
02/03/1958,1.73
02/04/1958,1.73
02/05/1958,1.73
02/06/1958,1.73
02/07/1958,1.73
02/10/1958,1.73
02/11/1958,1.73
02/12/1958,1.73
"13/2/1958",1.73
"14/2/1958",1.73
"17/2/1958",1.73
"18/2/1958",1.73
"19/2/1958",1.73
"20/2/1958",1.73
"21/2/1958",1.73
"24/2/1958",1.73
"25/2/1958",1.73
"26/2/1958",1.73
"27/2/1958",1.73
"28/2/1958",1.73
03/03/1958,1.73
03/04/1958,1.73
03/05/1958,1.73
03/06/1958,1.73
03/07/1958,1.73
03/10/1958,1.73
03/11/1958,1.73
03/12/1958,1.73
"13/3/1958",1.73
"14/3/1958",1.73
"17/3/1958",1.73
"18/3/1958",1.73
"19/3/1958",1.73
"20/3/1958",1.73
"21/3/1958",1.73
"24/3/1958",1.73
"25/3/1958",1.73
"26/3/1958",1.73
"27/3/1958",1.73
"28/3/1958",1.73
"31/3/1958",1.73
04/01/1958,1.73
04/02/1958,1.73
04/03/1958,1.73
04/04/1958,1.73
04/07/1958,1.73
04/08/1958,1.73
04/09/1958,1.73
04/10/1958,1.73
04/11/1958,1.73
"14/4/1958",1.73
"15/4/1958",1.73
"16/4/1958",1.73
"17/4/1958",1.73
"18/4/1958",1.73
"21/4/1958",1.73
"22/4/1958",1.73
"23/4/1958",1.73
"24/4/1958",1.73
"25/4/1958",1.73
"28/4/1958",1.73
"29/4/1958",1.73
"30/4/1958",1.73
05/01/1958,1.73
05/02/1958,1.73
05/05/1958,1.73
05/06/1958,1.73
05/07/1958,1.73
05/08/1958,1.73
05/09/1958,1.73
05/12/1958,1.73
"13/5/1958",1.73
"14/5/1958",1.73
"15/5/1958",1.73
"16/5/1958",1.73
"19/5/1958",1.73
"20/5/1958",1.73
"21/5/1958",1.73
"22/5/1958",1.73
"23/5/1958",1.73
"26/5/1958",1.73
"27/5/1958",1.73
"28/5/1958",1.73
"29/5/1958",1.73
"30/5/1958",1.73
06/02/1958,1.73
06/03/1958,1.73
06/04/1958,1.73
06/05/1958,1.73
06/06/1958,1.73
06/09/1958,1.73
06/10/1958,1.73
06/11/1958,1.73
06/12/1958,1.73
"13/6/1958",1.73
"16/6/1958",1.73
"17/6/1958",1.73
"18/6/1958",1.73
"19/6/1958",1.73
"20/6/1958",1.73
"23/6/1958",1.73
"24/6/1958",1.73
"25/6/1958",1.73
"26/6/1958",1.73
"27/6/1958",1.73
"30/6/1958",1.73
07/01/1958,1.73
07/02/1958,1.73
07/03/1958,1.73
07/04/1958,1.73
