"Start","15/2/1950"
"End","15/2/2017"
"Frequency","D"
"Name","US CBO FORECAST - POTENTIAL GDP (NOMINAL) CURA"
"Code","USFCGDPPB"
"CURRENCY","U$"
"15/2/1950",280.9
"15/5/1950",284.9
"15/8/1950",294
"15/11/1950",302.9
"15/2/1951",317.7
"15/5/1951",323.5
"15/8/1951",327.5
"15/11/1951",335
"15/2/1952",338.6
"15/5/1952",343.2
"15/8/1952",350.9
"15/11/1952",355.7
"15/2/1953",359.2
"15/5/1953",363.4
"15/8/1953",368
"15/11/1953",372.1
"15/2/1954",376.4
"15/5/1954",379.8
"15/8/1954",383.3
"15/11/1954",387.4
"15/2/1955",392.1
"15/5/1955",396.8
"15/8/1955",402.9
"15/11/1955",410.2
"15/2/1956",417.7
"15/5/1956",423.7
"15/8/1956",432.8
"15/11/1956",438.2
"15/2/1957",448.3
"15/5/1957",455.3
"15/8/1957",462.1
"15/11/1957",466.2
"15/2/1958",475.7
"15/5/1958",481.3
"15/8/1958",488.5
"15/11/1958",495.2
"15/2/1959",500.5
"15/5/1959",504.8
"15/8/1959",510.5
"15/11/1959",517.1
"15/2/1960",524.2
"15/5/1960",531
"15/8/1960",538
"15/11/1960",544.7
"15/2/1961",551
"15/5/1961",557.4
"15/8/1961",564.2
"15/11/1961",571.4
"15/2/1962",580.1
"15/5/1962",586.5
"15/8/1962",593.6
"15/11/1962",601.2
"15/2/1963",608.4
"15/5/1963",615.6
"15/8/1963",622.9
"15/11/1963",633.8
"15/2/1964",642
"15/5/1964",650.1
"15/8/1964",659.3
"15/11/1964",669.3
"15/2/1965",679.7
"15/5/1965",689.7
"15/8/1965",699.7
"15/11/1965",711.9
"15/2/1966",724.5
"15/5/1966",738.8
"15/8/1966",755.2
"15/11/1966",770.9
"15/2/1967",783.3
"15/5/1967",796.5
"15/8/1967",813.2
"15/11/1967",831.2
"15/2/1968",849.2
"15/5/1968",867.1
"15/8/1968",884.7
"15/11/1968",906.3
"15/2/1969",925.1
"15/5/1969",946.5
"15/8/1969",969.5
"15/11/1969",991.4
"15/2/1970",1015
"15/5/1970",1038.1
"15/8/1970",1055.5
"15/11/1970",1078.2
"15/2/1971",1103.3
"15/5/1971",1126.9
"15/8/1971",1147.3
"15/11/1971",1165.8
"15/2/1972",1193.7
"15/5/1972",1210.5
"15/8/1972",1232.5
"15/11/1972",1259.3
"15/2/1973",1285.4
"15/5/1973",1316.8
"15/8/1973",1354.5
"15/11/1973",1394
"15/2/1974",1433.7
"15/5/1974",1481.1
"15/8/1974",1538.9
"15/11/1974",1599.3
"15/2/1975",1650.4
"15/5/1975",1689.7
"15/8/1975",1735.1
"15/11/1975",1779.7
"15/2/1976",1813.3
"15/5/1976",1846.7
"15/8/1976",1886.3
"15/11/1976",1935.8
"15/2/1977",1983.3
"15/5/1977",2028.4
"15/8/1977",2070.3
"15/11/1977",2133.7
"15/2/1978",2184.6
"15/5/1978",2245
"15/8/1978",2303.6
"15/11/1978",2374.1
"15/2/1979",2438
"15/5/1979",2519.8
"15/8/1979",2594.9
"15/11/1979",2666.3
"15/2/1980",2740
"15/5/1980",2816
"15/8/1980",2894.6
"15/11/1980",2989.5
"15/2/1981",3082.3
"15/5/1981",3158.5
"15/8/1981",3234.8
"15/11/1981",3316
"15/2/1982",3386.2
"15/5/1982",3453.2
"15/8/1982",3529.1
"15/11/1982",3594.4
"15/2/1983",3650.4
"15/5/1983",3702.9
"15/8/1983",3767.5
"15/11/1983",3823.3
"15/2/1984",3900.2
"15/5/1984",3964.6
"15/8/1984",4028.6
"15/11/1984",4087.6
"15/2/1985",4168.7
"15/5/1985",4228.3
"15/8/1985",4282.1
"15/11/1985",4346.3
"15/2/1986",4404.8
"15/5/1986",4463.5
"15/8/1986",4525.1
"15/11/1986",4590.5
"15/2/1987",4664.5
"15/5/1987",4726.1
"15/8/1987",4797.7
"15/11/1987",4869.4
"15/2/1988",4948.1
"15/5/1988",5033.2
"15/8/1988",5127.7
"15/11/1988",5205.1
"15/2/1989",5303.5
"15/5/1989",5394.5
"15/8/1989",5473.4
"15/11/1989",5552
"15/2/1990",5659.7
"15/5/1990",5767
"15/8/1990",5859.2
"15/11/1990",5944.1
"15/2/1991",6054.9
"15/5/1991",6133.4
"15/8/1991",6216
"15/11/1991",6287.5
"15/2/1992",6364.1
"15/5/1992",6438
"15/8/1992",6506.5
"15/11/1992",6580.5
"15/2/1993",6673.5
"15/5/1993",6753.5
"15/8/1993",6826.9
"15/11/1993",6908.6
"15/2/1994",6997.5
"15/5/1994",7074.9
"15/8/1994",7169.9
"15/11/1994",7254.7
"15/2/1995",7353.1
"15/5/1995",7433.1
"15/8/1995",7522.8
"15/11/1995",7615.3
"15/2/1996",7722
"15/5/1996",7808.4
"15/8/1996",7893
"15/11/1996",7996.9
"15/2/1997",8111.8
"15/5/1997",8190.6
"15/8/1997",8286.5
"15/11/1997",8383.2
"15/2/1998",8476.5
"15/5/1998",8564.3
"15/8/1998",8671.2
"15/11/1998",8778.6
"15/2/1999",8893.4
"15/5/1999",9005.5
"15/8/1999",9119.2
"15/11/1999",9242
"15/2/2000",9411.1
"15/5/2000",9539.8
"15/8/2000",9678.1
"15/11/2000",9806.5
"15/2/2001",9974.5
"15/5/2001",10137.9
"15/8/2001",10265.2
"15/11/2001",10400.1
"15/2/2002",10518.1
"15/5/2002",10633.7
"15/8/2002",10750.1
"15/11/2002",10885.2
"15/2/2003",11045.8
"15/5/2003",11156.6
"15/8/2003",11289.9
"15/11/2003",11427.3
"15/2/2004",11610.5
"15/5/2004",11794.6
"15/8/2004",11935.9
"15/11/2004",12112.7
"15/2/2005",12299.1
"15/5/2005",12458.9
"15/8/2005",12645.5
"15/11/2005",12835.5
"15/2/2006",13028.1
"15/5/2006",13224.8
"15/8/2006",13377.7
"15/11/2006",13525.4
"15/2/2007",13759.8
"15/5/2007",13954.2
"15/8/2007",14137
"15/11/2007",14299.1
"15/2/2008",14465.5
"15/5/2008",14630.7
"15/8/2008",14796.5
"15/11/2008",14967.2
"15/2/2009",15140.7
"15/5/2009",15312.6
"15/8/2009",15485.3
"15/11/2009",15658.7
"15/2/2010",15838.7
"15/5/2010",16014.9
"15/8/2010",16191.1
"15/11/2010",16366.3
"15/2/2011",16554.4
"15/5/2011",16736.7
"15/8/2011",16918.4
"15/11/2011",17102.9
"15/2/2012",17302.6
"15/5/2012",17496.6
"15/8/2012",17693
"15/11/2012",17887.5
"15/2/2013",18092.5
"15/5/2013",18290.2
"15/8/2013",18489.2
"15/11/2013",18690.4
"15/2/2014",18903.7
"15/5/2014",19109.2
"15/8/2014",19316.1
"15/11/2014",19521.7
"15/2/2015",19739
"15/5/2015",19948
"15/8/2015",20158.4
"15/11/2015",20370.6
"15/2/2016",20596.9
"15/5/2016",20814.1
"15/8/2016",21033.2
"15/11/2016",21254.5
"15/2/2017",21488.1
