"Start","15/2/1950"
"End","15/2/2017"
"Frequency","D"
"Name","US CBO FORECAST - POTENTIAL GDP (REAL) CONA"
"Code","USFCGDPPD"
"CURRENCY","U$"
"15/2/1950",1731.9
"15/5/1950",1749.4
"15/8/1950",1767.7
"15/11/1950",1786.9
"15/2/1951",1807.1
"15/5/1951",1828.3
"15/8/1951",1850
"15/11/1951",1872
"15/2/1952",1893.9
"15/5/1952",1915.5
"15/8/1952",1936.6
"15/11/1952",1957.1
"15/2/1953",1976.8
"15/5/1953",1995.7
"15/8/1953",2014
"15/11/1953",2031.5
"15/2/1954",2048.5
"15/5/1954",2064.8
"15/8/1954",2080.7
"15/11/1954",2096.4
"15/2/1955",2112.1
"15/5/1955",2128.2
"15/8/1955",2144.8
"15/11/1955",2161.8
"15/2/1956",2179.7
"15/5/1956",2197.9
"15/8/1956",2216.7
"15/11/1956",2235.9
"15/2/1957",2255.3
"15/5/1957",2275.3
"15/8/1957",2295.6
"15/11/1957",2316.1
"15/2/1958",2336.7
"15/5/1958",2356.9
"15/8/1958",2377.1
"15/11/1958",2397.3
"15/2/1959",2417.5
"15/5/1959",2438.3
"15/8/1959",2459.6
"15/11/1959",2481.5
"15/2/1960",2504.4
"15/5/1960",2527.9
"15/8/1960",2551.9
"15/11/1960",2576.1
"15/2/1961",2600.2
"15/5/1961",2624.4
"15/8/1961",2648.7
"15/11/1961",2673.3
"15/2/1962",2698.3
"15/5/1962",2723.8
"15/8/1962",2749.8
"15/11/1962",2776.3
"15/2/1963",2803.4
"15/5/1963",2830.9
"15/8/1963",2858.9
"15/11/1963",2887.4
"15/2/1964",2916.1
"15/5/1964",2945.3
"15/8/1964",2975.1
"15/11/1964",3005.5
"15/2/1965",3036.6
"15/5/1965",3068.5
"15/8/1965",3101.3
"15/11/1965",3135
"15/2/1966",3169.8
"15/5/1966",3205.8
"15/8/1966",3242.5
"15/11/1966",3279.8
"15/2/1967",3317.4
"15/5/1967",3354.8
"15/8/1967",3392
"15/11/1967",3429
"15/2/1968",3465.4
"15/5/1968",3501.7
"15/8/1968",3537.8
"15/11/1968",3573.8
"15/2/1969",3609.9
"15/5/1969",3646
"15/8/1969",3681.8
"15/11/1969",3717
"15/2/1970",3751.4
"15/5/1970",3785
"15/8/1970",3817.8
"15/11/1970",3850
"15/2/1971",3881.6
"15/5/1971",3913
"15/8/1971",3944.3
"15/11/1971",3975.9
"15/2/1972",4008.1
"15/5/1972",4040.7
"15/8/1972",4074.1
"15/11/1972",4108.4
"15/2/1973",4143.8
"15/5/1973",4180.2
"15/8/1973",4217.8
"15/11/1973",4256.2
"15/2/1974",4295.6
"15/5/1974",4335.7
"15/8/1974",4375.9
"15/11/1974",4415.7
"15/2/1975",4454.7
"15/5/1975",4492.3
"15/8/1975",4528.9
"15/11/1975",4564.8
"15/2/1976",4600
"15/5/1976",4635.3
"15/8/1976",4671
"15/11/1976",4707.4
"15/2/1977",4745.4
"15/5/1977",4784
"15/8/1977",4824.1
"15/11/1977",4865.6
"15/2/1978",4908.5
"15/5/1978",4953.7
"15/8/1978",4999.9
"15/11/1978",5046.2
"15/2/1979",5092.2
"15/5/1979",5136.3
"15/8/1979",5177.8
"15/11/1979",5216
"15/2/1980",5249.6
"15/5/1980",5278.5
"15/8/1980",5305.3
"15/11/1980",5331.6
"15/2/1981",5359
"15/5/1981",5390
"15/8/1981",5423.8
"15/11/1981",5460.4
"15/2/1982",5501
"15/5/1982",5542.8
"15/8/1982",5585.5
"15/11/1982",5628.3
"15/2/1983",5669.3
"15/5/1983",5709.7
"15/8/1983",5750.3
"15/11/1983",5791.8
"15/2/1984",5835.3
"15/5/1984",5881
"15/8/1984",5928.4
"15/11/1984",5977.4
"15/2/1985",6028.1
"15/5/1985",6079.6
"15/8/1985",6131.5
"15/11/1985",6183.4
"15/2/1986",6234.6
"15/5/1986",6285.2
"15/8/1986",6335.4
"15/11/1986",6385.2
"15/2/1987",6434.9
"15/5/1987",6484.5
"15/8/1987",6534.2
"15/11/1987",6584
"15/2/1988",6634
"15/5/1988",6684.2
"15/8/1988",6734.6
"15/11/1988",6785.3
"15/2/1989",6836.2
"15/5/1989",6887.4
"15/8/1989",6938.9
"15/11/1989",6990.3
"15/2/1990",7041.6
"15/5/1990",7092.5
"15/8/1990",7142.8
"15/11/1990",7192.2
"15/2/1991",7240.4
"15/5/1991",7287.4
"15/8/1991",7333.5
"15/11/1991",7379.1
"15/2/1992",7424.2
"15/5/1992",7469.4
"15/8/1992",7515
"15/11/1992",7561.2
"15/2/1993",7608.8
"15/5/1993",7657.8
"15/8/1993",7707.9
"15/11/1993",7759.2
"15/2/1994",7811.6
"15/5/1994",7865
"15/8/1994",7920
"15/11/1994",7976.3
"15/2/1995",8033.5
"15/5/1995",8091.9
"15/8/1995",8151.4
"15/11/1995",8212.1
"15/2/1996",8274.1
"15/5/1996",8337
"15/8/1996",8401.2
"15/11/1996",8466.9
"15/2/1997",8534
"15/5/1997",8603
"15/8/1997",8673.9
"15/11/1997",8746.6
"15/2/1998",8821.5
"15/5/1998",8898.1
"15/8/1998",8976.4
"15/11/1998",9056.3
"15/2/1999",9137.6
"15/5/1999",9220
"15/8/1999",9303.9
"15/11/1999",9389.2
"15/2/2000",9475.8
"15/5/2000",9564.2
"15/8/2000",9653
"15/11/2000",9741.6
"15/2/2001",9829.3
"15/5/2001",9914.7
"15/8/2001",9997.8
"15/11/2001",10078.4
"15/2/2002",10155.8
"15/5/2002",10230.8
"15/8/2002",10304.1
"15/11/2002",10376.1
"15/2/2003",10447.8
"15/5/2003",10518.9
"15/8/2003",10589.8
"15/11/2003",10660.9
"15/2/2004",10732.3
"15/5/2004",10804.6
"15/8/2004",10877.7
"15/11/2004",10951.7
"15/2/2005",11026.7
"15/5/2005",11102.3
"15/8/2005",11178.8
"15/11/2005",11255.9
"15/2/2006",11333.5
"15/5/2006",11411.8
"15/8/2006",11490.8
"15/11/2006",11570.5
"15/2/2007",11651
"15/5/2007",11732.1
"15/8/2007",11813.7
"15/11/2007",11895.9
"15/2/2008",11978.5
"15/5/2008",12061.6
"15/8/2008",12145.1
"15/11/2008",12229.1
"15/2/2009",12313.6
"15/5/2009",12398.6
"15/8/2009",12483.9
"15/11/2009",12569.3
"15/2/2010",12654.7
"15/5/2010",12739.7
"15/8/2010",12824.6
"15/11/2010",12909.5
"15/2/2011",12994.4
"15/5/2011",13079.6
"15/8/2011",13165.3
"15/11/2011",13251.6
"15/2/2012",13338.9
"15/5/2012",13426.9
"15/8/2012",13515.5
"15/11/2012",13604.7
"15/2/2013",13694.1
"15/5/2013",13783.7
"15/8/2013",13873.5
"15/11/2013",13963.4
"15/2/2014",14053.4
"15/5/2014",14143.3
"15/8/2014",14233.3
"15/11/2014",14323.4
"15/2/2015",14413.6
"15/5/2015",14503.9
"15/8/2015",14594.4
"15/11/2015",14685
"15/2/2016",14775.9
"15/5/2016",14867.1
"15/8/2016",14958.6
"15/11/2016",15050.5
"15/2/2017",15142.9
