"Start","15/2/1950"
"End","15/2/2017"
"Frequency","D"
"Name","US CBO FORECAST-NONACCELERATING INFLATION RATE OF UNEMP(NAIRU)"
"Code","USFCNAIRQ"
"CURRENCY",
"15/2/1950",5.26
"15/5/1950",5.26
"15/8/1950",5.27
"15/11/1950",5.28
"15/2/1951",5.29
"15/5/1951",5.31
"15/8/1951",5.32
"15/11/1951",5.34
"15/2/1952",5.36
"15/5/1952",5.37
"15/8/1952",5.38
"15/11/1952",5.38
"15/2/1953",5.37
"15/5/1953",5.37
"15/8/1953",5.37
"15/11/1953",5.37
"15/2/1954",5.37
"15/5/1954",5.37
"15/8/1954",5.37
"15/11/1954",5.37
"15/2/1955",5.37
"15/5/1955",5.38
"15/8/1955",5.38
"15/11/1955",5.39
"15/2/1956",5.4
"15/5/1956",5.41
"15/8/1956",5.41
"15/11/1956",5.41
"15/2/1957",5.4
"15/5/1957",5.4
"15/8/1957",5.4
"15/11/1957",5.4
"15/2/1958",5.4
"15/5/1958",5.4
"15/8/1958",5.4
"15/11/1958",5.4
"15/2/1959",5.41
"15/5/1959",5.42
"15/8/1959",5.43
"15/11/1959",5.45
"15/2/1960",5.48
"15/5/1960",5.49
"15/8/1960",5.5
"15/11/1960",5.51
"15/2/1961",5.51
"15/5/1961",5.51
"15/8/1961",5.51
"15/11/1961",5.51
"15/2/1962",5.5
"15/5/1962",5.5
"15/8/1962",5.51
"15/11/1962",5.51
"15/2/1963",5.53
"15/5/1963",5.54
"15/8/1963",5.55
"15/11/1963",5.56
"15/2/1964",5.57
"15/5/1964",5.59
"15/8/1964",5.6
"15/11/1964",5.62
"15/2/1965",5.64
"15/5/1965",5.66
"15/8/1965",5.69
"15/11/1965",5.71
"15/2/1966",5.74
"15/5/1966",5.76
"15/8/1966",5.77
"15/11/1966",5.78
"15/2/1967",5.78
"15/5/1967",5.78
"15/8/1967",5.78
"15/11/1967",5.78
"15/2/1968",5.78
"15/5/1968",5.79
"15/8/1968",5.79
"15/11/1968",5.81
"15/2/1969",5.82
"15/5/1969",5.84
"15/8/1969",5.85
"15/11/1969",5.86
"15/2/1970",5.88
"15/5/1970",5.89
"15/8/1970",5.9
"15/11/1970",5.91
"15/2/1971",5.92
"15/5/1971",5.93
"15/8/1971",5.95
"15/11/1971",5.97
"15/2/1972",6
"15/5/1972",6.02
"15/8/1972",6.05
"15/11/1972",6.07
"15/2/1973",6.1
"15/5/1973",6.12
"15/8/1973",6.14
"15/11/1973",6.15
"15/2/1974",6.16
"15/5/1974",6.17
"15/8/1974",6.17
"15/11/1974",6.17
"15/2/1975",6.17
"15/5/1975",6.17
"15/8/1975",6.17
"15/11/1975",6.18
"15/2/1976",6.19
"15/5/1976",6.2
"15/8/1976",6.2
"15/11/1976",6.21
"15/2/1977",6.22
"15/5/1977",6.23
"15/8/1977",6.24
"15/11/1977",6.25
"15/2/1978",6.26
"15/5/1978",6.27
"15/8/1978",6.27
"15/11/1978",6.27
"15/2/1979",6.26
"15/5/1979",6.26
"15/8/1979",6.25
"15/11/1979",6.24
"15/2/1980",6.23
"15/5/1980",6.22
"15/8/1980",6.21
"15/11/1980",6.2
"15/2/1981",6.19
"15/5/1981",6.17
"15/8/1981",6.16
"15/11/1981",6.15
"15/2/1982",6.13
"15/5/1982",6.12
"15/8/1982",6.11
"15/11/1982",6.1
"15/2/1983",6.09
"15/5/1983",6.08
"15/8/1983",6.07
"15/11/1983",6.06
"15/2/1984",6.05
"15/5/1984",6.05
"15/8/1984",6.04
"15/11/1984",6.03
"15/2/1985",6.03
"15/5/1985",6.02
"15/8/1985",6.02
"15/11/1985",6.01
"15/2/1986",6
"15/5/1986",6
"15/8/1986",5.99
"15/11/1986",5.98
"15/2/1987",5.98
"15/5/1987",5.97
"15/8/1987",5.97
"15/11/1987",5.96
"15/2/1988",5.94
"15/5/1988",5.94
"15/8/1988",5.93
"15/11/1988",5.92
"15/2/1989",5.91
"15/5/1989",5.91
"15/8/1989",5.9
"15/11/1989",5.89
"15/2/1990",5.89
"15/5/1990",5.87
"15/8/1990",5.86
"15/11/1990",5.84
"15/2/1991",5.82
"15/5/1991",5.79
"15/8/1991",5.77
"15/11/1991",5.74
"15/2/1992",5.71
"15/5/1992",5.68
"15/8/1992",5.64
"15/11/1992",5.61
"15/2/1993",5.58
"15/5/1993",5.54
"15/8/1993",5.51
"15/11/1993",5.48
"15/2/1994",5.44
"15/5/1994",5.41
"15/8/1994",5.38
"15/11/1994",5.35
"15/2/1995",5.31
"15/5/1995",5.28
"15/8/1995",5.25
"15/11/1995",5.22
"15/2/1996",5.2
"15/5/1996",5.17
"15/8/1996",5.14
"15/11/1996",5.11
"15/2/1997",5.09
"15/5/1997",5.06
"15/8/1997",5.04
"15/11/1997",5.01
"15/2/1998",4.99
"15/5/1998",4.97
"15/8/1998",4.95
"15/11/1998",4.93
"15/2/1999",4.91
"15/5/1999",4.9
"15/8/1999",4.88
"15/11/1999",4.87
"15/2/2000",4.85
"15/5/2000",4.84
"15/8/2000",4.83
"15/11/2000",4.82
"15/2/2001",4.81
"15/5/2001",4.81
"15/8/2001",4.8
"15/11/2001",4.8
"15/2/2002",4.8
"15/5/2002",4.8
"15/8/2002",4.8
"15/11/2002",4.8
"15/2/2003",4.8
"15/5/2003",4.8
"15/8/2003",4.8
"15/11/2003",4.8
"15/2/2004",4.8
"15/5/2004",4.8
"15/8/2004",4.8
"15/11/2004",4.8
"15/2/2005",4.8
"15/5/2005",4.8
"15/8/2005",4.8
"15/11/2005",4.8
"15/2/2006",4.8
"15/5/2006",4.8
"15/8/2006",4.8
"15/11/2006",4.8
"15/2/2007",4.8
"15/5/2007",4.8
"15/8/2007",4.8
"15/11/2007",4.8
"15/2/2008",4.8
"15/5/2008",4.8
"15/8/2008",4.8
"15/11/2008",4.8
"15/2/2009",4.8
"15/5/2009",4.8
"15/8/2009",4.8
"15/11/2009",4.8
"15/2/2010",4.8
"15/5/2010",4.8
"15/8/2010",4.8
"15/11/2010",4.8
"15/2/2011",4.8
"15/5/2011",4.8
"15/8/2011",4.8
"15/11/2011",4.8
"15/2/2012",4.8
"15/5/2012",4.8
"15/8/2012",4.8
"15/11/2012",4.8
"15/2/2013",4.8
"15/5/2013",4.8
"15/8/2013",4.8
"15/11/2013",4.8
"15/2/2014",4.8
"15/5/2014",4.8
"15/8/2014",4.8
"15/11/2014",4.8
"15/2/2015",4.8
"15/5/2015",4.8
"15/8/2015",4.8
"15/11/2015",4.8
"15/2/2016",4.8
"15/5/2016",4.8
"15/8/2016",4.8
"15/11/2016",4.8
"15/2/2017",4.8
