"Start","30/7/1971"
"End",06/01/2007
"Frequency","D"
"Name","US FEDERAL FUNDS TARGET RATE - MIDDLE RATE"
"Code","USFDTRG"
"CURRENCY","U$"
"30/7/1971",5
08/02/1971,5
08/03/1971,5
08/04/1971,5
08/05/1971,5
08/06/1971,5
08/09/1971,5
08/10/1971,5
08/11/1971,5
08/12/1971,5
"13/8/1971",5
"16/8/1971",5
"17/8/1971",5
"18/8/1971",5
"19/8/1971",5
"20/8/1971",5
"23/8/1971",5
"24/8/1971",5
"25/8/1971",5
"26/8/1971",5
"27/8/1971",5
"30/8/1971",5
"31/8/1971",5
09/01/1971,5
09/02/1971,5
09/03/1971,5
09/06/1971,5
09/07/1971,5
09/08/1971,5
09/09/1971,5
09/10/1971,5
"13/9/1971",5
"14/9/1971",5
"15/9/1971",5
"16/9/1971",5
"17/9/1971",5
"20/9/1971",5
"21/9/1971",5
"22/9/1971",5
"23/9/1971",5
"24/9/1971",5
"27/9/1971",5
"28/9/1971",5
"29/9/1971",5
"30/9/1971",5
10/01/1971,5
10/04/1971,5
10/05/1971,5
10/06/1971,5
10/07/1971,5
10/08/1971,5
10/11/1971,5
10/12/1971,5
"13/10/1971",5
"14/10/1971",5
"15/10/1971",5
"18/10/1971",5
"19/10/1971",5
"20/10/1971",5
"21/10/1971",5
"22/10/1971",5
"25/10/1971",5
"26/10/1971",5
"27/10/1971",5
"28/10/1971",5
"29/10/1971",5
11/01/1971,5
11/02/1971,5
11/03/1971,5
11/04/1971,5
11/05/1971,5
11/08/1971,5
11/09/1971,5
11/10/1971,5
11/11/1971,5
11/12/1971,4.75
"15/11/1971",4.75
"16/11/1971",4.75
"17/11/1971",4.75
"18/11/1971",4.75
"19/11/1971",4.75
"22/11/1971",4.75
"23/11/1971",4.75
"24/11/1971",4.75
"25/11/1971",4.75
"26/11/1971",4.75
"29/11/1971",4.75
"30/11/1971",4.75
12/01/1971,4.75
12/02/1971,4.75
12/03/1971,4.75
12/06/1971,4.75
12/07/1971,4.75
12/08/1971,4.75
12/09/1971,4.75
12/10/1971,4.75
"13/12/1971",4.75
"14/12/1971",4.75
"15/12/1971",4.75
"16/12/1971",4.75
"17/12/1971",4
"20/12/1971",4
"21/12/1971",4
"22/12/1971",4
"23/12/1971",4
"24/12/1971",4
"27/12/1971",4
"28/12/1971",4
"29/12/1971",4
"30/12/1971",4
"31/12/1971",4
01/03/1972,4
01/04/1972,4
01/05/1972,4
01/06/1972,4
01/07/1972,4
01/10/1972,4
01/11/1972,4
01/12/1972,4
"13/1/1972",4
"14/1/1972",4
"17/1/1972",4
"18/1/1972",4
"19/1/1972",4
"20/1/1972",4
"21/1/1972",4
"24/1/1972",4
"25/1/1972",4
"26/1/1972",4
"27/1/1972",4
"28/1/1972",4
"31/1/1972",4
02/01/1972,4
02/02/1972,4
02/03/1972,4
02/04/1972,4
02/07/1972,4
02/08/1972,4
02/09/1972,4
02/10/1972,4
02/11/1972,4
"14/2/1972",4
"15/2/1972",4
"16/2/1972",4
"17/2/1972",4
"18/2/1972",4
"21/2/1972",4
"22/2/1972",4
"23/2/1972",4
"24/2/1972",4
"25/2/1972",4
"28/2/1972",4
"29/2/1972",4
03/01/1972,4
03/02/1972,4
03/03/1972,4
03/06/1972,4
03/07/1972,4
03/08/1972,4
03/09/1972,4
03/10/1972,4
"13/3/1972",4
"14/3/1972",4
"15/3/1972",4
"16/3/1972",4
"17/3/1972",4
"20/3/1972",4
"21/3/1972",4
"22/3/1972",4
"23/3/1972",4
"24/3/1972",4
"27/3/1972",4
"28/3/1972",4
"29/3/1972",4
"30/3/1972",4
"31/3/1972",5.5
04/03/1972,5.5
04/04/1972,5.5
04/05/1972,5.5
04/06/1972,5.5
04/07/1972,5.5
04/10/1972,5.5
04/11/1972,5.5
04/12/1972,5.5
"13/4/1972",5.5
"14/4/1972",5.5
"17/4/1972",5.5
"18/4/1972",5.5
"19/4/1972",5.5
"20/4/1972",5.5
"21/4/1972",5.5
"24/4/1972",5.5
"25/4/1972",5.5
"26/4/1972",5.5
"27/4/1972",5.5
"28/4/1972",5.5
05/01/1972,5.5
05/02/1972,5.5
05/03/1972,5.5
05/04/1972,5.5
05/05/1972,5.5
05/08/1972,5.5
05/09/1972,5.5
05/10/1972,5.5
05/11/1972,5.5
05/12/1972,5.5
"15/5/1972",5.5
"16/5/1972",5.5
"17/5/1972",5.5
"18/5/1972",5.5
"19/5/1972",5.5
"22/5/1972",5.5
"23/5/1972",5.5
"24/5/1972",5.5
"25/5/1972",5.5
"26/5/1972",5.5
"29/5/1972",5.5
"30/5/1972",5.5
"31/5/1972",5.5
06/01/1972,5.5
06/02/1972,5.5
06/05/1972,5.5
06/06/1972,5.5
06/07/1972,5.5
06/08/1972,5.5
06/09/1972,5.5
06/12/1972,5.5
"13/6/1972",5.5
"14/6/1972",5.5
"15/6/1972",5.5
"16/6/1972",5.5
"19/6/1972",5.5
"20/6/1972",5.5
"21/6/1972",5.5
"22/6/1972",5.5
"23/6/1972",5.5
"26/6/1972",5.5
"27/6/1972",5.5
