"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CHAIN-TYPE PRICE INDEX OF GDP SADJ"
"Code","USGDP..CE"
"CURRENCY","U$"
"15/2/1950",16.21
"15/5/1950",16.28
"15/8/1950",16.61
"15/11/1950",16.88
"15/2/1951",17.47
"15/5/1951",17.56
"15/8/1951",17.62
"15/11/1951",17.85
"15/2/1952",17.86
"15/5/1952",17.94
"15/8/1952",18.08
"15/11/1952",18.15
"15/2/1953",18.16
"15/5/1953",18.2
"15/8/1953",18.27
"15/11/1953",18.33
"15/2/1954",18.41
"15/5/1954",18.44
"15/8/1954",18.43
"15/11/1954",18.46
"15/2/1955",18.53
"15/5/1955",18.64
"15/8/1955",18.77
"15/11/1955",18.9
"15/2/1956",19.09
"15/5/1956",19.27
"15/8/1956",19.49
"15/11/1956",19.6
"15/2/1957",19.83
"15/5/1957",19.97
"15/8/1957",20.12
"15/11/1957",20.23
"15/2/1958",20.41
"15/5/1958",20.5
"15/8/1958",20.55
"15/11/1958",20.59
"15/2/1959",20.68
"15/5/1959",20.71
"15/8/1959",20.77
"15/11/1959",20.85
"15/2/1960",20.9
"15/5/1960",21
"15/8/1960",21.09
"15/11/1960",21.19
"15/2/1961",21.21
"15/5/1961",21.25
"15/8/1961",21.31
"15/11/1961",21.36
"15/2/1962",21.48
"15/5/1962",21.54
"15/8/1962",21.6
"15/11/1962",21.67
"15/2/1963",21.73
"15/5/1963",21.75
"15/8/1963",21.79
"15/11/1963",21.92
"15/2/1964",22
"15/5/1964",22.07
"15/8/1964",22.18
"15/11/1964",22.28
"15/2/1965",22.38
"15/5/1965",22.48
"15/8/1965",22.58
"15/11/1965",22.72
"15/2/1966",22.86
"15/5/1966",23.07
"15/8/1966",23.29
"15/11/1966",23.5
"15/2/1967",23.61
"15/5/1967",23.76
"15/8/1967",23.98
"15/11/1967",24.24
"15/2/1968",24.5
"15/5/1968",24.78
"15/8/1968",25.02
"15/11/1968",25.37
"15/2/1969",25.62
"15/5/1969",25.97
"15/8/1969",26.35
"15/11/1969",26.68
"15/2/1970",27.05
"15/5/1970",27.44
"15/8/1970",27.66
"15/11/1970",28.01
"15/2/1971",28.43
"15/5/1971",28.81
"15/8/1971",29.1
"15/11/1971",29.33
"15/2/1972",29.81
"15/5/1972",29.99
"15/8/1972",30.26
"15/11/1972",30.62
"15/2/1973",31.03
"15/5/1973",31.54
"15/8/1973",32.15
"15/11/1973",32.7
"15/2/1974",33.37
"15/5/1974",34.11
"15/8/1974",35.16
"15/11/1974",36.24
"15/2/1975",37.08
"15/5/1975",37.62
"15/8/1975",38.32
"15/11/1975",39.01
"15/2/1976",39.44
"15/5/1976",39.87
"15/8/1976",40.41
"15/11/1976",41.1
"15/2/1977",41.78
"15/5/1977",42.45
"15/8/1977",43.04
"15/11/1977",43.76
"15/2/1978",44.49
"15/5/1978",45.35
"15/8/1978",46.13
"15/11/1978",47.07
"15/2/1979",47.93
"15/5/1979",49.09
"15/8/1979",50.1
"15/11/1979",51.09
"15/2/1980",52.21
"15/5/1980",53.36
"15/8/1980",54.57
"15/11/1980",56.11
"15/2/1981",57.57
"15/5/1981",58.58
"15/8/1981",59.66
"15/11/1981",60.7
"15/2/1982",61.56
"15/5/1982",62.33
"15/8/1982",63.19
"15/11/1982",63.87
"15/2/1983",64.41
"15/5/1983",64.88
"15/8/1983",65.54
"15/11/1983",66.02
"15/2/1984",66.84
"15/5/1984",67.44
"15/8/1984",67.99
"15/11/1984",68.39
"15/2/1985",69.18
"15/5/1985",69.54
"15/8/1985",69.88
"15/11/1985",70.3
"15/2/1986",70.66
"15/5/1986",71
"15/8/1986",71.46
"15/11/1986",71.96
"15/2/1987",72.51
"15/5/1987",72.9
"15/8/1987",73.45
"15/11/1987",73.95
"15/2/1988",74.56
"15/5/1988",75.3
"15/8/1988",76.18
"15/11/1988",76.79
"15/2/1989",77.59
"15/5/1989",78.34
"15/8/1989",78.91
"15/11/1989",79.43
"15/2/1990",80.39
"15/5/1990",81.33
"15/8/1990",82.05
"15/11/1990",82.69
"15/2/1991",83.66
"15/5/1991",84.19
"15/8/1991",84.77
"15/11/1991",85.2
"15/2/1992",85.77
"15/5/1992",86.21
"15/8/1992",86.59
"15/11/1992",87.04
"15/2/1993",87.73
"15/5/1993",88.2
"15/8/1993",88.6
"15/11/1993",89.03
"15/2/1994",89.6
"15/5/1994",89.98
"15/8/1994",90.53
"15/11/1994",90.96
"15/2/1995",91.55
"15/5/1995",91.89
"15/8/1995",92.28
"15/11/1995",92.73
"15/2/1996",93.3
"15/5/1996",93.62
"15/8/1996",94.06
"15/11/1996",94.46
"15/2/1997",94.96
"15/5/1997",95.29
"15/8/1997",95.54
"15/11/1997",95.86
"15/2/1998",96.1
"15/5/1998",96.28
"15/8/1998",96.62
"15/11/1998",96.9
"15/2/1999",97.27
"15/5/1999",97.7
"15/8/1999",98.02
"15/11/1999",98.48
"15/2/2000",99.29
"15/5/2000",99.78
"15/8/2000",100.24
"15/11/2000",100.69
"15/2/2001",101.51
"15/5/2001",102.29
"15/8/2001",102.69
"15/11/2001",103.12
"15/2/2002",103.55
"15/5/2002",103.94
"15/8/2002",104.35
"15/11/2002",104.93
"15/2/2003",105.74
"15/5/2003",106.08
"15/8/2003",106.62
"15/11/2003",107.2
"15/2/2004",108.18
"15/5/2004",109.19
"15/8/2004",109.81
"15/11/2004",110.68
"15/2/2005",111.75
"15/5/2005",112.46
"15/8/2005",113.42
"15/11/2005",114.4
"15/2/2006",115.36
"15/5/2006",116.35
"15/8/2006",117.03
"15/11/2006",117.53
"15/2/2007",118.75
