"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CHAIN-TYPE QUANTITY INDEX OF GDP SADJ"
"Code","USGDP.CQE"
"CURRENCY",
"15/2/1950",17.28
"15/5/1950",17.8
"15/8/1950",18.5
"15/11/1950",18.83
"15/2/1951",19.06
"15/5/1951",19.39
"15/8/1951",19.77
"15/11/1951",19.81
"15/2/1952",20.01
"15/5/1952",20.03
"15/8/1952",20.16
"15/11/1952",20.82
"15/2/1953",21.21
"15/5/1953",21.37
"15/8/1953",21.24
"15/11/1953",20.91
"15/2/1954",20.81
"15/5/1954",20.82
"15/8/1954",21.05
"15/11/1954",21.47
"15/2/1955",22.09
"15/5/1955",22.45
"15/8/1955",22.75
"15/11/1955",22.87
"15/2/1956",22.77
"15/5/1956",22.95
"15/8/1956",22.92
"15/11/1956",23.29
"15/2/1957",23.43
"15/5/1957",23.37
"15/8/1957",23.6
"15/11/1957",23.35
"15/2/1958",22.72
"15/5/1958",22.85
"15/8/1958",23.38
"15/11/1958",23.92
"15/2/1959",24.38
"15/5/1959",25.02
"15/8/1959",25
"15/11/1959",25.09
"15/2/1960",25.64
"15/5/1960",25.52
"15/8/1960",25.56
"15/11/1960",25.22
"15/2/1961",25.38
"15/5/1961",25.85
"15/8/1961",26.27
"15/11/1961",26.81
"15/2/1962",27.29
"15/5/1962",27.59
"15/8/1962",27.84
"15/11/1962",27.91
"15/2/1963",28.28
"15/5/1963",28.63
"15/8/1963",29.17
"15/11/1963",29.4
"15/2/1964",30.06
"15/5/1964",30.4
"15/8/1964",30.82
"15/11/1964",30.9
"15/2/1965",31.66
"15/5/1965",32.09
"15/8/1965",32.74
"15/11/1965",33.53
"15/2/1966",34.35
"15/5/1966",34.47
"15/8/1966",34.7
"15/11/1966",34.98
"15/2/1967",35.29
"15/5/1967",35.29
"15/8/1967",35.57
"15/11/1967",35.84
"15/2/1968",36.58
"15/5/1968",37.2
"15/8/1968",37.45
"15/11/1968",37.61
"15/2/1969",38.2
"15/5/1969",38.31
"15/8/1969",38.55
"15/11/1969",38.37
"15/2/1970",38.3
"15/5/1970",38.37
"15/8/1970",38.71
"15/11/1970",38.3
"15/2/1971",39.36
"15/5/1971",39.58
"15/8/1971",39.9
"15/11/1971",40.01
"15/2/1972",40.72
"15/5/1972",41.68
"15/8/1972",42.08
"15/11/1972",42.77
"15/2/1973",43.86
"15/5/1973",44.36
"15/8/1973",44.13
"15/11/1973",44.55
"15/2/1974",44.16
"15/5/1974",44.29
"15/8/1974",43.86
"15/11/1974",43.69
"15/2/1975",43.17
"15/5/1975",43.48
"15/8/1975",44.22
"15/11/1975",44.8
"15/2/1976",45.81
"15/5/1976",46.15
"15/8/1976",46.37
"15/11/1976",46.7
"15/2/1977",47.27
"15/5/1977",48.19
"15/8/1977",49.06
"15/11/1977",49.05
"15/2/1978",49.21
"15/5/1978",51.15
"15/8/1978",51.65
"15/11/1978",52.33
"15/2/1979",52.43
"15/5/1979",52.48
"15/8/1979",52.86
"15/11/1979",53.02
"15/2/1980",53.19
"15/5/1980",52.11
"15/8/1980",52.03
"15/11/1980",52.99
"15/2/1981",54.07
"15/5/1981",53.64
"15/8/1981",54.29
"15/11/1981",53.62
"15/2/1982",52.74
"15/5/1982",53.02
"15/8/1982",52.82
"15/11/1982",52.87
"15/2/1983",53.52
"15/5/1983",54.73
"15/8/1983",55.81
"15/11/1983",56.95
"15/2/1984",58.06
"15/5/1984",59.06
"15/8/1984",59.63
"15/11/1984",60.12
"15/2/1985",60.68
"15/5/1985",61.2
"15/8/1985",62.16
"15/11/1985",62.63
"15/2/1986",63.23
"15/5/1986",63.48
"15/8/1986",64.09
"15/11/1986",64.41
"15/2/1987",64.84
"15/5/1987",65.55
"15/8/1987",66.15
"15/11/1987",67.3
"15/2/1988",67.63
"15/5/1988",68.49
"15/8/1988",68.85
"15/11/1988",69.76
"15/2/1989",70.47
"15/5/1989",70.93
"15/8/1989",71.44
"15/11/1989",71.62
"15/2/1990",72.45
"15/5/1990",72.63
"15/8/1990",72.64
"15/11/1990",72.09
"15/2/1991",71.72
"15/5/1991",72.19
"15/8/1991",72.54
"15/11/1991",72.88
"15/2/1992",73.63
"15/5/1992",74.34
"15/8/1992",75.07
"15/11/1992",75.9
"15/2/1993",75.99
"15/5/1993",76.37
"15/8/1993",76.77
"15/11/1993",77.8
"15/2/1994",78.59
"15/5/1994",79.61
"15/8/1994",80.06
"15/11/1994",81
"15/2/1995",81.22
"15/5/1995",81.37
"15/8/1995",82.03
"15/11/1995",82.63
"15/2/1996",83.22
"15/5/1996",84.58
"15/8/1996",85.29
"15/11/1996",86.29
"15/2/1997",86.95
"15/5/1997",88.27
"15/8/1997",89.37
"15/11/1997",90.03
"15/2/1998",91.03
"15/5/1998",91.63
"15/8/1998",92.69
"15/11/1998",94.09
"15/2/1999",94.89
"15/5/1999",95.68
"15/8/1999",96.79
"15/11/1999",98.51
"15/2/2000",98.76
"15/5/2000",100.32
"15/8/2000",100.2
"15/11/2000",100.72
"15/2/2001",100.6
"15/5/2001",100.91
"15/8/2001",100.55
"15/11/2001",100.95
"15/2/2002",101.63
"15/5/2002",102.19
"15/8/2002",102.79
"15/11/2002",102.84
"15/2/2003",103.15
"15/5/2003",104.03
"15/8/2003",105.93
"15/11/2003",106.62
"15/2/2004",107.4
"15/5/2004",108.33
"15/8/2004",109.29
"15/11/2004",109.98
"15/2/2005",110.81
"15/5/2005",111.58
"15/8/2005",112.81
"15/11/2005",113.14
"15/2/2006",114.48
"15/5/2006",115.18
"15/8/2006",115.48
"15/11/2006",116.08
"15/2/2007",116.25
