"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US GROSS PRIVATE DOMESTIC INVESTMENT (AR) CURA"
"Code","USGDPRINB"
"CURRENCY","U$"
"15/2/1950",44.4
"15/5/1950",49.9
"15/8/1950",56.1
"15/11/1950",65.9
"15/2/1951",62.1
"15/5/1951",64.8
"15/8/1951",59.4
"15/11/1951",54.4
"15/2/1952",55.2
"15/5/1952",49.9
"15/8/1952",53.9
"15/11/1952",57.1
"15/2/1953",57.9
"15/5/1953",58.1
"15/8/1953",57.4
"15/11/1953",52.3
"15/2/1954",51.5
"15/5/1954",51.2
"15/8/1954",54.7
"15/11/1954",57.8
"15/2/1955",64.2
"15/5/1955",68.1
"15/8/1955",70
"15/11/1955",73.9
"15/2/1956",73
"15/5/1956",71.4
"15/8/1956",72.5
"15/11/1956",71.2
"15/2/1957",71.8
"15/5/1957",71.9
"15/8/1957",73.2
"15/11/1957",64.9
"15/2/1958",60.5
"15/5/1958",58.7
"15/8/1958",65.5
"15/11/1958",73.2
"15/2/1959",76.2
"15/5/1959",82.2
"15/8/1959",76.4
"15/11/1959",79.3
"15/2/1960",89.1
"15/5/1960",79.7
"15/8/1960",78.7
"15/11/1960",68.1
"15/2/1961",70.3
"15/5/1961",75.8
"15/8/1961",82.4
"15/11/1961",84.2
"15/2/1962",89.4
"15/5/1962",87.9
"15/8/1962",89.3
"15/11/1962",86
"15/2/1963",90.5
"15/5/1963",92.2
"15/8/1963",95
"15/11/1963",97.4
"15/2/1964",100.7
"15/5/1964",100.6
"15/8/1964",102.5
"15/11/1964",104.6
"15/2/1965",115.7
"15/5/1965",115.8
"15/8/1965",119.7
"15/11/1965",121.8
"15/2/1966",131.7
"15/5/1966",130.7
"15/8/1966",130.2
"15/11/1966",132.7
"15/2/1967",129.3
"15/5/1967",123.7
"15/8/1967",128.5
"15/11/1967",132.9
"15/2/1968",137.2
"15/5/1968",143.4
"15/8/1968",139.7
"15/11/1968",144.4
"15/2/1969",155.7
"15/5/1969",155.7
"15/8/1969",160.3
"15/11/1969",154.1
"15/2/1970",150.7
"15/5/1970",153.9
"15/8/1970",156.1
"15/11/1970",148.9
"15/2/1971",171.3
"15/5/1971",178.8
"15/8/1971",183.4
"15/11/1971",179.2
"15/2/1972",193.2
"15/5/1972",206.5
"15/8/1972",212.4
"15/11/1972",218.4
"15/2/1973",232.5
"15/5/1973",246
"15/8/1973",241.8
"15/11/1973",257.6
"15/2/1974",244.1
"15/5/1974",252.3
"15/8/1974",245.4
"15/11/1974",255.8
"15/2/1975",218.7
"15/5/1975",216.8
"15/8/1975",237.8
"15/11/1975",247.6
"15/2/1976",274.8
"15/5/1976",291.6
"15/8/1976",296.5
"15/11/1976",304.9
"15/2/1977",326.6
"15/5/1977",354.9
"15/8/1977",378.4
"15/11/1977",385.5
"15/2/1978",396.8
"15/5/1978",430.9
"15/8/1978",451.4
"15/11/1978",472.8
"15/2/1979",481.1
"15/5/1979",493
"15/8/1979",497.9
"15/11/1979",499.5
"15/2/1980",505.2
"15/5/1980",470.4
"15/8/1980",443.5
"15/11/1980",497.9
"15/2/1981",563.1
"15/5/1981",551.4
"15/8/1981",592.8
"15/11/1981",582.2
"15/2/1982",526.4
"15/5/1982",530.8
"15/8/1982",528.7
"15/11/1982",483
"15/2/1983",496.6
"15/5/1983",542.2
"15/8/1983",577.7
"15/11/1983",640.7
"15/2/1984",709.7
"15/5/1984",735.1
"15/8/1984",753.5
"15/11/1984",744.3
"15/2/1985",720
"15/5/1985",735.3
"15/8/1985",727.2
"15/11/1985",762.2
"15/2/1986",763.8
"15/5/1986",753
"15/8/1986",732.5
"15/11/1986",736.7
"15/2/1987",765
"15/5/1987",767.6
"15/8/1987",769.5
"15/11/1987",837.8
"15/2/1988",797.6
"15/5/1988",820.4
"15/8/1988",825.7
"15/11/1988",842.6
"15/2/1989",884.1
"15/5/1989",878.2
"15/8/1989",870.3
"15/11/1989",867.3
"15/2/1990",880
"15/5/1990",882.5
"15/8/1990",866.8
"15/11/1990",814.6
"15/2/1991",787.9
"15/5/1991",784
"15/8/1991",805.2
"15/11/1991",834.4
"15/2/1992",810.2
"15/5/1992",865.4
"15/8/1992",876.8
"15/11/1992",906.6
"15/2/1993",931.3
"15/5/1993",942.3
"15/8/1993",943.4
"15/11/1993",996.5
"15/2/1994",1043.2
"15/5/1994",1106.7
"15/8/1994",1092.9
"15/11/1994",1145.5
"15/2/1995",1160.6
"15/5/1995",1132.6
"15/8/1995",1126.2
"15/11/1995",1156.6
"15/2/1996",1170
"15/5/1996",1227.9
"15/8/1996",1279.9
"15/11/1996",1283.3
"15/2/1997",1315.4
"15/5/1997",1385.2
"15/8/1997",1419.5
"15/11/1997",1439.1
"15/2/1998",1505.5
"15/5/1998",1474.6
"15/8/1998",1507.8
"15/11/1998",1548.6
"15/2/1999",1596.7
"15/5/1999",1589.9
"15/8/1999",1628.3
"15/11/1999",1687.7
"15/2/2000",1672.3
"15/5/2000",1781.7
"15/8/2000",1749
"15/11/2000",1738.9
"15/2/2001",1675.3
"15/5/2001",1647.7
"15/8/2001",1613
"15/11/2001",1521.4
"15/2/2002",1564.1
"15/5/2002",1571.4
"15/8/2002",1592.9
"15/11/2002",1600.1
"15/2/2003",1606.4
"15/5/2003",1617.1
"15/8/2003",1690.5
"15/11/2003",1742.3
"15/2/2004",1769.6
"15/5/2004",1875.6
"15/8/2004",1929.7
"15/11/2004",1979.5
"15/2/2005",2029.6
"15/5/2005",2024.7
"15/8/2005",2078.5
"15/11/2005",2176
"15/2/2006",2221.1
"15/5/2006",2239
"15/8/2006",2224.1
"15/11/2006",2152.4
"15/2/2007",2117.3
