"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US GROSS PRIVATE DOMESTIC INVESTMENT (AR) CONA"
"Code","USGDPRIND"
"CURRENCY","U$"
"15/2/1950",194.2
"15/5/1950",215.5
"15/8/1950",234.8
"15/11/1950",266.2
"15/2/1951",237.9
"15/5/1951",244
"15/8/1951",225.3
"15/11/1951",206.1
"15/2/1952",210.9
"15/5/1952",193.3
"15/8/1952",203.5
"15/11/1952",218.1
"15/2/1953",222.5
"15/5/1953",223.3
"15/8/1953",218
"15/11/1953",201
"15/2/1954",199.1
"15/5/1954",198.5
"15/8/1954",208.7
"15/11/1954",218.2
"15/2/1955",241.6
"15/5/1955",256.8
"15/8/1955",260.4
"15/11/1955",266
"15/2/1956",257.1
"15/5/1956",254.1
"15/8/1956",251.2
"15/11/1956",248.4
"15/2/1957",244.3
"15/5/1957",244.1
"15/8/1957",249.9
"15/11/1957",228.7
"15/2/1958",211.9
"15/5/1958",206.7
"15/8/1958",223.8
"15/11/1958",244.5
"15/2/1959",258
"15/5/1959",279.8
"15/8/1959",260.1
"15/11/1959",268.8
"15/2/1960",298.5
"15/5/1960",268
"15/8/1960",266.4
"15/11/1960",233.6
"15/2/1961",239.4
"15/5/1961",257.3
"15/8/1961",279
"15/11/1961",283.7
"15/2/1962",300.6
"15/5/1962",297.7
"15/8/1962",302.9
"15/11/1962",292.6
"15/2/1963",308.9
"15/5/1963",313.4
"15/8/1963",323.7
"15/11/1963",327.8
"15/2/1964",341.2
"15/5/1964",339.7
"15/8/1964",347.7
"15/11/1964",350.3
"15/2/1965",385.8
"15/5/1965",385.7
"15/8/1965",399.5
"15/11/1965",401.4
"15/2/1966",435.2
"15/5/1966",427.3
"15/8/1966",423.1
"15/11/1966",425.2
"15/2/1967",413.4
"15/5/1967",395.8
"15/8/1967",407.2
"15/11/1967",416
"15/2/1968",425.2
"15/5/1968",442.3
"15/8/1968",427.9
"15/11/1968",432.3
"15/2/1969",460.8
"15/5/1969",457.1
"15/8/1969",467.8
"15/11/1969",442.7
"15/2/1970",428.7
"15/5/1970",430.2
"15/8/1970",437.5
"15/11/1970",411.9
"15/2/1971",465.6
"15/5/1971",479.9
"15/8/1971",486.3
"15/11/1971",471.3
"15/2/1972",504.4
"15/5/1972",535.4
"15/8/1972",542.9
"15/11/1972",545.5
"15/2/1973",580.4
"15/5/1973",607.4
"15/8/1973",583.6
"15/11/1973",606.2
"15/2/1974",566.9
"15/5/1974",564.7
"15/8/1974",533
"15/11/1974",537.9
"15/2/1975",443.8
"15/5/1975",427.7
"15/8/1975",463.9
"15/11/1975",477.2
"15/2/1976",526.4
"15/5/1976",549.3
"15/8/1976",550
"15/11/1976",553.1
"15/2/1977",580.9
"15/5/1977",625.5
"15/8/1977",659.8
"15/11/1977",641.9
"15/2/1978",654
"15/5/1978",699.3
"15/8/1978",720.6
"15/11/1978",736.6
"15/2/1979",737.1
"15/5/1979",735.1
"15/8/1979",720.6
"15/11/1979",707.2
"15/2/1980",701.6
"15/5/1980",638.7
"15/8/1980",590.3
"15/11/1980",650.6
"15/2/1981",716
"15/5/1981",682.2
"15/8/1981",724.7
"15/11/1981",696.4
"15/2/1982",623.7
"15/5/1982",622.9
"15/8/1982",615.8
"15/11/1982",561.5
"15/2/1983",581.3
"15/5/1983",637.7
"15/8/1983",680.1
"15/11/1983",750.7
"15/2/1984",830.1
"15/5/1984",858
"15/8/1984",878.3
"15/11/1984",864.3
"15/2/1985",835.2
"15/5/1985",849.8
"15/8/1985",840.5
"15/11/1985",873.5
"15/2/1986",871.6
"15/5/1986",852.2
"15/8/1986",825.4
"15/11/1986",826.6
"15/2/1987",852
"15/5/1987",853.2
"15/8/1987",854.1
"15/11/1987",920.6
"15/2/1988",868.8
"15/5/1988",889.9
"15/8/1988",895.6
"15/11/1988",907.5
"15/2/1989",942.3
"15/5/1989",931.3
"15/8/1989",920.4
"15/11/1989",910.8
"15/2/1990",920
"15/5/1990",920.1
"15/8/1990",898.4
"15/11/1990",841.8
"15/2/1991",807.3
"15/5/1991",803.5
"15/8/1991",823.5
"15/11/1991",854.7
"15/2/1992",835.8
"15/5/1992",890.7
"15/8/1992",900.2
"15/11/1992",929.1
"15/2/1993",950.3
"15/5/1993",957.8
"15/8/1993",957.8
"15/11/1993",1007.3
"15/2/1994",1050.6
"15/5/1994",1112
"15/8/1994",1092.4
"15/11/1994",1143.2
"15/2/1995",1154.6
"15/5/1995",1123.8
"15/8/1995",1113.1
"15/11/1995",1144.4
"15/2/1996",1160.2
"15/5/1996",1220
"15/8/1996",1280.8
"15/11/1996",1276.1
"15/2/1997",1302.9
"15/5/1997",1389.6
"15/8/1997",1417.5
"15/11/1997",1440.7
"15/2/1998",1515.8
"15/5/1998",1491.7
"15/8/1998",1525.8
"15/11/1998",1563
"15/2/1999",1606.6
"15/5/1999",1607.8
"15/8/1999",1647.4
"15/11/1999",1708.4
"15/2/2000",1678
"15/5/2000",1788.6
"15/8/2000",1742.6
"15/11/2000",1732.7
"15/2/2001",1670.3
"15/5/2001",1637.4
"15/8/2001",1592.6
"15/11/2001",1493.4
"15/2/2002",1541.7
"15/5/2002",1549
"15/8/2002",1570.9
"15/11/2002",1567
"15/2/2003",1561.8
"15/5/2003",1574.4
"15/8/2003",1639.7
"15/11/2003",1676.5
"15/2/2004",1685.3
"15/5/2004",1766.3
"15/8/2004",1800.5
"15/11/2004",1828.8
"15/2/2005",1852.6
"15/5/2005",1834.3
"15/8/2005",1865.3
"15/11/2005",1924.9
"15/2/2006",1945.4
"15/5/2006",1948.5
"15/8/2006",1928.2
"15/11/2006",1856.2
"15/2/2007",1816.9
