"Start","15/2/1978"
"End","15/2/2007"
"Frequency","D"
"Name","US CHAIN-TYPE PRICE INDEX-GDP EXCL FINAL SALES OF COMPUTERS SADJ"
"Code","USGDPXCCE"
"CURRENCY","U$"
"15/2/1978",42.35
"15/5/1978",43.2
"15/8/1978",43.96
"15/11/1978",44.88
"15/2/1979",45.7
"15/5/1979",46.82
"15/8/1979",47.81
"15/11/1979",48.78
"15/2/1980",49.87
"15/5/1980",51.01
"15/8/1980",52.2
"15/11/1980",53.7
"15/2/1981",55.12
"15/5/1981",56.1
"15/8/1981",57.15
"15/11/1981",58.18
"15/2/1982",59.02
"15/5/1982",59.77
"15/8/1982",60.62
"15/11/1982",61.28
"15/2/1983",61.86
"15/5/1983",62.35
"15/8/1983",63.03
"15/11/1983",63.53
"15/2/1984",64.36
"15/5/1984",64.98
"15/8/1984",65.55
"15/11/1984",65.97
"15/2/1985",66.77
"15/5/1985",67.16
"15/8/1985",67.51
"15/11/1985",67.96
"15/2/1986",68.37
"15/5/1986",68.72
"15/8/1986",69.16
"15/11/1986",69.66
"15/2/1987",70.26
"15/5/1987",70.68
"15/8/1987",71.25
"15/11/1987",71.73
"15/2/1988",72.35
"15/5/1988",73.09
"15/8/1988",73.97
"15/11/1988",74.57
"15/2/1989",75.36
"15/5/1989",76.13
"15/8/1989",76.71
"15/11/1989",77.25
"15/2/1990",78.24
"15/5/1990",79.17
"15/8/1990",79.89
"15/11/1990",80.53
"15/2/1991",81.5
"15/5/1991",82.05
"15/8/1991",82.67
"15/11/1991",83.11
"15/2/1992",83.69
"15/5/1992",84.18
"15/8/1992",84.6
"15/11/1992",85.08
"15/2/1993",85.79
"15/5/1993",86.3
"15/8/1993",86.72
"15/11/1993",87.18
"15/2/1994",87.76
"15/5/1994",88.15
"15/8/1994",88.71
"15/11/1994",89.19
"15/2/1995",89.83
"15/5/1995",90.21
"15/8/1995",90.67
"15/11/1995",91.2
"15/2/1996",91.85
"15/5/1996",92.26
"15/8/1996",92.79
"15/11/1996",93.27
"15/2/1997",93.87
"15/5/1997",94.28
"15/8/1997",94.62
"15/11/1997",95.01
"15/2/1998",95.34
"15/5/1998",95.62
"15/8/1998",96.1
"15/11/1998",96.47
"15/2/1999",96.94
"15/5/1999",97.43
"15/8/1999",97.82
"15/11/1999",98.33
"15/2/2000",99.22
"15/5/2000",99.76
"15/8/2000",100.27
"15/11/2000",100.75
"15/2/2001",101.71
"15/5/2001",102.55
"15/8/2001",103.01
"15/11/2001",103.5
"15/2/2002",103.99
"15/5/2002",104.42
"15/8/2002",104.87
"15/11/2002",105.51
"15/2/2003",106.37
"15/5/2003",106.73
"15/8/2003",107.31
"15/11/2003",107.92
"15/2/2004",108.92
"15/5/2004",109.95
"15/8/2004",110.6
"15/11/2004",111.52
"15/2/2005",112.65
"15/5/2005",113.41
"15/8/2005",114.43
"15/11/2005",115.47
"15/2/2006",116.48
"15/5/2006",117.53
"15/8/2006",118.25
"15/11/2006",118.79
"15/2/2007",120.05
