"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US PRIVATE DOMESTIC FIXED INVESTMENT (AR) CONA"
"Code","USGFCF..D"
"CURRENCY","U$"
"15/2/1950",197.3
"15/5/1950",215.6
"15/8/1950",231.7
"15/11/1950",226.9
"15/2/1951",218.4
"15/5/1951",208.4
"15/8/1951",205
"15/11/1951",202.9
"15/2/1952",205.3
"15/5/1952",208.1
"15/8/1952",195.4
"15/11/1952",210.2
"15/2/1953",218.7
"15/5/1953",219.9
"15/8/1953",220
"15/11/1953",217.7
"15/2/1954",214.2
"15/5/1954",217.7
"15/8/1954",226.4
"15/11/1954",231.5
"15/2/1955",240.9
"15/5/1955",251.2
"15/8/1955",256.8
"15/11/1955",257
"15/2/1956",251.5
"15/5/1956",253.5
"15/8/1956",253.2
"15/11/1956",251.4
"15/2/1957",251.4
"15/5/1957",249
"15/8/1957",251.5
"15/11/1957",246.9
"15/2/1958",231.6
"15/5/1958",225.1
"15/8/1958",228.3
"15/11/1958",242.3
"15/2/1959",257.2
"15/5/1959",265.6
"15/8/1959",268.8
"15/11/1959",265.2
"15/2/1960",274.5
"15/5/1960",268.9
"15/8/1960",261.7
"15/11/1960",260.7
"15/2/1961",257.4
"15/5/1961",261.2
"15/8/1961",267.4
"15/11/1961",276.4
"15/2/1962",282.4
"15/5/1962",290.9
"15/8/1962",293.3
"15/11/1962",291.8
"15/2/1963",295.2
"15/5/1963",308.9
"15/8/1963",316.9
"15/11/1963",327
"15/2/1964",339.5
"15/5/1964",338.6
"15/8/1964",344
"15/11/1964",346.5
"15/2/1965",362.3
"15/5/1965",372.4
"15/8/1965",382.5
"15/11/1965",391.1
"15/2/1966",405.7
"15/5/1966",400.5
"15/8/1966",400.3
"15/11/1966",388.2
"15/2/1967",379
"15/5/1967",388.8
"15/8/1967",392.6
"15/11/1967",404.8
"15/2/1968",414.7
"15/5/1968",412.5
"15/8/1968",418.6
"15/11/1968",428.8
"15/2/1969",442.3
"15/5/1969",444.3
"15/8/1969",451.8
"15/11/1969",440.4
"15/2/1970",438.8
"15/5/1970",429.1
"15/8/1970",436.7
"15/11/1970",437
"15/2/1971",446.8
"15/5/1971",465.2
"15/8/1971",474.1
"15/11/1971",487.2
"15/2/1972",508.9
"15/5/1972",518
"15/8/1972",523.6
"15/11/1972",547.9
"15/2/1973",571.2
"15/5/1973",576.1
"15/8/1973",574.4
"15/11/1973",568.6
"15/2/1974",555.2
"15/5/1974",547.2
"15/8/1974",537.6
"15/11/1974",507.2
"15/2/1975",476.1
"15/5/1975",469.4
"15/8/1975",481.2
"15/11/1975",490.1
"15/2/1976",510.5
"15/5/1976",519.2
"15/8/1976",524.6
"15/11/1976",551.5
"15/2/1977",571.5
"15/5/1977",603.3
"15/8/1977",611.2
"15/11/1977",622.5
"15/2/1978",627.6
"15/5/1978",673.2
"15/8/1978",692.4
"15/11/1978",707
"15/2/1979",712.6
"15/5/1979",707
"15/8/1979",719.8
"15/11/1979",713.1
"15/2/1980",703
"15/5/1980",641.8
"15/8/1980",648.1
"15/11/1980",673.8
"15/2/1981",678.7
"15/5/1981",683.2
"15/8/1981",683.3
"15/11/1981",680.8
"15/2/1982",660
"15/5/1982",637
"15/8/1982",619.3
"15/11/1982",618.2
"15/2/1983",631.8
"15/5/1983",656.2
"15/8/1983",695.3
"15/11/1983",736
"15/2/1984",759.1
"15/5/1984",790.4
"15/8/1984",807.3
"15/11/1984",821.9
"15/2/1985",828.1
"15/5/1985",838.6
"15/8/1985",831.8
"15/11/1985",847.6
"15/2/1986",848.8
"15/5/1986",846.8
"15/8/1986",842
"15/11/1986",847.5
"15/2/1987",830.8
"15/5/1987",845.7
"15/8/1987",863.7
"15/11/1987",863.6
"15/2/1988",862.4
"15/5/1988",879.3
"15/8/1988",882.7
"15/11/1988",891.5
"15/2/1989",900.4
"15/5/1989",901.6
"15/8/1989",917.4
"15/11/1989",902.3
"15/2/1990",913.5
"15/5/1990",892.4
"15/8/1990",882.7
"15/11/1990",857.6
"15/2/1991",828.2
"15/5/1991",827
"15/8/1991",829.7
"15/11/1991",831.3
"15/2/1992",839.9
"15/5/1992",873
"15/8/1992",886.3
"15/11/1992",914
"15/2/1993",919.1
"15/5/1993",939.7
"15/8/1993",956.3
"15/11/1993",998.7
"15/2/1994",1011.6
"15/5/1994",1036
"15/8/1994",1046.4
"15/11/1994",1075.1
"15/2/1995",1099.6
"15/5/1995",1095.5
"15/8/1995",1110.1
"15/11/1995",1133.3
"15/2/1996",1161.8
"15/5/1996",1199.7
"15/8/1996",1227.4
"15/11/1996",1247.8
"15/2/1997",1272
"15/5/1997",1299.4
"15/8/1997",1349.6
"15/11/1997",1361.4
"15/2/1998",1402.4
"15/5/1998",1444.5
"15/8/1998",1465.1
"15/11/1998",1507.7
"15/2/1999",1531
"15/5/1999",1568.6
"15/8/1999",1598.6
"15/11/1999",1606.9
"15/2/2000",1651.1
"15/5/2000",1689.1
"15/8/2000",1686.4
"15/11/2000",1689.4
"15/2/2001",1678.2
"15/5/2001",1640.5
"15/8/2001",1621.9
"15/11/2001",1577
"15/2/2002",1551.5
"15/5/2002",1545.9
"15/8/2002",1543.2
"15/11/2002",1537.8
"15/2/2003",1536.3
"15/5/2003",1575.6
"15/8/2003",1626.7
"15/11/2003",1648.9
"15/2/2004",1647.9
"15/5/2004",1698.7
"15/8/2004",1736.7
"15/11/2004",1767.7
"15/2/2005",1785.3
"15/5/2005",1819.8
"15/8/2005",1854.9
"15/11/2005",1865.6
"15/2/2006",1901.4
"15/5/2006",1892.3
"15/8/2006",1869.6
"15/11/2006",1835.5
"15/2/2007",1815.2
