"Start","15/2/1950"
"End","15/2/2005"
"Frequency","D"
"Name","US GROSS PRIVATE DOMESTIC INVESTMENT - FIXED INVESTMENT CURN"
"Code","USGPDFXIA"
"CURRENCY","U$"
"15/2/1950",9.4
"15/5/1950",11.7
"15/8/1950",13.6
"15/11/1950",13.6
"15/2/1951",11.5
"15/5/1951",12.7
"15/8/1951",12.9
"15/11/1951",13.1
"15/2/1952",11.4
"15/5/1952",13.1
"15/8/1952",12.5
"15/11/1952",13.5
"15/2/1953",12.1
"15/5/1953",14.1
"15/8/1953",14.2
"15/11/1953",14.1
"15/2/1954",12
"15/5/1954",14.2
"15/8/1954",14.6
"15/11/1954",14.9
"15/2/1955",13.4
"15/5/1955",16.3
"15/8/1955",17.1
"15/11/1955",17.2
"15/2/1956",14.9
"15/5/1956",17.4
"15/8/1956",17.7
"15/11/1956",18.1
"15/2/1957",15.5
"15/5/1957",17.8
"15/8/1957",18.2
"15/11/1957",18.2
"15/2/1958",14.3
"15/5/1958",16.2
"15/8/1958",16.7
"15/11/1958",17.7
"15/2/1959",16.5
"15/5/1959",19.1
"15/8/1959",19.9
"15/11/1959",19.2
"15/2/1960",17.2
"15/5/1960",19.6
"15/8/1960",20
"15/11/1960",18.9
"15/2/1961",16.6
"15/5/1961",19.2
"15/8/1961",19.9
"15/11/1961",19.5
"15/2/1962",18.5
"15/5/1962",20.9
"15/8/1962",21.6
"15/11/1962",21
"15/2/1963",19.5
"15/5/1963",22.3
"15/8/1963",23.4
"15/11/1963",22.9
"15/2/1964",21.8
"15/5/1964",24.5
"15/8/1964",25.8
"15/11/1964",25.2
"15/2/1965",24.3
"15/5/1965",27.5
"15/8/1965",28.8
"15/11/1965",28.3
"15/2/1966",26.5
"15/5/1966",30.1
"15/8/1966",30.8
"15/11/1966",30.3
"15/2/1967",26.3
"15/5/1967",29.8
"15/8/1967",30.9
"15/11/1967",31.8
"15/2/1968",28
"15/5/1968",33.3
"15/8/1968",34.6
"15/11/1968",36.2
"15/2/1969",32
"15/5/1969",38.3
"15/8/1969",38.5
"15/11/1969",38.4
"15/2/1970",33.7
"15/5/1970",38.5
"15/8/1970",38.7
"15/11/1970",39.5
"15/2/1971",35.7
"15/5/1971",43.3
"15/8/1971",44.7
"15/11/1971",46.2
"15/2/1972",43.8
"15/5/1972",50.7
"15/8/1972",51
"15/11/1972",53
"15/2/1973",50.4
"15/5/1973",59
"15/8/1973",59.9
"15/11/1973",59.3
"15/2/1974",53.7
"15/5/1974",61.1
"15/8/1974",61.3
"15/11/1974",59.3
"15/2/1975",53
"15/5/1975",60.1
"15/8/1975",61.2
"15/11/1975",62.2
"15/2/1976",60.3
"15/5/1976",70
"15/8/1976",70.9
"15/11/1976",73.7
"15/2/1977",71.7
"15/5/1977",87.1
"15/8/1977",89
"15/11/1977",91.2
"15/2/1978",83.7
"15/5/1978",105.4
"15/8/1978",110.1
"15/11/1978",112.9
"15/2/1979",105.6
"15/5/1979",120.4
"15/8/1979",123.9
"15/11/1979",125
"15/2/1980",116
"15/5/1980",119.7
"15/8/1980",121.4
"15/11/1980",128.5
"15/2/1981",122.5
"15/5/1981",138
"15/8/1981",139.8
"15/11/1981",142.3
"15/2/1982",127
"15/5/1982",136.3
"15/8/1982",134.2
"15/11/1982",134.6
"15/2/1983",122.7
"15/5/1983",141.4
"15/8/1983",149.5
"15/11/1983",156.4
"15/2/1984",146
"15/5/1984",170.5
"15/8/1984",175.2
"15/11/1984",178.5
"15/2/1985",160.8
"15/5/1985",182.7
"15/8/1985",183.8
"15/11/1985",187.1
"15/2/1986",168.7
"15/5/1986",190.5
"15/8/1986",191.8
"15/11/1986",189
"15/2/1987",167.4
"15/5/1987",193.1
"15/8/1987",199.6
"15/11/1987",197.7
"15/2/1988",176.7
"15/5/1988",206.5
"15/8/1988",210.3
"15/11/1988",209.6
"15/2/1989",191.6
"15/5/1989",217.4
"15/8/1989",222.8
"15/11/1989",215.5
"15/2/1990",198
"15/5/1990",218.5
"15/8/1990",219.5
"15/11/1990",210.5
"15/2/1991",184.2
"15/5/1991",207.2
"15/8/1991",207.7
"15/11/1991",204.2
"15/2/1992",186.3
"15/5/1992",218.5
"15/8/1992",220.2
"15/11/1992",223.5
"15/2/1993",206.2
"15/5/1993",236.8
"15/8/1993",241.9
"15/11/1993",247.7
"15/2/1994",229.3
"15/5/1994",264.5
"15/8/1994",268.6
"15/11/1994",270.8
"15/2/1995",253
"15/5/1995",285.3
"15/8/1995",287.1
"15/11/1995",287.5
"15/2/1996",266.6
"15/5/1996",308.8
"15/8/1996",317.7
"15/11/1996",316.4
"15/2/1997",291.3
"15/5/1997",335.2
"15/8/1997",349.4
"15/11/1997",341.9
"15/2/1998",321.9
"15/5/1998",371
"15/8/1998",374.4
"15/11/1998",371
"15/2/1999",350.8
"15/5/1999",399.4
"15/8/1999",408.3
"15/11/1999",400.3
"15/2/2000",382.1
"15/5/2000",434.4
"15/8/2000",435.8
"15/11/2000",426.6
"15/2/2001",391.8
"15/5/2001",427.4
"15/8/2001",424
"15/11/2001",402.8
"15/2/2002",368.9
"15/5/2002",403.2
"15/8/2002",402.3
"15/11/2002",395.8
"15/2/2003",373.2
"15/5/2003",414.5
"15/8/2003",431.6
"15/11/2003",430.5
"15/2/2004",410.7
"15/5/2004",462.3
"15/8/2004",479.7
"15/11/2004",478
"15/2/2005",454.5
