"Start","15/2/1950"
"End","15/2/2005"
"Frequency","D"
"Name","US GROSS PRIVATE DOM.INVESTMENT-RESIDENTIAL FIXED INVESTMEN CURN"
"Code","USGPDRESA"
"CURRENCY","U$"
"15/2/1950",3.7
"15/5/1950",5.1
"15/8/1950",6.3
"15/11/1950",5.5
"15/2/1951",4.3
"15/5/1951",4.6
"15/8/1951",4.9
"15/11/1951",4.6
"15/2/1952",3.8
"15/5/1952",4.7
"15/8/1952",5.1
"15/11/1952",4.9
"15/2/1953",4.1
"15/5/1953",5
"15/8/1953",5.3
"15/11/1953",4.9
"15/2/1954",4
"15/5/1954",5.2
"15/8/1954",6
"15/11/1954",5.9
"15/2/1955",5.1
"15/5/1955",6.6
"15/8/1955",7.1
"15/11/1955",6.3
"15/2/1956",4.9
"15/5/1956",6.1
"15/8/1956",6.5
"15/11/1956",6
"15/2/1957",4.7
"15/5/1957",5.6
"15/8/1957",6.1
"15/11/1957",5.7
"15/2/1958",4.3
"15/5/1958",5.3
"15/8/1958",6.3
"15/11/1958",6.5
"15/2/1959",5.6
"15/5/1959",7.1
"15/8/1959",8
"15/11/1959",7.4
"15/2/1960",5.2
"15/5/1960",6.6
"15/8/1960",7.6
"15/11/1960",6.9
"15/2/1961",5.2
"15/5/1961",6.7
"15/8/1961",7.6
"15/11/1961",6.9
"15/2/1962",5.8
"15/5/1962",7.3
"15/8/1962",8.3
"15/11/1962",7.6
"15/2/1963",6.4
"15/5/1963",8.1
"15/8/1963",9.2
"15/11/1963",8.4
"15/2/1964",7.1
"15/5/1964",8.4
"15/8/1964",9.8
"15/11/1964",9
"15/2/1965",6.9
"15/5/1965",8.6
"15/8/1965",9.8
"15/11/1965",8.8
"15/2/1966",6.5
"15/5/1966",8.3
"15/8/1966",9.2
"15/11/1966",8.3
"15/2/1967",5.7
"15/5/1967",7.9
"15/8/1967",9.2
"15/11/1967",9.5
"15/2/1968",7
"15/5/1968",9.9
"15/8/1968",11.4
"15/11/1968",10.5
"15/2/1969",8.4
"15/5/1969",12
"15/8/1969",12.2
"15/11/1969",10.1
"15/2/1970",8.3
"15/5/1970",10.5
"15/8/1970",11.4
"15/11/1970",11.2
"15/2/1971",10
"15/5/1971",14.2
"15/8/1971",16.3
"15/11/1971",15.2
"15/2/1972",13.8
"15/5/1972",17.8
"15/8/1972",19.5
"15/11/1972",18.5
"15/2/1973",16.2
"15/5/1973",19.7
"15/8/1973",21.2
"15/11/1973",18.2
"15/2/1974",14.2
"15/5/1974",17.6
"15/8/1974",19.2
"15/11/1974",14.9
"15/2/1975",11.6
"15/5/1975",15.9
"15/8/1975",18.5
"15/11/1975",16.8
"15/2/1976",15.3
"15/5/1976",21.4
"15/8/1976",23.1
"15/11/1976",22.7
"15/2/1977",19.5
"15/5/1977",29.2
"15/8/1977",32.7
"15/11/1977",28.9
"15/2/1978",23.3
"15/5/1978",34
"15/8/1978",39
"15/11/1978",35.3
"15/2/1979",28.4
"15/5/1979",36.7
"15/8/1979",40.3
"15/11/1979",35.5
"15/2/1980",27.7
"15/5/1980",29.4
"15/8/1980",32.8
"15/11/1980",33.2
"15/2/1981",27.2
"15/5/1981",33.9
"15/8/1981",33.6
"15/11/1981",27.8
"15/2/1982",20.1
"15/5/1982",26.3
"15/8/1982",30.2
"15/11/1982",29
"15/2/1983",26.4
"15/5/1983",38.7
"15/8/1983",45.7
"15/11/1983",42
"15/2/1984",35.9
"15/5/1984",47.4
"15/8/1984",51.6
"15/11/1984",45.8
"15/2/1985",37.1
"15/5/1985",48.5
"15/8/1985",53.7
"15/11/1985",49
"15/2/1986",41.8
"15/5/1986",57.4
"15/8/1986",64
"15/11/1986",56.8
"15/2/1987",46.9
"15/5/1987",61.1
"15/8/1987",66.3
"15/11/1987",59.4
"15/2/1988",45.7
"15/5/1988",62.6
"15/8/1988",68.8
"15/11/1988",62.2
"15/2/1989",50.3
"15/5/1989",63.1
"15/8/1989",67.5
"15/11/1989",58.7
"15/2/1990",48.7
"15/5/1990",60.6
"15/8/1990",62.6
"15/11/1990",52.2
"15/2/1991",39.8
"15/5/1991",52.8
"15/8/1991",59.4
"15/11/1991",53.1
"15/2/1992",45.1
"15/5/1992",61.9
"15/8/1992",67.4
"15/11/1992",62
"15/2/1993",51.6
"15/5/1993",67.3
"15/8/1993",76.3
"15/11/1993",70.8
"15/2/1994",59.8
"15/5/1994",79.3
"15/8/1994",86.3
"15/11/1994",76.5
"15/2/1995",62.4
"15/5/1995",78.1
"15/8/1995",85.7
"15/11/1995",76.6
"15/2/1996",64.5
"15/5/1996",88
"15/8/1996",97
"15/11/1996",84.7
"15/2/1997",69.5
"15/5/1997",90.3
"15/8/1997",99.2
"15/11/1997",90.1
"15/2/1998",76.9
"15/5/1998",101.3
"15/8/1998",109.7
"15/11/1998",97.9
"15/2/1999",85.2
"15/5/1999",110
"15/8/1999",120.3
"15/11/1999",109.3
"15/2/2000",94.3
"15/5/2000",119
"15/8/2000",123.2
"15/11/2000",110.4
"15/2/2001",94.9
"15/5/2001",123.5
"15/8/2001",132.9
"15/11/2001",118
"15/2/2002",108.8
"15/5/2002",129.9
"15/8/2002",136.2
"15/11/2002",129.1
"15/2/2003",120.6
"15/5/2003",143.1
"15/8/2003",157.3
"15/11/2003",151.4
"15/2/2004",141.3
"15/5/2004",174.3
"15/8/2004",186.2
"15/11/2004",173.5
"15/2/2005",159.4
