"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US RESIDENTIAL PRIVATE DOMESTIC INVESTMENT (AR) CONA"
"Code","USGPDRESD"
"CURRENCY","U$"
"15/2/1950",132.6
"15/5/1950",145.4
"15/8/1950",153.4
"15/11/1950",146.2
"15/2/1951",138.4
"15/5/1951",119.8
"15/8/1951",112.1
"15/11/1951",113.2
"15/2/1952",116.1
"15/5/1952",118.3
"15/8/1952",117.1
"15/11/1952",123.4
"15/2/1953",125.3
"15/5/1953",125.6
"15/8/1953",120.9
"15/11/1953",119.9
"15/2/1954",121.1
"15/5/1954",129
"15/8/1954",136.8
"15/11/1954",145.5
"15/2/1955",156.3
"15/5/1955",158.6
"15/8/1955",155.2
"15/11/1955",148.6
"15/2/1956",144.7
"15/5/1956",143.8
"15/8/1956",141
"15/11/1956",138.8
"15/2/1957",136.8
"15/5/1957",133.5
"15/8/1957",131.7
"15/11/1957",131.5
"15/2/1958",126.3
"15/5/1958",126.6
"15/8/1958",135.9
"15/11/1958",150.3
"15/2/1959",167.4
"15/5/1959",173.4
"15/8/1959",170.1
"15/11/1959",165.1
"15/2/1960",169.9
"15/5/1960",155.9
"15/8/1960",151.2
"15/11/1960",151
"15/2/1961",151.6
"15/5/1961",152.1
"15/8/1961",160.3
"15/11/1961",165.7
"15/2/1962",168.7
"15/5/1962",174
"15/8/1962",173.8
"15/11/1962",173.6
"15/2/1963",179.9
"15/5/1963",192.8
"15/8/1963",196.4
"15/11/1963",202.4
"15/2/1964",214.8
"15/5/1964",203.9
"15/8/1964",200.6
"15/11/1964",197
"15/2/1965",197.6
"15/5/1965",199.2
"15/8/1965",200
"15/11/1965",195.6
"15/2/1966",200.1
"15/5/1966",184
"15/8/1966",178
"15/11/1966",159.4
"15/2/1967",154.6
"15/5/1967",172.1
"15/8/1967",180.8
"15/11/1967",191.3
"15/2/1968",192.5
"15/5/1968",197.3
"15/8/1968",200.9
"15/11/1968",203.4
"15/2/1969",210.7
"15/5/1969",208.4
"15/8/1969",206.7
"15/11/1969",191.6
"15/2/1970",192
"15/5/1970",179.2
"15/8/1970",188.8
"15/11/1970",208.7
"15/2/1971",219.8
"15/5/1971",242
"15/8/1971",253.9
"15/11/1971",263.7
"15/2/1972",281.3
"15/5/1972",286.8
"15/8/1972",287.5
"15/11/1972",297.8
"15/2/1973",307.8
"15/5/1973",292.1
"15/8/1973",279.8
"15/11/1973",266.4
"15/2/1974",246.9
"15/5/1974",236.1
"15/8/1974",228.3
"15/11/1974",198.3
"15/2/1975",186
"15/5/1975",190
"15/8/1975",203.2
"15/11/1975",212.1
"15/2/1976",233.8
"15/5/1976",240.6
"15/8/1976",236.6
"15/11/1976",266.8
"15/2/1977",274.8
"15/5/1977",306.3
"15/8/1977",305.3
"15/11/1977",301.3
"15/2/1978",302.8
"15/5/1978",317.3
"15/8/1978",321.7
"15/11/1978",320.6
"15/2/1979",313.1
"15/5/1979",307.3
"15/8/1979",303.6
"15/11/1979",292.1
"15/2/1980",269.8
"15/5/1980",219.9
"15/8/1980",223.6
"15/11/1980",245.5
"15/2/1981",241.1
"15/5/1981",232.9
"15/8/1981",215
"15/11/1981",192.9
"15/2/1982",181.8
"15/5/1982",176.1
"15/8/1982",175.5
"15/11/1982",188.4
"15/2/1983",220.5
"15/5/1983",246.6
"15/8/1983",271
"15/11/1983",282.5
"15/2/1984",290.3
"15/5/1984",295.7
"15/8/1984",292.9
"15/11/1984",293.2
"15/2/1985",292.3
"15/5/1985",294.6
"15/8/1985",298.3
"15/11/1985",305.4
"15/2/1986",318.5
"15/5/1986",336.2
"15/8/1986",341.3
"15/11/1986",340.7
"15/2/1987",339.8
"15/5/1987",341.3
"15/8/1987",340.3
"15/11/1987",342
"15/2/1988",334.6
"15/5/1988",337.2
"15/8/1988",337.4
"15/11/1988",340.4
"15/2/1989",338.2
"15/5/1989",328.1
"15/8/1989",324.6
"15/11/1989",317.7
"15/2/1990",321
"15/5/1990",308.6
"15/8/1990",291.1
"15/11/1990",275
"15/2/1991",258.6
"15/5/1991",264.7
"15/8/1991",275.7
"15/11/1991",281.7
"15/2/1992",296.1
"15/5/1992",307.4
"15/8/1992",308.2
"15/11/1992",318.6
"15/2/1993",320.1
"15/5/1993",323.8
"15/8/1993",335
"15/11/1993",351.9
"15/2/1994",358.8
"15/5/1994",370.9
"15/8/1994",367
"15/11/1994",362.3
"15/2/1995",354.2
"15/5/1995",342.9
"15/8/1995",353.6
"15/11/1995",361.6
"15/2/1996",371.1
"15/5/1996",386.8
"15/8/1996",385.7
"15/11/1996",381.8
"15/2/1997",383.1
"15/5/1997",387.9
"15/8/1997",389.7
"15/11/1997",393.6
"15/2/1998",401.8
"15/5/1998",412.9
"15/8/1998",424.1
"15/11/1998",434.3
"15/2/1999",438.1
"15/5/1999",441.8
"15/8/1999",444.5
"15/11/1999",449.9
"15/2/2000",454.5
"15/5/2000",450.4
"15/8/2000",441.2
"15/11/2000",441.6
"15/2/2001",444
"15/5/2001",450.1
"15/8/2001",452.1
"15/11/2001",447.8
"15/2/2002",459
"15/5/2002",469.5
"15/8/2002",471.8
"15/11/2002",479.3
"15/2/2003",484.1
"15/5/2003",496.3
"15/8/2003",521.8
"15/11/2003",535.2
"15/2/2004",540.5
"15/5/2004",561.7
"15/8/2004",567.5
"15/11/2004",570.9
"15/2/2005",578.3
"15/5/2005",596.4
"15/8/2005",606.4
"15/11/2005",607.2
"15/2/2006",606.1
"15/5/2006",587.5
"15/8/2006",555
"15/11/2006",529.4
"15/2/2007",506.3
