"Start","15/2/1987"
"End","15/2/2007"
"Frequency","D"
"Name","US HOURS WORKED OF ALL PERSONS-MANUFACTURING DURABLE SECTOR SADJ"
"Code","USHRSDURE"
"CURRENCY",
"15/2/1987",105.9
"15/5/1987",105.49
"15/8/1987",106.11
"15/11/1987",108.56
"15/2/1988",109.23
"15/5/1988",110.52
"15/8/1988",111.01
"15/11/1988",111.88
"15/2/1989",112.04
"15/5/1989",111.48
"15/8/1989",110.85
"15/11/1989",109.52
"15/2/1990",108.7
"15/5/1990",108.68
"15/8/1990",107.24
"15/11/1990",105.07
"15/2/1991",102.13
"15/5/1991",101.42
"15/8/1991",101.38
"15/11/1991",100.86
"15/2/1992",100.21
"15/5/1992",100.12
"15/8/1992",99.4
"15/11/1992",100.25
"15/2/1993",100.72
"15/5/1993",101.14
"15/8/1993",101.72
"15/11/1993",102.13
"15/2/1994",102.82
"15/5/1994",103.92
"15/8/1994",105.33
"15/11/1994",106.96
"15/2/1995",107.08
"15/5/1995",106.13
"15/8/1995",106.12
"15/11/1995",106.12
"15/2/1996",105.47
"15/5/1996",107.48
"15/8/1996",107.89
"15/11/1996",108.45
"15/2/1997",109.81
"15/5/1997",109.86
"15/8/1997",110.61
"15/11/1997",111.33
"15/2/1998",111.73
"15/5/1998",110.97
"15/8/1998",110.09
"15/11/1998",111.2
"15/2/1999",110.07
"15/5/1999",110.04
"15/8/1999",111.55
"15/11/1999",110.62
"15/2/2000",110.44
"15/5/2000",110.93
"15/8/2000",110.28
"15/11/2000",108.82
"15/2/2001",106.72
"15/5/2001",104
"15/8/2001",100.87
"15/11/2001",96.75
"15/2/2002",94.94
"15/5/2002",94.49
"15/8/2002",93.53
"15/11/2002",91.74
"15/2/2003",90.37
"15/5/2003",88.71
"15/8/2003",87.25
"15/11/2003",88.54
"15/2/2004",89.65
"15/5/2004",89.45
"15/8/2004",89.74
"15/11/2004",89.09
"15/2/2005",89.39
"15/5/2005",88.76
"15/8/2005",88.81
"15/11/2005",89.93
"15/2/2006",90.27
"15/5/2006",91.05
"15/8/2006",90.26
"15/11/2006",89.33
"15/2/2007",88.88
