"Start","15/2/1987"
"End","15/2/2007"
"Frequency","D"
"Name","US HOURS WORKED OF ALL PERSONS - MANUFACTURING SECTOR SADJ"
"Code","USHRSMANE"
"CURRENCY",
"15/2/1987",103.12
"15/5/1987",102.94
"15/8/1987",103.66
"15/11/1987",105.5
"15/2/1988",106.09
"15/5/1988",106.78
"15/8/1988",107.15
"15/11/1988",107.77
"15/2/1989",108.06
"15/5/1989",108.04
"15/8/1989",107.69
"15/11/1989",106.67
"15/2/1990",105.91
"15/5/1990",105.96
"15/8/1990",104.75
"15/11/1990",103.08
"15/2/1991",100.86
"15/5/1991",100.22
"15/8/1991",100.43
"15/11/1991",100.52
"15/2/1992",99.92
"15/5/1992",100.31
"15/8/1992",99.42
"15/11/1992",100.35
"15/2/1993",100.73
"15/5/1993",101.26
"15/8/1993",101.52
"15/11/1993",101.84
"15/2/1994",102.17
"15/5/1994",103.13
"15/8/1994",104.23
"15/11/1994",105.41
"15/2/1995",105.37
"15/5/1995",104.32
"15/8/1995",104.07
"15/11/1995",103.9
"15/2/1996",102.77
"15/5/1996",104.29
"15/8/1996",104.71
"15/11/1996",105.08
"15/2/1997",105.81
"15/5/1997",105.72
"15/8/1997",105.9
"15/11/1997",106.68
"15/2/1998",106.61
"15/5/1998",106.04
"15/8/1998",104.86
"15/11/1998",105.61
"15/2/1999",105.05
"15/5/1999",105.07
"15/8/1999",105.67
"15/11/1999",104.7
"15/2/2000",104.52
"15/5/2000",104.64
"15/8/2000",104.05
"15/11/2000",102.35
"15/2/2001",100.63
"15/5/2001",98.35
"15/8/2001",96.15
"15/11/2001",92.79
"15/2/2002",91.24
"15/5/2002",90.72
"15/8/2002",89.85
"15/11/2002",88.65
"15/2/2003",87.28
"15/5/2003",85.79
"15/8/2003",84.46
"15/11/2003",85.32
"15/2/2004",85.84
"15/5/2004",85.54
"15/8/2004",85.46
"15/11/2004",84.83
"15/2/2005",84.77
"15/5/2005",84.13
"15/8/2005",83.85
"15/11/2005",84.8
"15/2/2006",85.21
"15/5/2006",85.62
"15/8/2006",85.28
"15/11/2006",84.42
"15/2/2007",84.26
