"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US HOURS WORKED OF ALL PERSONS-NONFARM BUSINESS SECTOR(%QOQ,AR)"
"Code","USHRSNB%G"
"CURRENCY",
"15/2/1950",3.1
"15/5/1950",10.2
"15/8/1950",13.2
"15/11/1950",3.7
"15/2/1951",6.9
"15/5/1951",3.3
"15/8/1951",-3.9
"15/11/1951",0.2
"15/2/1952",2.6
"15/5/1952",-1.6
"15/8/1952",2.9
"15/11/1952",11.2
"15/2/1953",4.2
"15/5/1953",0.7
"15/8/1953",-3.9
"15/11/1953",-6.1
"15/2/1954",-5.3
"15/5/1954",-3
"15/8/1954",-1.6
"15/11/1954",5.1
"15/2/1955",6.6
"15/5/1955",5.3
"15/8/1955",4.2
"15/11/1955",4.9
"15/2/1956",2.4
"15/5/1956",0.9
"15/8/1956",-1.6
"15/11/1956",2.2
"15/2/1957",0.4
"15/5/1957",-0.8
"15/8/1957",-1.9
"15/11/1957",-8
"15/2/1958",-8.7
"15/5/1958",-5.6
"15/8/1958",4.9
"15/11/1958",6.1
"15/2/1959",8
"15/5/1959",7.9
"15/8/1959",-1.2
"15/11/1959",0.1
"15/2/1960",2.5
"15/5/1960",0.7
"15/8/1960",-2.2
"15/11/1960",-3.7
"15/2/1961",-2.2
"15/5/1961",-0.9
"15/8/1961",2.4
"15/11/1961",5.2
"15/2/1962",1.5
"15/5/1962",4.9
"15/8/1962",-0.8
"15/11/1962",-2.5
"15/2/1963",2.5
"15/5/1963",2.6
"15/8/1963",1.1
"15/11/1963",3.1
"15/2/1964",7.6
"15/5/1964",1.8
"15/8/1964",2.6
"15/11/1964",3.9
"15/2/1965",6.4
"15/5/1965",4
"15/8/1965",0.9
"15/11/1965",3.8
"15/2/1966",5.9
"15/5/1966",4
"15/8/1966",1.9
"15/11/1966",-1.1
"15/2/1967",-0.5
"15/5/1967",-2.4
"15/8/1967",1.3
"15/11/1967",1.8
"15/2/1968",0.7
"15/5/1968",3.9
"15/8/1968",2.8
"15/11/1968",2.5
"15/2/1969",3.8
"15/5/1969",3.8
"15/8/1969",1.9
"15/11/1969",-1.2
"15/2/1970",-1.6
"15/5/1970",-5.2
"15/8/1970",-2
"15/11/1970",-3
"15/2/1971",1.9
"15/5/1971",1.3
"15/8/1971",0
"15/11/1971",4.4
"15/2/1972",5
"15/5/1972",2.9
"15/8/1972",2.3
"15/11/1972",4.2
"15/2/1973",6.2
"15/5/1973",4.3
"15/8/1973",2.7
"15/11/1973",2
"15/2/1974",-1.7
"15/5/1974",1.1
"15/8/1974",-1.4
"15/11/1974",-6.5
"15/2/1975",-12
"15/5/1975",-3.6
"15/8/1975",3.7
"15/11/1975",7
"15/2/1976",6.8
"15/5/1976",0.1
"15/8/1976",1.6
"15/11/1976",2.2
"15/2/1977",4.3
"15/5/1977",7.9
"15/8/1977",4.3
"15/11/1977",4
"15/2/1978",1.9
"15/5/1978",12.2
"15/8/1978",3.4
"15/11/1978",4.9
"15/2/1979",2.9
"15/5/1979",1.6
"15/8/1979",3.4
"15/11/1979",0.8
"15/2/1980",-1
"15/5/1980",-6.8
"15/8/1980",-1.8
"15/11/1980",5
"15/2/1981",2.2
"15/5/1981",0.1
"15/8/1981",-0.1
"15/11/1981",-1.5
"15/2/1982",-6.3
"15/5/1982",1.6
"15/8/1982",-2.8
"15/11/1982",-3.6
"15/2/1983",2.4
"15/5/1983",4.5
"15/8/1983",8.1
"15/11/1983",7.7
"15/2/1984",7.9
"15/5/1984",5.4
"15/8/1984",1.8
"15/11/1984",2.7
"15/2/1985",3.3
"15/5/1985",2.6
"15/8/1985",1.1
"15/11/1985",1.9
"15/2/1986",-0.6
"15/5/1986",-0.9
"15/8/1986",2
"15/11/1986",3.1
"15/2/1987",4.9
"15/5/1987",2.3
"15/8/1987",2.8
"15/11/1987",4.2
"15/2/1988",0.4
"15/5/1988",5.8
"15/8/1988",1.1
"15/11/1988",4.5
"15/2/1989",4
"15/5/1989",1.6
"15/8/1989",0.9
"15/11/1989",0.1
"15/2/1990",0.9
"15/5/1990",-2.1
"15/8/1990",-2.6
"15/11/1990",-2
"15/2/1991",-4.1
"15/5/1991",-2.5
"15/8/1991",-0.5
"15/11/1991",-0.5
"15/2/1992",-1.9
"15/5/1992",1.6
"15/8/1992",0.8
"15/11/1992",2.7
"15/2/1993",3.5
"15/5/1993",4.8
"15/8/1993",1.9
"15/11/1993",3.4
"15/2/1994",1.6
"15/5/1994",6.9
"15/8/1994",4.9
"15/11/1994",2.5
"15/2/1995",2.7
"15/5/1995",0.2
"15/8/1995",4.3
"15/11/1995",0.4
"15/2/1996",-0.6
"15/5/1996",3.3
"15/8/1996",3.2
"15/11/1996",5
"15/2/1997",4.6
"15/5/1997",2.2
"15/8/1997",2.3
"15/11/1997",1.9
"15/2/1998",2.3
"15/5/1998",1.7
"15/8/1998",0.7
"15/11/1998",5.6
"15/2/1999",0
"15/5/1999",3
"15/8/1999",2.8
"15/11/1999",1.2
"15/2/2000",1.6
"15/5/2000",0.1
"15/8/2000",0.1
"15/11/2000",-1.7
"15/2/2001",-0.6
"15/5/2001",-4.2
"15/8/2001",-4.6
"15/11/2001",-4.8
"15/2/2002",-3.2
"15/5/2002",0.6
"15/8/2002",-1
"15/11/2002",0.2
"15/2/2003",-2.1
"15/5/2003",-1.3
"15/8/2003",0.5
"15/11/2003",2.2
"15/2/2004",1.7
"15/5/2004",0.3
"15/8/2004",3
"15/11/2004",2
"15/2/2005",0.2
"15/5/2005",2.9
"15/8/2005",1.1
"15/11/2005",2.4
"15/2/2006",3.1
"15/5/2006",1.6
"15/8/2006",2.4
"15/11/2006",0.8
"15/2/2007",-0.3
