"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US HOURS WORKED OFALL PERSONS - NONFARM BUSINESS SECTOR SADJ"
"Code","USHRSNBSE"
"CURRENCY","TL"
"15/2/1950",52.7
"15/5/1950",54
"15/8/1950",55.7
"15/11/1950",56.21
"15/2/1951",57.16
"15/5/1951",57.62
"15/8/1951",57.05
"15/11/1951",57.08
"15/2/1952",57.44
"15/5/1952",57.21
"15/8/1952",57.62
"15/11/1952",59.16
"15/2/1953",59.77
"15/5/1953",59.88
"15/8/1953",59.28
"15/11/1953",58.35
"15/2/1954",57.56
"15/5/1954",57.13
"15/8/1954",56.91
"15/11/1954",57.62
"15/2/1955",58.55
"15/5/1955",59.31
"15/8/1955",59.93
"15/11/1955",60.65
"15/2/1956",61.02
"15/5/1956",61.15
"15/8/1956",60.91
"15/11/1956",61.25
"15/2/1957",61.3
"15/5/1957",61.17
"15/8/1957",60.87
"15/11/1957",59.61
"15/2/1958",58.26
"15/5/1958",57.43
"15/8/1958",58.11
"15/11/1958",58.98
"15/2/1959",60.12
"15/5/1959",61.27
"15/8/1959",61.09
"15/11/1959",61.1
"15/2/1960",61.48
"15/5/1960",61.59
"15/8/1960",61.24
"15/11/1960",60.67
"15/2/1961",60.33
"15/5/1961",60.19
"15/8/1961",60.54
"15/11/1961",61.31
"15/2/1962",61.54
"15/5/1962",62.27
"15/8/1962",62.14
"15/11/1962",61.74
"15/2/1963",62.12
"15/5/1963",62.51
"15/8/1963",62.68
"15/11/1963",63.17
"15/2/1964",64.34
"15/5/1964",64.62
"15/8/1964",65.03
"15/11/1964",65.67
"15/2/1965",66.69
"15/5/1965",67.35
"15/8/1965",67.51
"15/11/1965",68.15
"15/2/1966",69.14
"15/5/1966",69.81
"15/8/1966",70.14
"15/11/1966",69.95
"15/2/1967",69.87
"15/5/1967",69.44
"15/8/1967",69.67
"15/11/1967",69.99
"15/2/1968",70.11
"15/5/1968",70.79
"15/8/1968",71.28
"15/11/1968",71.72
"15/2/1969",72.39
"15/5/1969",73.06
"15/8/1969",73.41
"15/11/1969",73.19
"15/2/1970",72.9
"15/5/1970",71.94
"15/8/1970",71.58
"15/11/1970",71.03
"15/2/1971",71.36
"15/5/1971",71.6
"15/8/1971",71.6
"15/11/1971",72.36
"15/2/1972",73.24
"15/5/1972",73.77
"15/8/1972",74.18
"15/11/1972",74.96
"15/2/1973",76.09
"15/5/1973",76.89
"15/8/1973",77.41
"15/11/1973",77.79
"15/2/1974",77.46
"15/5/1974",77.66
"15/8/1974",77.39
"15/11/1974",76.11
"15/2/1975",73.72
"15/5/1975",73.04
"15/8/1975",73.71
"15/11/1975",74.98
"15/2/1976",76.22
"15/5/1976",76.25
"15/8/1976",76.55
"15/11/1976",76.96
"15/2/1977",77.78
"15/5/1977",79.26
"15/8/1977",80.11
"15/11/1977",80.89
"15/2/1978",81.27
"15/5/1978",83.64
"15/8/1978",84.35
"15/11/1978",85.37
"15/2/1979",85.98
"15/5/1979",86.32
"15/8/1979",87.05
"15/11/1979",87.22
"15/2/1980",87.01
"15/5/1980",85.49
"15/8/1980",85.1
"15/11/1980",86.15
"15/2/1981",86.63
"15/5/1981",86.66
"15/8/1981",86.63
"15/11/1981",86.29
"15/2/1982",84.9
"15/5/1982",85.23
"15/8/1982",84.63
"15/11/1982",83.86
"15/2/1983",84.35
"15/5/1983",85.3
"15/8/1983",86.98
"15/11/1983",88.6
"15/2/1984",90.3
"15/5/1984",91.5
"15/8/1984",91.92
"15/11/1984",92.53
"15/2/1985",93.28
"15/5/1985",93.89
"15/8/1985",94.14
"15/11/1985",94.59
"15/2/1986",94.45
"15/5/1986",94.23
"15/8/1986",94.71
"15/11/1986",95.43
"15/2/1987",96.57
"15/5/1987",97.12
"15/8/1987",97.8
"15/11/1987",98.81
"15/2/1988",98.9
"15/5/1988",100.31
"15/8/1988",100.58
"15/11/1988",101.7
"15/2/1989",102.7
"15/5/1989",103.11
"15/8/1989",103.34
"15/11/1989",103.36
"15/2/1990",103.6
"15/5/1990",103.06
"15/8/1990",102.37
"15/11/1990",101.86
"15/2/1991",100.8
"15/5/1991",100.17
"15/8/1991",100.05
"15/11/1991",99.91
"15/2/1992",99.44
"15/5/1992",99.83
"15/8/1992",100.03
"15/11/1992",100.7
"15/2/1993",101.57
"15/5/1993",102.77
"15/8/1993",103.26
"15/11/1993",104.11
"15/2/1994",104.52
"15/5/1994",106.28
"15/8/1994",107.56
"15/11/1994",108.22
"15/2/1995",108.93
"15/5/1995",108.98
"15/8/1995",110.13
"15/11/1995",110.23
"15/2/1996",110.06
"15/5/1996",110.96
"15/8/1996",111.84
"15/11/1996",113.21
"15/2/1997",114.48
"15/5/1997",115.12
"15/8/1997",115.78
"15/11/1997",116.34
"15/2/1998",117.01
"15/5/1998",117.5
"15/8/1998",117.72
"15/11/1998",119.34
"15/2/1999",119.33
"15/5/1999",120.22
"15/8/1999",121.04
"15/11/1999",121.39
"15/2/2000",121.88
"15/5/2000",121.91
"15/8/2000",121.93
"15/11/2000",121.4
"15/2/2001",121.22
"15/5/2001",119.93
"15/8/2001",118.54
"15/11/2001",117.08
"15/2/2002",116.13
"15/5/2002",116.32
"15/8/2002",116.02
"15/11/2002",116.1
"15/2/2003",115.48
"15/5/2003",115.12
"15/8/2003",115.27
"15/11/2003",115.89
"15/2/2004",116.38
"15/5/2004",116.47
"15/8/2004",117.32
"15/11/2004",117.89
"15/2/2005",117.96
"15/5/2005",118.8
"15/8/2005",119.13
"15/11/2005",119.83
"15/2/2006",120.75
"15/5/2006",121.23
"15/8/2006",121.95
"15/11/2006",122.19
"15/2/2007",122.09
