"Start","15/2/1987"
"End","15/2/2007"
"Frequency","D"
"Name","US HOURS WORKED OF ALL PERSONS-MFG. NONDURABLE SECTOR SADJ"
"Code","USHRSNDRE"
"CURRENCY",
"15/2/1987",98.93
"15/5/1987",99.12
"15/8/1987",99.99
"15/11/1987",100.89
"15/2/1988",101.37
"15/5/1988",101.14
"15/8/1988",101.34
"15/11/1988",101.58
"15/2/1989",102.08
"15/5/1989",102.85
"15/8/1989",102.92
"15/11/1989",102.38
"15/2/1990",101.73
"15/5/1990",101.86
"15/8/1990",100.99
"15/11/1990",100.09
"15/2/1991",98.96
"15/5/1991",98.43
"15/8/1991",99
"15/11/1991",100.01
"15/2/1992",99.46
"15/5/1992",100.6
"15/8/1992",99.44
"15/11/1992",100.51
"15/2/1993",100.73
"15/5/1993",101.45
"15/8/1993",101.23
"15/11/1993",101.39
"15/2/1994",101.2
"15/5/1994",101.93
"15/8/1994",102.57
"15/11/1994",103.08
"15/2/1995",102.79
"15/5/1995",101.6
"15/8/1995",100.99
"15/11/1995",100.57
"15/2/1996",98.72
"15/5/1996",99.51
"15/8/1996",99.91
"15/11/1996",100
"15/2/1997",99.8
"15/5/1997",99.49
"15/8/1997",98.81
"15/11/1997",99.68
"15/2/1998",98.91
"15/5/1998",98.63
"15/8/1998",96.98
"15/11/1998",97.22
"15/2/1999",97.49
"15/5/1999",97.61
"15/8/1999",96.82
"15/11/1999",95.78
"15/2/2000",95.59
"15/5/2000",95.18
"15/8/2000",94.67
"15/11/2000",92.62
"15/2/2001",91.48
"15/5/2001",89.85
"15/8/2001",89.06
"15/11/2001",86.84
"15/2/2002",85.67
"15/5/2002",85.04
"15/8/2002",84.3
"15/11/2002",84.01
"15/2/2003",82.63
"15/5/2003",81.39
"15/8/2003",80.26
"15/11/2003",80.47
"15/2/2004",80.12
"15/5/2004",79.65
"15/8/2004",79.01
"15/11/2004",78.43
"15/2/2005",77.85
"15/5/2005",77.17
"15/8/2005",76.39
"15/11/2005",77.1
"15/2/2006",77.61
"15/5/2006",77.46
"15/8/2006",77.79
"15/11/2006",77.03
"15/2/2007",77.3
