"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US HOURS WORKED OF ALL PERSONS-NONFARM BUSINESS SECTOR(%YOY)"
"Code","USHRSNY%G"
"CURRENCY",
"15/2/1950",-2.3
"15/5/1950",1.8
"15/8/1950",6.1
"15/11/1950",7.5
"15/2/1951",8.5
"15/5/1951",6.7
"15/8/1951",2.4
"15/11/1951",1.5
"15/2/1952",0.5
"15/5/1952",-0.7
"15/8/1952",1
"15/11/1952",3.6
"15/2/1953",4.1
"15/5/1953",4.7
"15/8/1953",2.9
"15/11/1953",-1.4
"15/2/1954",-3.7
"15/5/1954",-4.6
"15/8/1954",-4
"15/11/1954",-1.2
"15/2/1955",1.7
"15/5/1955",3.8
"15/8/1955",5.3
"15/11/1955",5.3
"15/2/1956",4.2
"15/5/1956",3.1
"15/8/1956",1.6
"15/11/1956",1
"15/2/1957",0.5
"15/5/1957",0
"15/8/1957",-0.1
"15/11/1957",-2.7
"15/2/1958",-5
"15/5/1958",-6.1
"15/8/1958",-4.5
"15/11/1958",-1.1
"15/2/1959",3.2
"15/5/1959",6.7
"15/8/1959",5.1
"15/11/1959",3.6
"15/2/1960",2.3
"15/5/1960",0.5
"15/8/1960",0.2
"15/11/1960",-0.7
"15/2/1961",-1.9
"15/5/1961",-2.3
"15/8/1961",-1.1
"15/11/1961",1.1
"15/2/1962",2
"15/5/1962",3.5
"15/8/1962",2.6
"15/11/1962",0.7
"15/2/1963",0.9
"15/5/1963",0.4
"15/8/1963",0.9
"15/11/1963",2.3
"15/2/1964",3.6
"15/5/1964",3.4
"15/8/1964",3.8
"15/11/1964",4
"15/2/1965",3.7
"15/5/1965",4.2
"15/8/1965",3.8
"15/11/1965",3.8
"15/2/1966",3.7
"15/5/1966",3.7
"15/8/1966",3.9
"15/11/1966",2.6
"15/2/1967",1.1
"15/5/1967",-0.5
"15/8/1967",-0.7
"15/11/1967",0.1
"15/2/1968",0.3
"15/5/1968",1.9
"15/8/1968",2.3
"15/11/1968",2.5
"15/2/1969",3.3
"15/5/1969",3.2
"15/8/1969",3
"15/11/1969",2
"15/2/1970",0.7
"15/5/1970",-1.5
"15/8/1970",-2.5
"15/11/1970",-3
"15/2/1971",-2.1
"15/5/1971",-0.5
"15/8/1971",0
"15/11/1971",1.9
"15/2/1972",2.6
"15/5/1972",3
"15/8/1972",3.6
"15/11/1972",3.6
"15/2/1973",3.9
"15/5/1973",4.2
"15/8/1973",4.3
"15/11/1973",3.8
"15/2/1974",1.8
"15/5/1974",1
"15/8/1974",0
"15/11/1974",-2.2
"15/2/1975",-4.8
"15/5/1975",-5.9
"15/8/1975",-4.8
"15/11/1975",-1.5
"15/2/1976",3.4
"15/5/1976",4.4
"15/8/1976",3.8
"15/11/1976",2.6
"15/2/1977",2
"15/5/1977",4
"15/8/1977",4.7
"15/11/1977",5.1
"15/2/1978",4.5
"15/5/1978",5.5
"15/8/1978",5.3
"15/11/1978",5.5
"15/2/1979",5.8
"15/5/1979",3.2
"15/8/1979",3.2
"15/11/1979",2.2
"15/2/1980",1.2
"15/5/1980",-1
"15/8/1980",-2.2
"15/11/1980",-1.2
"15/2/1981",-0.4
"15/5/1981",1.4
"15/8/1981",1.8
"15/11/1981",0.2
"15/2/1982",-2
"15/5/1982",-1.6
"15/8/1982",-2.3
"15/11/1982",-2.8
"15/2/1983",-0.6
"15/5/1983",0.1
"15/8/1983",2.8
"15/11/1983",5.6
"15/2/1984",7.1
"15/5/1984",7.3
"15/8/1984",5.7
"15/11/1984",4.4
"15/2/1985",3.3
"15/5/1985",2.6
"15/8/1985",2.4
"15/11/1985",2.2
"15/2/1986",1.3
"15/5/1986",0.4
"15/8/1986",0.6
"15/11/1986",0.9
"15/2/1987",2.2
"15/5/1987",3.1
"15/8/1987",3.3
"15/11/1987",3.5
"15/2/1988",2.4
"15/5/1988",3.3
"15/8/1988",2.8
"15/11/1988",2.9
"15/2/1989",3.8
"15/5/1989",2.8
"15/8/1989",2.7
"15/11/1989",1.6
"15/2/1990",0.9
"15/5/1990",-0.1
"15/8/1990",-0.9
"15/11/1990",-1.4
"15/2/1991",-2.7
"15/5/1991",-2.8
"15/8/1991",-2.3
"15/11/1991",-1.9
"15/2/1992",-1.4
"15/5/1992",-0.3
"15/8/1992",0
"15/11/1992",0.8
"15/2/1993",2.1
"15/5/1993",2.9
"15/8/1993",3.2
"15/11/1993",3.4
"15/2/1994",2.9
"15/5/1994",3.4
"15/8/1994",4.2
"15/11/1994",3.9
"15/2/1995",4.2
"15/5/1995",2.5
"15/8/1995",2.4
"15/11/1995",1.9
"15/2/1996",1
"15/5/1996",1.8
"15/8/1996",1.5
"15/11/1996",2.7
"15/2/1997",4
"15/5/1997",3.7
"15/8/1997",3.5
"15/11/1997",2.8
"15/2/1998",2.2
"15/5/1998",2.1
"15/8/1998",1.7
"15/11/1998",2.6
"15/2/1999",2
"15/5/1999",2.3
"15/8/1999",2.8
"15/11/1999",1.7
"15/2/2000",2.1
"15/5/2000",1.4
"15/8/2000",0.7
"15/11/2000",0
"15/2/2001",-0.5
"15/5/2001",-1.6
"15/8/2001",-2.8
"15/11/2001",-3.6
"15/2/2002",-4.2
"15/5/2002",-3
"15/8/2002",-2.1
"15/11/2002",-0.8
"15/2/2003",-0.6
"15/5/2003",-1
"15/8/2003",-0.6
"15/11/2003",-0.2
"15/2/2004",0.8
"15/5/2004",1.2
"15/8/2004",1.8
"15/11/2004",1.7
"15/2/2005",1.4
"15/5/2005",2
"15/8/2005",1.5
"15/11/2005",1.7
"15/2/2006",2.4
"15/5/2006",2
"15/8/2006",2.4
"15/11/2006",2
"15/2/2007",1.1
