"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US HOURS WORKED OFALL PERSONS - BUSINESS SECTOR SADJ"
"Code","USHRSPBSE"
"CURRENCY","TL"
"15/2/1950",60.74
"15/5/1950",62.09
"15/8/1950",63.68
"15/11/1950",64.07
"15/2/1951",64.73
"15/5/1951",65.06
"15/8/1951",64.29
"15/11/1951",64.51
"15/2/1952",64.8
"15/5/1952",64.13
"15/8/1952",64.34
"15/11/1952",65.9
"15/2/1953",66.23
"15/5/1953",66.14
"15/8/1953",65.56
"15/11/1953",64.48
"15/2/1954",64.08
"15/5/1954",63.19
"15/8/1954",62.95
"15/11/1954",63.39
"15/2/1955",64.57
"15/5/1955",65.25
"15/8/1955",66.24
"15/11/1955",66.98
"15/2/1956",66.8
"15/5/1956",66.99
"15/8/1956",66.71
"15/11/1956",66.53
"15/2/1957",66.5
"15/5/1957",66.13
"15/8/1957",66.08
"15/11/1957",64.54
"15/2/1958",62.82
"15/5/1958",62.25
"15/8/1958",62.71
"15/11/1958",63.68
"15/2/1959",64.65
"15/5/1959",66.19
"15/8/1959",65.57
"15/11/1959",65.51
"15/2/1960",65.33
"15/5/1960",65.98
"15/8/1960",65.89
"15/11/1960",65.14
"15/2/1961",64.79
"15/5/1961",64.04
"15/8/1961",64.5
"15/11/1961",65.13
"15/2/1962",65.8
"15/5/1962",66.15
"15/8/1962",65.8
"15/11/1962",65.33
"15/2/1963",65.83
"15/5/1963",66.24
"15/8/1963",66.22
"15/11/1963",66.57
"15/2/1964",67.38
"15/5/1964",67.98
"15/8/1964",68.35
"15/11/1964",68.79
"15/2/1965",69.64
"15/5/1965",70.54
"15/8/1965",70.42
"15/11/1965",71.15
"15/2/1966",71.86
"15/5/1966",72.37
"15/8/1966",72.51
"15/11/1966",72.35
"15/2/1967",72.31
"15/5/1967",71.59
"15/8/1967",72.03
"15/11/1967",72.36
"15/2/1968",72.42
"15/5/1968",72.98
"15/8/1968",73.39
"15/11/1968",73.82
"15/2/1969",74.88
"15/5/1969",75.03
"15/8/1969",75.25
"15/11/1969",74.89
"15/2/1970",74.5
"15/5/1970",73.77
"15/8/1970",73.27
"15/11/1970",72.57
"15/2/1971",72.92
"15/5/1971",73.35
"15/8/1971",73.15
"15/11/1971",73.9
"15/2/1972",74.88
"15/5/1972",75.26
"15/8/1972",75.84
"15/11/1972",76.52
"15/2/1973",77.55
"15/5/1973",78.38
"15/8/1973",78.83
"15/11/1973",79.3
"15/2/1974",79.29
"15/5/1974",79.13
"15/8/1974",78.69
"15/11/1974",77.52
"15/2/1975",75.06
"15/5/1975",74.45
"15/8/1975",75.21
"15/11/1975",76.29
"15/2/1976",77.4
"15/5/1976",77.57
"15/8/1976",77.93
"15/11/1976",78.1
"15/2/1977",78.89
"15/5/1977",80.66
"15/8/1977",81.29
"15/11/1977",82.11
"15/2/1978",82.53
"15/5/1978",84.88
"15/8/1978",85.58
"15/11/1978",86.5
"15/2/1979",87.11
"15/5/1979",87.37
"15/8/1979",88.09
"15/11/1979",88.39
"15/2/1980",87.97
"15/5/1980",86.48
"15/8/1980",86.16
"15/11/1980",87.25
"15/2/1981",87.73
"15/5/1981",87.58
"15/8/1981",87.62
"15/11/1981",87.32
"15/2/1982",85.9
"15/5/1982",86.11
"15/8/1982",85.56
"15/11/1982",84.78
"15/2/1983",85.23
"15/5/1983",86.09
"15/8/1983",87.82
"15/11/1983",89.22
"15/2/1984",90.96
"15/5/1984",92.12
"15/8/1984",92.57
"15/11/1984",93.09
"15/2/1985",93.81
"15/5/1985",94.3
"15/8/1985",94.42
"15/11/1985",94.78
"15/2/1986",94.81
"15/5/1986",94.59
"15/8/1986",95.1
"15/11/1986",95.8
"15/2/1987",96.91
"15/5/1987",97.51
"15/8/1987",98.12
"15/11/1987",99.12
"15/2/1988",99.19
"15/5/1988",100.56
"15/8/1988",100.75
"15/11/1988",101.92
"15/2/1989",102.88
"15/5/1989",103.15
"15/8/1989",103.51
"15/11/1989",103.5
"15/2/1990",103.6
"15/5/1990",102.98
"15/8/1990",102.19
"15/11/1990",101.86
"15/2/1991",100.8
"15/5/1991",100.17
"15/8/1991",100.08
"15/11/1991",99.9
"15/2/1992",99.36
"15/5/1992",99.89
"15/8/1992",100.05
"15/11/1992",100.7
"15/2/1993",101.41
"15/5/1993",102.54
"15/8/1993",103.02
"15/11/1993",103.86
"15/2/1994",104.61
"15/5/1994",106.47
"15/8/1994",107.68
"15/11/1994",108.38
"15/2/1995",109.11
"15/5/1995",109.26
"15/8/1995",110.25
"15/11/1995",110.29
"15/2/1996",110.16
"15/5/1996",110.96
"15/8/1996",111.73
"15/11/1996",113.06
"15/2/1997",114.37
"15/5/1997",114.96
"15/8/1997",115.55
"15/11/1997",115.98
"15/2/1998",116.57
"15/5/1998",117.16
"15/8/1998",117.31
"15/11/1998",118.84
"15/2/1999",118.62
"15/5/1999",119.54
"15/8/1999",120.32
"15/11/1999",120.8
"15/2/2000",121.35
"15/5/2000",121.2
"15/8/2000",121.27
"15/11/2000",120.56
"15/2/2001",120.41
"15/5/2001",119.05
"15/8/2001",117.65
"15/11/2001",116.35
"15/2/2002",115.51
"15/5/2002",115.58
"15/8/2002",115.23
"15/11/2002",115.41
"15/2/2003",114.77
"15/5/2003",114.13
"15/8/2003",114.46
"15/11/2003",115.17
"15/2/2004",115.53
"15/5/2004",115.67
"15/8/2004",116.46
"15/11/2004",116.76
"15/2/2005",116.96
"15/5/2005",118
"15/8/2005",118.17
"15/11/2005",118.79
"15/2/2006",119.65
"15/5/2006",120.17
"15/8/2006",120.81
"15/11/2006",121.23
"15/2/2007",121.22
