"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CHAIN-TYPE PRICE OF GDP,INCOME RECEIPTS TO REST OF WORLD SADJ"
"Code","USICFP.CE"
"CURRENCY","U$"
"15/2/1950",15.82
"15/5/1950",15.95
"15/8/1950",16.15
"15/11/1950",16.39
"15/2/1951",16.9
"15/5/1951",17.06
"15/8/1951",17.11
"15/11/1951",16.98
"15/2/1952",16.84
"15/5/1952",16.83
"15/8/1952",16.85
"15/11/1952",16.88
"15/2/1953",17.15
"15/5/1953",17.23
"15/8/1953",17.25
"15/11/1953",17.26
"15/2/1954",17.14
"15/5/1954",17.1
"15/8/1954",17.09
"15/11/1954",17.14
"15/2/1955",17.29
"15/5/1955",17.41
"15/8/1955",17.54
"15/11/1955",17.7
"15/2/1956",17.81
"15/5/1956",17.98
"15/8/1956",18.13
"15/11/1956",18.3
"15/2/1957",18.56
"15/5/1957",18.68
"15/8/1957",18.76
"15/11/1957",18.77
"15/2/1958",18.64
"15/5/1958",18.67
"15/8/1958",18.75
"15/11/1958",18.86
"15/2/1959",19.17
"15/5/1959",19.36
"15/8/1959",19.45
"15/11/1959",19.51
"15/2/1960",19.66
"15/5/1960",19.65
"15/8/1960",19.73
"15/11/1960",19.63
"15/2/1961",19.59
"15/5/1961",19.69
"15/8/1961",19.78
"15/11/1961",19.86
"15/2/1962",20.06
"15/5/1962",20.11
"15/8/1962",20.17
"15/11/1962",20.26
"15/2/1963",20.23
"15/5/1963",20.23
"15/8/1963",20.29
"15/11/1963",20.43
"15/2/1964",20.49
"15/5/1964",20.61
"15/8/1964",20.69
"15/11/1964",20.81
"15/2/1965",21.02
"15/5/1965",21.12
"15/8/1965",21.25
"15/11/1965",21.44
"15/2/1966",21.68
"15/5/1966",21.9
"15/8/1966",22.08
"15/11/1966",22.33
"15/2/1967",22.42
"15/5/1967",22.49
"15/8/1967",22.69
"15/11/1967",22.97
"15/2/1968",23.3
"15/5/1968",23.6
"15/8/1968",23.9
"15/11/1968",24.26
"15/2/1969",24.59
"15/5/1969",24.96
"15/8/1969",25.35
"15/11/1969",25.64
"15/2/1970",25.94
"15/5/1970",26.34
"15/8/1970",26.49
"15/11/1970",26.76
"15/2/1971",27.24
"15/5/1971",27.64
"15/8/1971",27.96
"15/11/1971",28.15
"15/2/1972",28.55
"15/5/1972",28.79
"15/8/1972",29
"15/11/1972",29.41
"15/2/1973",29.7
"15/5/1973",30.26
"15/8/1973",30.87
"15/11/1973",31.69
"15/2/1974",32.32
"15/5/1974",32.99
"15/8/1974",33.94
"15/11/1974",34.69
"15/2/1975",35.57
"15/5/1975",35.96
"15/8/1975",36.62
"15/11/1975",37.1
"15/2/1976",37.42
"15/5/1976",37.79
"15/8/1976",38.32
"15/11/1976",38.95
"15/2/1977",39.48
"15/5/1977",40.29
"15/8/1977",41.03
"15/11/1977",41.74
"15/2/1978",42.37
"15/5/1978",43.51
"15/8/1978",44.37
"15/11/1978",45.34
"15/2/1979",46.21
"15/5/1979",47.17
"15/8/1979",48.21
"15/11/1979",49.17
"15/2/1980",50.3
"15/5/1980",51.45
"15/8/1980",52.6
"15/11/1980",54.01
"15/2/1981",55.56
"15/5/1981",56.45
"15/8/1981",57.74
"15/11/1981",58.93
"15/2/1982",59.75
"15/5/1982",60.39
"15/8/1982",61.18
"15/11/1982",61.8
"15/2/1983",62.12
"15/5/1983",62.67
"15/8/1983",63.18
"15/11/1983",63.61
"15/2/1984",64.27
"15/5/1984",64.79
"15/8/1984",65.31
"15/11/1984",65.85
"15/2/1985",66.52
"15/5/1985",66.84
"15/8/1985",66.93
"15/11/1985",67.77
"15/2/1986",68.26
"15/5/1986",68.6
"15/8/1986",69.33
"15/11/1986",70.03
"15/2/1987",70.56
"15/5/1987",70.8
"15/8/1987",71.5
"15/11/1987",72.2
"15/2/1988",72.83
"15/5/1988",73.57
"15/8/1988",74.38
"15/11/1988",74.97
"15/2/1989",75.87
"15/5/1989",76.61
"15/8/1989",77.04
"15/11/1989",77.72
"15/2/1990",78.7
"15/5/1990",79.83
"15/8/1990",80.71
"15/11/1990",81.72
"15/2/1991",82.6
"15/5/1991",82.93
"15/8/1991",83.52
"15/11/1991",84.22
"15/2/1992",85.11
"15/5/1992",85.6
"15/8/1992",86.26
"15/11/1992",86.75
"15/2/1993",87.2
"15/5/1993",87.68
"15/8/1993",87.75
"15/11/1993",88.12
"15/2/1994",88.71
"15/5/1994",89.19
"15/8/1994",90.32
"15/11/1994",90.78
"15/2/1995",91.19
"15/5/1995",91.55
"15/8/1995",91.94
"15/11/1995",92.33
"15/2/1996",92.84
"15/5/1996",93.1
"15/8/1996",93.54
"15/11/1996",94.17
"15/2/1997",94.79
"15/5/1997",94.98
"15/8/1997",95.17
"15/11/1997",95.54
"15/2/1998",95.66
"15/5/1998",95.75
"15/8/1998",96.06
"15/11/1998",96.48
"15/2/1999",96.76
"15/5/1999",97.28
"15/8/1999",97.76
"15/11/1999",98.29
"15/2/2000",99.34
"15/5/2000",99.84
"15/8/2000",100.18
"15/11/2000",100.64
"15/2/2001",101.32
"15/5/2001",102.06
"15/8/2001",102.31
"15/11/2001",102.53
"15/2/2002",102.93
"15/5/2002",103.56
"15/8/2002",104
"15/11/2002",104.5
"15/2/2003",105.53
"15/5/2003",105.7
"15/8/2003",106.26
"15/11/2003",106.72
"15/2/2004",107.75
"15/5/2004",108.88
"15/8/2004",109.62
"15/11/2004",110.56
"15/2/2005",111.51
"15/5/2005",112.36
"15/8/2005",113.56
"15/11/2005",114.59
"15/2/2006",115.35
"15/5/2006",116.48
"15/8/2006",117.08
"15/11/2006",117.17
"15/2/2007",118.17
