"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CHAIN-TYPE QUANTITY INDX GDP-INCM RECEIPTS TO REST OF WORLD"
"Code","USICFPCQE"
"CURRENCY",
"15/2/1950",1.3
"15/5/1950",1.34
"15/8/1950",1.37
"15/11/1950",1.39
"15/2/1951",1.49
"15/5/1951",1.5
"15/8/1951",1.47
"15/11/1951",1.46
"15/2/1952",1.4
"15/5/1952",1.51
"15/8/1952",1.52
"15/11/1952",1.58
"15/2/1953",1.56
"15/5/1953",1.55
"15/8/1953",1.6
"15/11/1953",1.68
"15/2/1954",1.62
"15/5/1954",1.61
"15/8/1954",1.59
"15/11/1954",1.59
"15/2/1955",1.64
"15/5/1955",1.78
"15/8/1955",1.82
"15/11/1955",1.81
"15/2/1956",1.83
"15/5/1956",1.78
"15/8/1956",1.86
"15/11/1956",1.87
"15/2/1957",1.87
"15/5/1957",1.86
"15/8/1957",1.91
"15/11/1957",1.92
"15/2/1958",1.96
"15/5/1958",1.83
"15/8/1958",1.92
"15/11/1958",2.01
"15/2/1959",2.09
"15/5/1959",2.19
"15/8/1959",2.32
"15/11/1959",2.46
"15/2/1960",2.73
"15/5/1960",2.65
"15/8/1960",2.61
"15/11/1960",2.52
"15/2/1961",2.56
"15/5/1961",2.57
"15/8/1961",2.67
"15/11/1961",2.74
"15/2/1962",2.62
"15/5/1962",2.66
"15/8/1962",2.68
"15/11/1962",2.71
"15/2/1963",2.75
"15/5/1963",2.89
"15/8/1963",3.02
"15/11/1963",3.12
"15/2/1964",3.17
"15/5/1964",3.24
"15/8/1964",3.24
"15/11/1964",3.42
"15/2/1965",3.45
"15/5/1965",3.51
"15/8/1965",3.61
"15/11/1965",3.71
"15/2/1966",3.76
"15/5/1966",3.83
"15/8/1966",4.09
"15/11/1966",4.19
"15/2/1967",4.2
"15/5/1967",4.19
"15/8/1967",4.16
"15/11/1967",4.36
"15/2/1968",4.62
"15/5/1968",4.92
"15/8/1968",5.04
"15/11/1968",5.1
"15/2/1969",5.63
"15/5/1969",6.27
"15/8/1969",7.03
"15/11/1969",7.3
"15/2/1970",7.39
"15/5/1970",7.22
"15/8/1970",7.07
"15/11/1970",6.73
"15/2/1971",6.27
"15/5/1971",6.42
"15/8/1971",6.97
"15/11/1971",7.25
"15/2/1972",7.16
"15/5/1972",7.71
"15/8/1972",7.8
"15/11/1972",8.38
"15/2/1973",9.42
"15/5/1973",10.39
"15/8/1973",10.72
"15/11/1973",10.96
"15/2/1974",11.36
"15/5/1974",12.3
"15/8/1974",13.03
"15/11/1974",13
"15/2/1975",12.7
"15/5/1975",12.03
"15/8/1975",11.98
"15/11/1975",11.43
"15/2/1976",12.15
"15/5/1976",12.01
"15/8/1976",11.72
"15/11/1976",11.49
"15/2/1977",11.07
"15/5/1977",11.72
"15/8/1977",12.25
"15/11/1977",13.39
"15/2/1978",14.02
"15/5/1978",15.98
"15/8/1978",16.67
"15/11/1978",18.73
"15/2/1979",20.15
"15/5/1979",21.42
"15/8/1979",22.56
"15/11/1979",24.67
"15/2/1980",26.38
"15/5/1980",24.78
"15/8/1980",22.37
"15/11/1980",26.8
"15/2/1981",28.46
"15/5/1981",30.79
"15/8/1981",31.86
"15/11/1981",29.17
"15/2/1982",30.35
"15/5/1982",31.91
"15/8/1982",31.58
"15/11/1982",29.62
"15/2/1983",27.99
"15/5/1983",28.82
"15/8/1983",31.04
"15/11/1983",32.04
"15/2/1984",35.24
"15/5/1984",38.49
"15/8/1984",40.08
"15/11/1984",39.29
"15/2/1985",37.62
"15/5/1985",37.24
"15/8/1985",37.21
"15/11/1985",37.09
"15/2/1986",39.56
"15/5/1986",40.55
"15/8/1986",38.01
"15/11/1986",39.6
"15/2/1987",40.41
"15/5/1987",42.16
"15/8/1987",43.77
"15/11/1987",45.62
"15/2/1988",47.9
"15/5/1988",48.62
"15/8/1988",51.7
"15/11/1988",54
"15/2/1989",56.56
"15/5/1989",59.38
"15/8/1989",57.73
"15/11/1989",55.79
"15/2/1990",56.73
"15/5/1990",55.85
"15/8/1990",56.97
"15/11/1990",54.25
"15/2/1991",52.42
"15/5/1991",49.48
"15/8/1991",48.07
"15/11/1991",43.48
"15/2/1992",42.44
"15/5/1992",43.12
"15/8/1992",41.11
"15/11/1992",39.93
"15/2/1993",38.48
"15/5/1993",41.17
"15/8/1993",40.04
"15/11/1993",45.27
"15/2/1994",44.94
"15/5/1994",49.45
"15/8/1994",54.4
"15/11/1994",58.95
"15/2/1995",60.22
"15/5/1995",62.02
"15/8/1995",65.36
"15/11/1995",63.7
"15/2/1996",62.62
"15/5/1996",64.97
"15/8/1996",68.45
"15/11/1996",70.21
"15/2/1997",74.88
"15/5/1997",76.2
"15/8/1997",79.66
"15/11/1997",79.69
"15/2/1998",79.69
"15/5/1998",81.2
"15/8/1998",81.54
"15/11/1998",79.84
"15/2/1999",79.39
"15/5/1999",82.15
"15/8/1999",89.32
"15/11/1999",91.67
"15/2/2000",96.79
"15/5/2000",101.76
"15/8/2000",101.09
"15/11/2000",100.35
"15/2/2001",92.71
"15/5/2001",83.54
"15/8/2001",82.22
"15/11/2001",59.45
"15/2/2002",75.6
"15/5/2002",81.54
"15/8/2002",80.66
"15/11/2002",70.71
"15/2/2003",76.14
"15/5/2003",73.48
"15/8/2003",77.64
"15/11/2003",79.92
"15/2/2004",84.1
"15/5/2004",94.28
"15/8/2004",96.57
"15/11/2004",110.08
"15/2/2005",112.03
"15/5/2005",118.07
"15/8/2005",120.81
"15/11/2005",138.8
"15/2/2006",143.92
"15/5/2006",156.15
"15/8/2006",165.23
"15/11/2006",167.33
"15/2/2007",169.66
