"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CHAIN-TYPE PRICE OF GDP,INCOME RECEIPTS FROM REST OF WORLD"
"Code","USICFR.CE"
"CURRENCY","U$"
"15/2/1950",14.52
"15/5/1950",14.61
"15/8/1950",14.73
"15/11/1950",14.89
"15/2/1951",15.14
"15/5/1951",15.33
"15/8/1951",15.48
"15/11/1951",15.57
"15/2/1952",15.48
"15/5/1952",15.5
"15/8/1952",15.54
"15/11/1952",15.6
"15/2/1953",15.75
"15/5/1953",15.83
"15/8/1953",15.89
"15/11/1953",15.93
"15/2/1954",15.92
"15/5/1954",15.96
"15/8/1954",16.03
"15/11/1954",16.13
"15/2/1955",16.33
"15/5/1955",16.48
"15/8/1955",16.62
"15/11/1955",16.76
"15/2/1956",16.85
"15/5/1956",16.98
"15/8/1956",17.12
"15/11/1956",17.25
"15/2/1957",17.41
"15/5/1957",17.54
"15/8/1957",17.66
"15/11/1957",17.75
"15/2/1958",17.79
"15/5/1958",17.89
"15/8/1958",18
"15/11/1958",18.13
"15/2/1959",18.33
"15/5/1959",18.51
"15/8/1959",18.58
"15/11/1959",18.62
"15/2/1960",18.8
"15/5/1960",18.8
"15/8/1960",18.89
"15/11/1960",18.83
"15/2/1961",18.84
"15/5/1961",18.98
"15/8/1961",19.1
"15/11/1961",19.18
"15/2/1962",19.37
"15/5/1962",19.43
"15/8/1962",19.52
"15/11/1962",19.65
"15/2/1963",19.68
"15/5/1963",19.72
"15/8/1963",19.79
"15/11/1963",19.95
"15/2/1964",19.97
"15/5/1964",20.08
"15/8/1964",20.17
"15/11/1964",20.28
"15/2/1965",20.52
"15/5/1965",20.61
"15/8/1965",20.73
"15/11/1965",20.89
"15/2/1966",21.1
"15/5/1966",21.3
"15/8/1966",21.47
"15/11/1966",21.72
"15/2/1967",21.83
"15/5/1967",21.9
"15/8/1967",22.1
"15/11/1967",22.38
"15/2/1968",22.72
"15/5/1968",22.98
"15/8/1968",23.24
"15/11/1968",23.53
"15/2/1969",23.75
"15/5/1969",24.08
"15/8/1969",24.44
"15/11/1969",24.73
"15/2/1970",25.07
"15/5/1970",25.5
"15/8/1970",25.68
"15/11/1970",25.97
"15/2/1971",26.48
"15/5/1971",26.9
"15/8/1971",27.24
"15/11/1971",27.42
"15/2/1972",27.78
"15/5/1972",28.05
"15/8/1972",28.3
"15/11/1972",28.78
"15/2/1973",29.22
"15/5/1973",29.78
"15/8/1973",30.34
"15/11/1973",31.06
"15/2/1974",31.46
"15/5/1974",32.04
"15/8/1974",32.95
"15/11/1974",33.69
"15/2/1975",34.68
"15/5/1975",35.15
"15/8/1975",35.94
"15/11/1975",36.56
"15/2/1976",37.03
"15/5/1976",37.49
"15/8/1976",38.08
"15/11/1976",38.75
"15/2/1977",39.25
"15/5/1977",40.06
"15/8/1977",40.78
"15/11/1977",41.46
"15/2/1978",42.04
"15/5/1978",43.16
"15/8/1978",43.99
"15/11/1978",44.94
"15/2/1979",45.82
"15/5/1979",46.76
"15/8/1979",47.76
"15/11/1979",48.66
"15/2/1980",49.67
"15/5/1980",50.76
"15/8/1980",51.86
"15/11/1980",53.27
"15/2/1981",54.9
"15/5/1981",55.81
"15/8/1981",57.12
"15/11/1981",58.31
"15/2/1982",59.02
"15/5/1982",59.64
"15/8/1982",60.42
"15/11/1982",61.08
"15/2/1983",61.55
"15/5/1983",62.17
"15/8/1983",62.74
"15/11/1983",63.23
"15/2/1984",63.89
"15/5/1984",64.41
"15/8/1984",64.87
"15/11/1984",65.33
"15/2/1985",65.9
"15/5/1985",66.46
"15/8/1985",66.99
"15/11/1985",67.65
"15/2/1986",67.97
"15/5/1986",68.13
"15/8/1986",68.7
"15/11/1986",69.26
"15/2/1987",70.01
"15/5/1987",70.67
"15/8/1987",71.3
"15/11/1987",71.95
"15/2/1988",72.5
"15/5/1988",73.25
"15/8/1988",74.03
"15/11/1988",74.76
"15/2/1989",75.63
"15/5/1989",76.54
"15/8/1989",77.1
"15/11/1989",77.8
"15/2/1990",78.89
"15/5/1990",79.69
"15/8/1990",80.72
"15/11/1990",81.91
"15/2/1991",82.52
"15/5/1991",82.96
"15/8/1991",83.51
"15/11/1991",84.08
"15/2/1992",84.65
"15/5/1992",85.23
"15/8/1992",85.67
"15/11/1992",86.26
"15/2/1993",87.07
"15/5/1993",87.6
"15/8/1993",87.99
"15/11/1993",88.58
"15/2/1994",88.99
"15/5/1994",89.56
"15/8/1994",90.21
"15/11/1994",90.79
"15/2/1995",91.31
"15/5/1995",91.84
"15/8/1995",92.25
"15/11/1995",92.69
"15/2/1996",93.19
"15/5/1996",93.49
"15/8/1996",93.89
"15/11/1996",94.42
"15/2/1997",94.96
"15/5/1997",95.19
"15/8/1997",95.44
"15/11/1997",95.74
"15/2/1998",95.76
"15/5/1998",95.94
"15/8/1998",96.2
"15/11/1998",96.48
"15/2/1999",96.86
"15/5/1999",97.36
"15/8/1999",97.8
"15/11/1999",98.33
"15/2/2000",99.18
"15/5/2000",99.72
"15/8/2000",100.28
"15/11/2000",100.82
"15/2/2001",101.42
"15/5/2001",101.97
"15/8/2001",102.23
"15/11/2001",102.36
"15/2/2002",102.68
"15/5/2002",103.32
"15/8/2002",103.8
"15/11/2002",104.31
"15/2/2003",105.37
"15/5/2003",105.48
"15/8/2003",106.03
"15/11/2003",106.48
"15/2/2004",107.62
"15/5/2004",108.69
"15/8/2004",109.4
"15/11/2004",110.38
"15/2/2005",111.26
"15/5/2005",112.18
"15/8/2005",113.38
"15/11/2005",114.34
"15/2/2006",115.09
"15/5/2006",116.21
"15/8/2006",116.82
"15/11/2006",116.87
"15/2/2007",117.93
