"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CHAIN-TYPE QUANTITY INDX GDP-INCM RECEIPTS FROM REST OF WORLD"
"Code","USICFRCQE"
"CURRENCY",
"15/2/1950",3.49
"15/5/1950",3.67
"15/8/1950",4.2
"15/11/1950",4.2
"15/2/1951",4.15
"15/5/1951",4.71
"15/8/1951",4.83
"15/11/1951",5.04
"15/2/1952",4.75
"15/5/1952",4.88
"15/8/1952",4.82
"15/11/1952",4.78
"15/2/1953",4.69
"15/5/1953",4.9
"15/8/1953",4.53
"15/11/1953",4.63
"15/2/1954",4.85
"15/5/1954",4.82
"15/8/1954",4.85
"15/11/1954",5.32
"15/2/1955",5.44
"15/5/1955",5.49
"15/8/1955",5.57
"15/11/1955",5.65
"15/2/1956",6.15
"15/5/1956",6.05
"15/8/1956",6.25
"15/11/1956",5.66
"15/2/1957",6.42
"15/5/1957",6.79
"15/8/1957",6.6
"15/11/1957",5.55
"15/2/1958",5.71
"15/5/1958",5.65
"15/8/1958",5.57
"15/11/1958",5.6
"15/2/1959",5.65
"15/5/1959",5.73
"15/8/1959",6.16
"15/11/1959",6.57
"15/2/1960",6.63
"15/5/1960",6.66
"15/8/1960",6.82
"15/11/1960",7.02
"15/2/1961",7.35
"15/5/1961",7.08
"15/8/1961",7.27
"15/11/1961",7.45
"15/2/1962",7.29
"15/5/1962",7.84
"15/8/1962",7.92
"15/11/1962",8.81
"15/2/1963",8.52
"15/5/1963",8.41
"15/8/1963",8.64
"15/11/1963",8.93
"15/2/1964",9.54
"15/5/1964",9.33
"15/8/1964",9.53
"15/11/1964",9.21
"15/2/1965",10.09
"15/5/1965",10.38
"15/8/1965",9.94
"15/11/1965",9.41
"15/2/1966",9.66
"15/5/1966",9.74
"15/8/1966",9.82
"15/11/1966",10.21
"15/2/1967",10.12
"15/5/1967",9.93
"15/8/1967",10.56
"15/11/1967",10.54
"15/2/1968",10.95
"15/5/1968",11.36
"15/8/1968",11.69
"15/11/1968",11.68
"15/2/1969",12.2
"15/5/1969",12.52
"15/8/1969",12.9
"15/11/1969",13.15
"15/2/1970",13.42
"15/5/1970",13.5
"15/8/1970",13.25
"15/11/1970",12.34
"15/2/1971",13.11
"15/5/1971",13.68
"15/8/1971",13.39
"15/11/1971",14.05
"15/2/1972",14.29
"15/5/1972",14.67
"15/8/1972",15.42
"15/11/1972",15.9
"15/2/1973",18.17
"15/5/1973",19.72
"15/8/1973",21.78
"15/11/1973",22.1
"15/2/1974",24.64
"15/5/1974",24.72
"15/8/1974",24.13
"15/11/1974",22.33
"15/2/1975",20.29
"15/5/1975",19.74
"15/8/1975",20.44
"15/11/1975",21.86
"15/2/1976",22.16
"15/5/1976",22.49
"15/8/1976",22.34
"15/11/1976",22.43
"15/2/1977",23.82
"15/5/1977",24.1
"15/8/1977",24.44
"15/11/1977",23.92
"15/2/1978",26.43
"15/5/1978",25.82
"15/8/1978",27.52
"15/11/1978",31.3
"15/2/1979",32.95
"15/5/1979",35.92
"15/8/1979",40.25
"15/11/1979",42.02
"15/2/1980",43.94
"15/5/1980",40.94
"15/8/1980",37.66
"15/11/1980",38.35
"15/2/1981",40.81
"15/5/1981",42.04
"15/8/1981",43.92
"15/11/1981",43.38
"15/2/1982",43.53
"15/5/1982",46.95
"15/8/1982",43.86
"15/11/1982",41.49
"15/2/1983",39.84
"15/5/1983",41.55
"15/8/1983",43.86
"15/11/1983",45.37
"15/2/1984",46.99
"15/5/1984",50
"15/8/1984",51.28
"15/11/1984",48.86
"15/2/1985",44.52
"15/5/1985",44.91
"15/8/1985",42.83
"15/11/1985",43.82
"15/2/1986",44.81
"15/5/1986",43.03
"15/8/1986",41.56
"15/11/1986",40.56
"15/2/1987",41.96
"15/5/1987",44.88
"15/8/1987",46.13
"15/11/1987",48.46
"15/2/1988",52.47
"15/5/1988",52.28
"15/8/1988",54.19
"15/11/1988",57
"15/2/1989",59.21
"15/5/1989",61.35
"15/8/1989",60.56
"15/11/1989",60.8
"15/2/1990",60.96
"15/5/1990",60.62
"15/8/1990",59.91
"15/11/1990",64.67
"15/2/1991",59.29
"15/5/1991",53.05
"15/8/1991",50.68
"15/11/1991",48.98
"15/2/1992",47.93
"15/5/1992",48.35
"15/8/1992",45.63
"15/11/1992",44.87
"15/2/1993",45.8
"15/5/1993",46.26
"15/8/1993",46.94
"15/11/1993",47
"15/2/1994",48.81
"15/5/1994",51.77
"15/8/1994",56.02
"15/11/1994",60.18
"15/2/1995",64.75
"15/5/1995",67.23
"15/8/1995",66.06
"15/11/1995",67.7
"15/2/1996",67.82
"15/5/1996",67.4
"15/8/1996",69.37
"15/11/1996",72.76
"15/2/1997",75.07
"15/5/1997",79.2
"15/8/1997",80.71
"15/11/1997",79.34
"15/2/1998",79.24
"15/5/1998",79.96
"15/8/1998",76.71
"15/11/1998",76.43
"15/2/1999",79.5
"15/5/1999",83.34
"15/8/1999",88.19
"15/11/1999",92.62
"15/2/2000",95.65
"15/5/2000",101.18
"15/8/2000",98.95
"15/11/2000",104.22
"15/2/2001",93.19
"15/5/2001",86.54
"15/8/2001",78.19
"15/11/2001",72.53
"15/2/2002",74.89
"15/5/2002",77.67
"15/8/2002",80.02
"15/11/2002",76.05
"15/2/2003",78.28
"15/5/2003",80.18
"15/8/2003",83.14
"15/11/2003",91.04
"15/2/2004",98.98
"15/5/2004",102.31
"15/8/2004",106.71
"15/11/2004",111.47
"15/2/2005",117.29
"15/5/2005",121.99
"15/8/2005",128.71
"15/11/2005",136.27
"15/2/2006",143.86
"15/5/2006",154.97
"15/8/2006",158.81
"15/11/2006",164.13
"15/2/2007",166.72
