"Start","15/2/1991"
"End","15/2/2007"
"Frequency","D"
"Name","US WES: INFLATION RATE NEXT 6 MONTHS - UNITED STATES NADJ"
"Code","USIFINFLR"
"CURRENCY",
"15/2/1991","#NA"
"15/5/1991","#NA"
"15/8/1991",5.4
"15/11/1991",4.8
"15/2/1992",5.3
"15/5/1992",6.1
"15/8/1992",5.5
"15/11/1992",5.8
"15/2/1993",6.2
"15/5/1993",5.8
"15/8/1993",6.4
"15/11/1993",5.8
"15/2/1994",6.2
"15/5/1994",7.5
"15/8/1994",6.7
"15/11/1994",7.7
"15/2/1995",7.8
"15/5/1995",7.1
"15/8/1995",6.3
"15/11/1995",5.5
"15/2/1996",4.6
"15/5/1996",6.2
"15/8/1996",7
"15/11/1996",6.1
"15/2/1997",5.4
"15/5/1997",6.1
"15/8/1997",6.4
"15/11/1997",6.1
"15/2/1998",4.8
"15/5/1998",5
"15/8/1998",5.8
"15/11/1998",4.7
"15/2/1999",4.8
"15/5/1999",6.8
"15/8/1999",7.6
"15/11/1999",7.3
"15/2/2000",6.5
"15/5/2000",7.3
"15/8/2000",6.1
"15/11/2000",5.6
"15/2/2001",4.7
"15/5/2001",5.3
"15/8/2001",4
"15/11/2001",4.1
"15/2/2002",4.7
"15/5/2002",7.1
"15/8/2002",5.9
"15/11/2002",5.9
"15/2/2003",5.2
"15/5/2003",6.1
"15/8/2003",4.8
"15/11/2003",5.2
"15/2/2004",5.5
"15/5/2004",6.7
"15/8/2004",7.6
"15/11/2004",5.9
"15/2/2005",6.3
"15/5/2005",7.1
"15/8/2005",6
"15/11/2005",6.9
"15/2/2006",4.9
"15/5/2006",6.1
"15/8/2006",6.5
"15/11/2006",5.1
"15/2/2007",4.5
