"Start","15/2/1991"
"End","15/2/2007"
"Frequency","D"
"Name","US WES: EXPECTED INFLATION RATE(%,AVG.OF YEAR)-UNITED STATES"
"Code","USIFINFRR"
"CURRENCY",
"15/2/1991",4.8
"15/5/1991",4.7
"15/8/1991",4.3
"15/11/1991",3.9
"15/2/1992",3.6
"15/5/1992",3.4
"15/8/1992",3.5
"15/11/1992",3
"15/2/1993",3.5
"15/5/1993",3.5
"15/8/1993",3.4
"15/11/1993",2.9
"15/2/1994",3.2
"15/5/1994",3.5
"15/8/1994",3.4
"15/11/1994",3.4
"15/2/1995",3.5
"15/5/1995",3.3
"15/8/1995",3.2
"15/11/1995",3
"15/2/1996",2.9
"15/5/1996",2.8
"15/8/1996",2.8
"15/11/1996",2.9
"15/2/1997",2.8
"15/5/1997",2.9
"15/8/1997",2.6
"15/11/1997",2.6
"15/2/1998",2.3
"15/5/1998",2.1
"15/8/1998",2
"15/11/1998",1.9
"15/2/1999",2
"15/5/1999",2
"15/8/1999",2.2
"15/11/1999",2.4
"15/2/2000",2.3
"15/5/2000",2.4
"15/8/2000",3.1
"15/11/2000",2.7
"15/2/2001",2.7
"15/5/2001",2.9
"15/8/2001",2.9
"15/11/2001",2.8
"15/2/2002",2.2
"15/5/2002",2.5
"15/8/2002",2.1
"15/11/2002",2.2
"15/2/2003",2.2
"15/5/2003",2.3
"15/8/2003",2
"15/11/2003",2.2
"15/2/2004",2.2
"15/5/2004",2.3
"15/8/2004",2.6
"15/11/2004",2.5
"15/2/2005",2.7
"15/5/2005",2.9
"15/8/2005",2.9
"15/11/2005",3.4
"15/2/2006",2.9
"15/5/2006",3
"15/8/2006",3.2
"15/11/2006",3.1
"15/2/2007",2.5
