"Start","15/2/1991"
"End","15/2/2007"
"Frequency","D"
"Name","US WES: INFLATION - UNITED STATES NADJ"
"Code","USIFPR04"
"CURRENCY",
"15/2/1991","#NA"
"15/5/1991","#NA"
"15/8/1991",1
"15/11/1991",1
"15/2/1992",1
"15/5/1992",1
"15/8/1992",1.2
"15/11/1992",1.2
"15/2/1993",1.5
"15/5/1993",1.5
"15/8/1993",1.3
"15/11/1993",1.3
"15/2/1994",3.7
"15/5/1994",3.7
"15/8/1994",5.3
"15/11/1994",5.3
"15/2/1995",2.9
"15/5/1995",2.9
"15/8/1995",1.8
"15/11/1995",1.8
"15/2/1996",1.7
"15/5/1996",1.7
"15/8/1996",1.8
"15/11/1996",1.8
"15/2/1997",4.4
"15/5/1997",4.4
"15/8/1997",2.3
"15/11/1997",2.3
"15/2/1998",2.1
"15/5/1998",2.1
"15/8/1998",1.3
"15/11/1998",1.3
"15/2/1999",1.4
"15/5/1999",1.4
"15/8/1999",3
"15/11/1999",3
"15/2/2000",3.3
"15/5/2000",3.3
"15/8/2000",3.4
"15/11/2000",3.4
"15/2/2001",3.2
"15/5/2001",3.2
"15/8/2001",2.1
"15/11/2001",2.1
"15/2/2002",2.7
"15/5/2002",2.7
"15/8/2002",1.9
"15/11/2002",1.9
"15/2/2003",2.3
"15/5/2003",2.3
"15/8/2003",1.8
"15/11/2003",1.8
"15/2/2004",2
"15/5/2004",2
"15/8/2004",2.3
"15/11/2004",2.3
"15/2/2005",4
"15/5/2005",4
"15/8/2005",4.7
"15/11/2005",4.7
"15/2/2006",3.6
"15/5/2006",3.6
"15/8/2006",4.5
"15/11/2006",4.5
"15/2/2007",3.7
