"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CHAIN-TYPE QUANTITY INDEX FOR PRIVATE FIXED INVESTMENT SADJ"
"Code","USIVF.CQE"
"CURRENCY","U$"
"15/2/1950",11.75
"15/5/1950",12.84
"15/8/1950",13.8
"15/11/1950",13.51
"15/2/1951",13.01
"15/5/1951",12.41
"15/8/1951",12.21
"15/11/1951",12.09
"15/2/1952",12.23
"15/5/1952",12.4
"15/8/1952",11.64
"15/11/1952",12.52
"15/2/1953",13.03
"15/5/1953",13.1
"15/8/1953",13.11
"15/11/1953",12.97
"15/2/1954",12.76
"15/5/1954",12.97
"15/8/1954",13.49
"15/11/1954",13.79
"15/2/1955",14.35
"15/5/1955",14.96
"15/8/1955",15.29
"15/11/1955",15.31
"15/2/1956",14.98
"15/5/1956",15.1
"15/8/1956",15.08
"15/11/1956",14.98
"15/2/1957",14.97
"15/5/1957",14.83
"15/8/1957",14.98
"15/11/1957",14.7
"15/2/1958",13.8
"15/5/1958",13.4
"15/8/1958",13.6
"15/11/1958",14.43
"15/2/1959",15.32
"15/5/1959",15.82
"15/8/1959",16.01
"15/11/1959",15.8
"15/2/1960",16.35
"15/5/1960",16.02
"15/8/1960",15.59
"15/11/1960",15.53
"15/2/1961",15.33
"15/5/1961",15.56
"15/8/1961",15.93
"15/11/1961",16.46
"15/2/1962",16.82
"15/5/1962",17.33
"15/8/1962",17.47
"15/11/1962",17.38
"15/2/1963",17.58
"15/5/1963",18.4
"15/8/1963",18.88
"15/11/1963",19.48
"15/2/1964",20.22
"15/5/1964",20.17
"15/8/1964",20.49
"15/11/1964",20.64
"15/2/1965",21.58
"15/5/1965",22.18
"15/8/1965",22.78
"15/11/1965",23.29
"15/2/1966",24.17
"15/5/1966",23.85
"15/8/1966",23.84
"15/11/1966",23.12
"15/2/1967",22.58
"15/5/1967",23.16
"15/8/1967",23.38
"15/11/1967",24.11
"15/2/1968",24.7
"15/5/1968",24.57
"15/8/1968",24.93
"15/11/1968",25.54
"15/2/1969",26.35
"15/5/1969",26.46
"15/8/1969",26.91
"15/11/1969",26.23
"15/2/1970",26.13
"15/5/1970",25.56
"15/8/1970",26.01
"15/11/1970",26.03
"15/2/1971",26.61
"15/5/1971",27.71
"15/8/1971",28.24
"15/11/1971",29.02
"15/2/1972",30.31
"15/5/1972",30.85
"15/8/1972",31.19
"15/11/1972",32.63
"15/2/1973",34.02
"15/5/1973",34.31
"15/8/1973",34.21
"15/11/1973",33.87
"15/2/1974",33.07
"15/5/1974",32.59
"15/8/1974",32.02
"15/11/1974",30.21
"15/2/1975",28.35
"15/5/1975",27.96
"15/8/1975",28.66
"15/11/1975",29.19
"15/2/1976",30.41
"15/5/1976",30.92
"15/8/1976",31.24
"15/11/1976",32.85
"15/2/1977",34.04
"15/5/1977",35.94
"15/8/1977",36.41
"15/11/1977",37.08
"15/2/1978",37.38
"15/5/1978",40.09
"15/8/1978",41.24
"15/11/1978",42.11
"15/2/1979",42.44
"15/5/1979",42.11
"15/8/1979",42.87
"15/11/1979",42.47
"15/2/1980",41.87
"15/5/1980",38.23
"15/8/1980",38.6
"15/11/1980",40.13
"15/2/1981",40.43
"15/5/1981",40.69
"15/8/1981",40.7
"15/11/1981",40.55
"15/2/1982",39.31
"15/5/1982",37.94
"15/8/1982",36.88
"15/11/1982",36.82
"15/2/1983",37.63
"15/5/1983",39.08
"15/8/1983",41.41
"15/11/1983",43.84
"15/2/1984",45.21
"15/5/1984",47.07
"15/8/1984",48.09
"15/11/1984",48.96
"15/2/1985",49.32
"15/5/1985",49.95
"15/8/1985",49.54
"15/11/1985",50.48
"15/2/1986",50.56
"15/5/1986",50.43
"15/8/1986",50.15
"15/11/1986",50.48
"15/2/1987",49.48
"15/5/1987",50.37
"15/8/1987",51.44
"15/11/1987",51.44
"15/2/1988",51.37
"15/5/1988",52.37
"15/8/1988",52.57
"15/11/1988",53.1
"15/2/1989",53.63
"15/5/1989",53.7
"15/8/1989",54.64
"15/11/1989",53.74
"15/2/1990",54.41
"15/5/1990",53.15
"15/8/1990",52.58
"15/11/1990",51.08
"15/2/1991",49.33
"15/5/1991",49.26
"15/8/1991",49.42
"15/11/1991",49.51
"15/2/1992",50.03
"15/5/1992",51.99
"15/8/1992",52.79
"15/11/1992",54.44
"15/2/1993",54.74
"15/5/1993",55.97
"15/8/1993",56.96
"15/11/1993",59.48
"15/2/1994",60.25
"15/5/1994",61.7
"15/8/1994",62.32
"15/11/1994",64.04
"15/2/1995",65.49
"15/5/1995",65.25
"15/8/1995",66.12
"15/11/1995",67.5
"15/2/1996",69.2
"15/5/1996",71.45
"15/8/1996",73.1
"15/11/1996",74.32
"15/2/1997",75.76
"15/5/1997",77.4
"15/8/1997",80.38
"15/11/1997",81.09
"15/2/1998",83.53
"15/5/1998",86.04
"15/8/1998",87.26
"15/11/1998",89.8
"15/2/1999",91.19
"15/5/1999",93.43
"15/8/1999",95.21
"15/11/1999",95.71
"15/2/2000",98.34
"15/5/2000",100.6
"15/8/2000",100.44
"15/11/2000",100.62
"15/2/2001",99.95
"15/5/2001",97.71
"15/8/2001",96.6
"15/11/2001",93.92
"15/2/2002",92.41
"15/5/2002",92.08
"15/8/2002",91.91
"15/11/2002",91.59
"15/2/2003",91.5
"15/5/2003",93.84
"15/8/2003",96.89
"15/11/2003",98.21
"15/2/2004",98.15
"15/5/2004",101.18
"15/8/2004",103.44
"15/11/2004",105.29
"15/2/2005",106.33
"15/5/2005",108.39
"15/8/2005",110.48
"15/11/2005",111.12
"15/2/2006",113.25
"15/5/2006",112.71
"15/8/2006",111.35
"15/11/2006",109.33
"15/2/2007",108.11
