"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CHAIN-TYPE QUANTITY INDEX FOR NONRESIDENTIAL FIXED INVESTMENT"
"Code","USIVFNCQE"
"CURRENCY","U$"
"15/2/1950",7.69
"15/5/1950",8.38
"15/8/1950",9.13
"15/11/1950",9.12
"15/2/1951",8.88
"15/5/1951",9
"15/8/1951",9.11
"15/11/1951",8.92
"15/2/1952",8.95
"15/5/1952",9.05
"15/8/1952",8.23
"15/11/1952",8.98
"15/2/1953",9.47
"15/5/1953",9.53
"15/8/1953",9.75
"15/11/1953",9.63
"15/2/1954",9.34
"15/5/1954",9.25
"15/8/1954",9.5
"15/11/1954",9.47
"15/2/1955",9.64
"15/5/1955",10.25
"15/8/1955",10.77
"15/11/1955",11.07
"15/2/1956",10.86
"15/5/1956",11.03
"15/8/1956",11.12
"15/11/1956",11.09
"15/2/1957",11.17
"15/5/1957",11.14
"15/8/1957",11.38
"15/11/1957",11.08
"15/2/1958",10.28
"15/5/1958",9.84
"15/8/1958",9.69
"15/11/1958",10.05
"15/2/1959",10.37
"15/5/1959",10.68
"15/8/1959",11.02
"15/11/1959",10.98
"15/2/1960",11.4
"15/5/1960",11.57
"15/8/1960",11.29
"15/11/1960",11.23
"15/2/1961",10.99
"15/5/1961",11.22
"15/8/1961",11.31
"15/11/1961",11.69
"15/2/1962",11.96
"15/5/1962",12.32
"15/8/1962",12.47
"15/11/1962",12.39
"15/2/1963",12.37
"15/5/1963",12.76
"15/8/1963",13.15
"15/11/1963",13.58
"15/2/1964",13.92
"15/5/1964",14.27
"15/8/1964",14.76
"15/11/1964",15.07
"15/2/1965",16.08
"15/5/1965",16.68
"15/8/1965",17.31
"15/11/1965",18.05
"15/2/1966",18.84
"15/5/1966",19.13
"15/8/1966",19.36
"15/11/1966",19.31
"15/2/1967",18.9
"15/5/1967",18.84
"15/8/1967",18.74
"15/11/1967",19.13
"15/2/1968",19.73
"15/5/1968",19.39
"15/8/1968",19.64
"15/11/1968",20.22
"15/2/1969",20.82
"15/5/1969",21.05
"15/8/1969",21.62
"15/11/1969",21.5
"15/2/1970",21.37
"15/5/1970",21.25
"15/8/1970",21.36
"15/11/1970",20.56
"15/2/1971",20.75
"15/5/1971",21.05
"15/8/1971",21.14
"15/11/1971",21.6
"15/2/1972",22.32
"15/5/1972",22.69
"15/8/1972",23.04
"15/11/1972",24.24
"15/2/1973",25.38
"15/5/1973",26.41
"15/8/1973",26.86
"15/11/1973",27.07
"15/2/1974",27.04
"15/5/1974",26.98
"15/8/1974",26.67
"15/11/1974",25.93
"15/2/1975",24.33
"15/5/1975",23.7
"15/8/1975",23.92
"15/11/1975",24.14
"15/2/1976",24.58
"15/5/1976",24.88
"15/8/1976",25.42
"15/11/1976",25.92
"15/2/1977",26.93
"15/5/1977",27.71
"15/8/1977",28.29
"15/11/1977",29.25
"15/2/1978",29.53
"15/5/1978",32.03
"15/8/1978",33.17
"15/11/1978",34.24
"15/2/1979",35.01
"15/5/1979",34.9
"15/8/1979",35.98
"15/11/1979",36.07
"15/2/1980",36.46
"15/5/1980",34.61
"15/8/1980",34.87
"15/11/1980",35.6
"15/2/1981",36.18
"15/5/1981",36.9
"15/8/1981",37.8
"15/11/1981",38.71
"15/2/1982",37.78
"15/5/1982",36.44
"15/8/1982",35.21
"15/11/1982",34.5
"15/2/1983",33.86
"15/5/1983",34.27
"15/8/1983",35.81
"15/11/1983",38.13
"15/2/1984",39.37
"15/5/1984",41.33
"15/8/1984",42.7
"15/11/1984",43.74
"15/2/1985",44.24
"15/5/1985",44.87
"15/8/1985",44.19
"15/11/1985",44.95
"15/2/1986",44.33
"15/5/1986",43.22
"15/8/1986",42.58
"15/11/1986",43.02
"15/2/1987",41.84
"15/5/1987",42.84
"15/8/1987",44.22
"15/11/1987",44.13
"15/2/1988",44.46
"15/5/1988",45.56
"15/8/1988",45.79
"15/11/1988",46.27
"15/2/1989",47.06
"15/5/1989",47.73
"15/8/1989",49.1
"15/11/1989",48.38
"15/2/1990",49.02
"15/5/1990",48.17
"15/8/1990",48.48
"15/11/1990",47.55
"15/2/1991",46.32
"15/5/1991",45.88
"15/8/1991",45.44
"15/11/1991",45.2
"15/2/1992",45
"15/5/1992",46.79
"15/8/1992",47.74
"15/11/1992",49.18
"15/2/1993",49.48
"15/5/1993",50.8
"15/8/1993",51.36
"15/11/1993",53.51
"15/2/1994",54.05
"15/5/1994",55.13
"15/8/1994",56.17
"15/11/1994",58.65
"15/2/1995",61.05
"15/5/1995",61.47
"15/8/1995",61.89
"15/11/1995",63.14
"15/2/1996",64.7
"15/5/1996",66.56
"15/8/1996",68.77
"15/11/1996",70.62
"15/2/1997",72.41
"15/5/1997",74.21
"15/8/1997",78.01
"15/11/1997",78.65
"15/2/1998",81.3
"15/5/1998",83.8
"15/8/1998",84.61
"15/11/1998",87.22
"15/2/1999",88.79
"15/5/1999",91.5
"15/8/1999",93.7
"15/11/1999",93.93
"15/2/2000",97.13
"15/5/2000",100.53
"15/8/2000",101.07
"15/11/2000",101.28
"15/2/2001",100.19
"15/5/2001",96.6
"15/8/2001",94.91
"15/11/2001",91.57
"15/2/2002",88.49
"15/5/2002",87.12
"15/8/2002",86.69
"15/11/2002",85.58
"15/2/2003",85.02
"15/5/2003",87.21
"15/8/2003",89.18
"15/11/2003",89.81
"15/2/2004",89.21
"15/5/2004",91.51
"15/8/2004",94.21
"15/11/2004",96.56
"15/2/2005",97.36
"15/5/2005",98.55
"15/8/2005",100.6
"15/11/2005",101.46
"15/2/2006",104.68
"15/5/2006",105.77
"15/8/2006",107.09
"15/11/2006",106.71
"15/2/2007",107.28
