"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CHAIN-TYPE QUANTITY INDEX FOR GROSS PRIVATE DOM.INVESTMENT"
"Code","USIVP.CQE"
"CURRENCY","U$"
"15/2/1950",11.19
"15/5/1950",12.42
"15/8/1950",13.53
"15/11/1950",15.34
"15/2/1951",13.71
"15/5/1951",14.06
"15/8/1951",12.98
"15/11/1951",11.88
"15/2/1952",12.15
"15/5/1952",11.14
"15/8/1952",11.73
"15/11/1952",12.57
"15/2/1953",12.82
"15/5/1953",12.86
"15/8/1953",12.56
"15/11/1953",11.58
"15/2/1954",11.48
"15/5/1954",11.44
"15/8/1954",12.02
"15/11/1954",12.57
"15/2/1955",13.92
"15/5/1955",14.8
"15/8/1955",15.01
"15/11/1955",15.33
"15/2/1956",14.81
"15/5/1956",14.64
"15/8/1956",14.48
"15/11/1956",14.32
"15/2/1957",14.08
"15/5/1957",14.06
"15/8/1957",14.4
"15/11/1957",13.18
"15/2/1958",12.21
"15/5/1958",11.91
"15/8/1958",12.9
"15/11/1958",14.09
"15/2/1959",14.87
"15/5/1959",16.12
"15/8/1959",14.99
"15/11/1959",15.49
"15/2/1960",17.2
"15/5/1960",15.44
"15/8/1960",15.35
"15/11/1960",13.46
"15/2/1961",13.79
"15/5/1961",14.83
"15/8/1961",16.08
"15/11/1961",16.35
"15/2/1962",17.32
"15/5/1962",17.15
"15/8/1962",17.45
"15/11/1962",16.86
"15/2/1963",17.8
"15/5/1963",18.06
"15/8/1963",18.65
"15/11/1963",18.89
"15/2/1964",19.66
"15/5/1964",19.57
"15/8/1964",20.03
"15/11/1964",20.19
"15/2/1965",22.23
"15/5/1965",22.22
"15/8/1965",23.02
"15/11/1965",23.13
"15/2/1966",25.08
"15/5/1966",24.62
"15/8/1966",24.38
"15/11/1966",24.5
"15/2/1967",23.82
"15/5/1967",22.81
"15/8/1967",23.47
"15/11/1967",23.97
"15/2/1968",24.5
"15/5/1968",25.49
"15/8/1968",24.66
"15/11/1968",24.91
"15/2/1969",26.55
"15/5/1969",26.34
"15/8/1969",26.95
"15/11/1969",25.51
"15/2/1970",24.7
"15/5/1970",24.79
"15/8/1970",25.21
"15/11/1970",23.74
"15/2/1971",26.83
"15/5/1971",27.65
"15/8/1971",28.02
"15/11/1971",27.16
"15/2/1972",29.07
"15/5/1972",30.85
"15/8/1972",31.28
"15/11/1972",31.43
"15/2/1973",33.44
"15/5/1973",35
"15/8/1973",33.63
"15/11/1973",34.93
"15/2/1974",32.67
"15/5/1974",32.54
"15/8/1974",30.72
"15/11/1974",30.99
"15/2/1975",25.57
"15/5/1975",24.65
"15/8/1975",26.73
"15/11/1975",27.5
"15/2/1976",30.33
"15/5/1976",31.65
"15/8/1976",31.69
"15/11/1976",31.87
"15/2/1977",33.47
"15/5/1977",36.04
"15/8/1977",38.02
"15/11/1977",36.99
"15/2/1978",37.69
"15/5/1978",40.29
"15/8/1978",41.52
"15/11/1978",42.44
"15/2/1979",42.47
"15/5/1979",42.36
"15/8/1979",41.52
"15/11/1979",40.75
"15/2/1980",40.43
"15/5/1980",36.8
"15/8/1980",34.01
"15/11/1980",37.49
"15/2/1981",41.26
"15/5/1981",39.31
"15/8/1981",41.76
"15/11/1981",40.13
"15/2/1982",35.94
"15/5/1982",35.9
"15/8/1982",35.48
"15/11/1982",32.36
"15/2/1983",33.5
"15/5/1983",36.75
"15/8/1983",39.19
"15/11/1983",43.25
"15/2/1984",47.83
"15/5/1984",49.44
"15/8/1984",50.61
"15/11/1984",49.81
"15/2/1985",48.12
"15/5/1985",48.97
"15/8/1985",48.43
"15/11/1985",50.33
"15/2/1986",50.22
"15/5/1986",49.1
"15/8/1986",47.56
"15/11/1986",47.63
"15/2/1987",49.1
"15/5/1987",49.16
"15/8/1987",49.21
"15/11/1987",53.05
"15/2/1988",50.06
"15/5/1988",51.28
"15/8/1988",51.61
"15/11/1988",52.29
"15/2/1989",54.3
"15/5/1989",53.66
"15/8/1989",53.03
"15/11/1989",52.48
"15/2/1990",53.01
"15/5/1990",53.02
"15/8/1990",51.77
"15/11/1990",48.51
"15/2/1991",46.52
"15/5/1991",46.3
"15/8/1991",47.45
"15/11/1991",49.25
"15/2/1992",48.16
"15/5/1992",51.32
"15/8/1992",51.87
"15/11/1992",53.54
"15/2/1993",54.76
"15/5/1993",55.19
"15/8/1993",55.19
"15/11/1993",58.04
"15/2/1994",60.54
"15/5/1994",64.07
"15/8/1994",62.95
"15/11/1994",65.87
"15/2/1995",66.53
"15/5/1995",64.75
"15/8/1995",64.14
"15/11/1995",65.94
"15/2/1996",66.86
"15/5/1996",70.3
"15/8/1996",73.8
"15/11/1996",73.53
"15/2/1997",75.08
"15/5/1997",80.07
"15/8/1997",81.68
"15/11/1997",83.02
"15/2/1998",87.35
"15/5/1998",85.96
"15/8/1998",87.92
"15/11/1998",90.07
"15/2/1999",92.58
"15/5/1999",92.65
"15/8/1999",94.92
"15/11/1999",98.44
"15/2/2000",96.69
"15/5/2000",103.06
"15/8/2000",100.41
"15/11/2000",99.84
"15/2/2001",96.25
"15/5/2001",94.35
"15/8/2001",91.77
"15/11/2001",86.05
"15/2/2002",88.84
"15/5/2002",89.26
"15/8/2002",90.52
"15/11/2002",90.29
"15/2/2003",89.99
"15/5/2003",90.72
"15/8/2003",94.48
"15/11/2003",96.6
"15/2/2004",97.11
"15/5/2004",101.78
"15/8/2004",103.75
"15/11/2004",105.38
"15/2/2005",106.75
"15/5/2005",105.69
"15/8/2005",107.48
"15/11/2005",110.91
"15/2/2006",112.1
"15/5/2006",112.27
"15/8/2006",111.11
"15/11/2006",106.96
"15/2/2007",104.69
