"Start","15/2/1950"
"End","15/2/2005"
"Frequency","D"
"Name","US GDPI - NONRESIDENTIAL FIXED INVESTMENT CURN"
"Code","USNRSINVA"
"CURRENCY","U$"
"15/2/1950",5.7
"15/5/1950",6.7
"15/8/1950",7.3
"15/11/1950",8.1
"15/2/1951",7.2
"15/5/1951",8.1
"15/8/1951",8
"15/11/1951",8.5
"15/2/1952",7.6
"15/5/1952",8.3
"15/8/1952",7.4
"15/11/1952",8.6
"15/2/1953",8
"15/5/1953",9.1
"15/8/1953",8.8
"15/11/1953",9.2
"15/2/1954",8.1
"15/5/1954",9.1
"15/8/1954",8.6
"15/11/1954",8.9
"15/2/1955",8.3
"15/5/1955",9.8
"15/8/1955",10
"15/11/1955",11
"15/2/1956",10
"15/5/1956",11.3
"15/8/1956",11.2
"15/11/1956",12.1
"15/2/1957",10.8
"15/5/1957",12.2
"15/8/1957",12
"15/11/1957",12.5
"15/2/1958",10.1
"15/5/1958",10.8
"15/8/1958",10.4
"15/11/1958",11.2
"15/2/1959",10.9
"15/5/1959",12
"15/8/1959",11.9
"15/11/1959",11.8
"15/2/1960",12
"15/5/1960",13
"15/8/1960",12.4
"15/11/1960",12
"15/2/1961",11.4
"15/5/1961",12.6
"15/8/1961",12.3
"15/11/1961",12.6
"15/2/1962",12.7
"15/5/1962",13.6
"15/8/1962",13.3
"15/11/1962",13.4
"15/2/1963",13.1
"15/5/1963",14.2
"15/8/1963",14.2
"15/11/1963",14.5
"15/2/1964",14.7
"15/5/1964",16.1
"15/8/1964",16
"15/11/1964",16.2
"15/2/1965",17.4
"15/5/1965",18.9
"15/8/1965",19
"15/11/1965",19.5
"15/2/1966",20
"15/5/1966",21.8
"15/8/1966",21.6
"15/11/1966",22
"15/2/1967",20.5
"15/5/1967",21.9
"15/8/1967",21.7
"15/11/1967",22.3
"15/2/1968",21.1
"15/5/1968",23.4
"15/8/1968",23.2
"15/11/1968",25.8
"15/2/1969",23.6
"15/5/1969",26.4
"15/8/1969",26.4
"15/11/1969",28.3
"15/2/1970",25.3
"15/5/1970",28
"15/8/1970",27.3
"15/11/1970",28.4
"15/2/1971",25.7
"15/5/1971",29
"15/8/1971",28.4
"15/11/1971",31.1
"15/2/1972",30
"15/5/1972",32.9
"15/8/1972",31.4
"15/11/1972",34.5
"15/2/1973",34.2
"15/5/1973",39.3
"15/8/1973",38.6
"15/11/1973",41.1
"15/2/1974",39.5
"15/5/1974",43.5
"15/8/1974",42.1
"15/11/1974",44.4
"15/2/1975",41.3
"15/5/1975",44.2
"15/8/1975",42.7
"15/11/1975",45.5
"15/2/1976",45
"15/5/1976",48.6
"15/8/1976",47.8
"15/11/1976",51
"15/2/1977",52.2
"15/5/1977",57.9
"15/8/1977",56.3
"15/11/1977",62.3
"15/2/1978",60.5
"15/5/1978",71.4
"15/8/1978",71.1
"15/11/1978",77.6
"15/2/1979",77.2
"15/5/1979",83.6
"15/8/1979",83.6
"15/11/1979",89.5
"15/2/1980",88.3
"15/5/1980",90.3
"15/8/1980",88.6
"15/11/1980",95.2
"15/2/1981",95.3
"15/5/1981",104.1
"15/8/1981",106.2
"15/11/1981",114.5
"15/2/1982",106.9
"15/5/1982",110
"15/8/1982",103.9
"15/11/1982",105.6
"15/2/1983",96.2
"15/5/1983",102.7
"15/8/1983",103.9
"15/11/1983",114.4
"15/2/1984",110.1
"15/5/1984",123.2
"15/8/1984",123.6
"15/11/1984",132.8
"15/2/1985",123.7
"15/5/1985",134.2
"15/8/1985",130.2
"15/11/1985",138.1
"15/2/1986",126.9
"15/5/1986",133
"15/8/1986",127.7
"15/11/1986",132.2
"15/2/1987",120.5
"15/5/1987",132
"15/8/1987",133.3
"15/11/1987",138.3
"15/2/1988",131
"15/5/1988",143.9
"15/8/1988",141.5
"15/11/1988",147.5
"15/2/1989",141.3
"15/5/1989",154.3
"15/8/1989",155.3
"15/11/1989",156.8
"15/2/1990",149.3
"15/5/1990",157.9
"15/8/1990",156.9
"15/11/1990",158.4
"15/2/1991",144.4
"15/5/1991",154.3
"15/8/1991",148.3
"15/11/1991",151.1
"15/2/1992",141.2
"15/5/1992",156.7
"15/8/1992",152.8
"15/11/1992",161.4
"15/2/1993",154.6
"15/5/1993",169.5
"15/8/1993",165.7
"15/11/1993",176.9
"15/2/1994",169.5
"15/5/1994",185.2
"15/8/1994",182.4
"15/11/1994",194.3
"15/2/1995",190.6
"15/5/1995",207.2
"15/8/1995",201.4
"15/11/1995",210.9
"15/2/1996",202.2
"15/5/1996",220.8
"15/8/1996",220.7
"15/11/1996",231.7
"15/2/1997",221.7
"15/5/1997",244.9
"15/8/1997",250.2
"15/11/1997",251.8
"15/2/1998",245
"15/5/1998",269.8
"15/8/1998",264.6
"15/11/1998",273.1
"15/2/1999",265.6
"15/5/1999",289.3
"15/8/1999",288
"15/11/1999",291
"15/2/2000",287.8
"15/5/2000",315.4
"15/8/2000",312.6
"15/11/2000",316.2
"15/2/2001",297
"15/5/2001",303.9
"15/8/2001",291.1
"15/11/2001",284.8
"15/2/2002",260.1
"15/5/2002",273.3
"15/8/2002",266.2
"15/11/2002",266.7
"15/2/2003",252.6
"15/5/2003",271.3
"15/8/2003",274.3
"15/11/2003",279.1
"15/2/2004",269.4
"15/5/2004",288
"15/8/2004",293.5
"15/11/2004",304.5
"15/2/2005",295
