"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US NONRESIDENTIAL PRIVATE FIXED INVESTMENT (AR) CONA"
"Code","USNRSINVD"
"CURRENCY","U$"
"15/2/1950",94.8
"15/5/1950",103.2
"15/8/1950",112.5
"15/11/1950",112.3
"15/2/1951",109.4
"15/5/1951",110.9
"15/8/1951",112.2
"15/11/1951",109.9
"15/2/1952",110.3
"15/5/1952",111.5
"15/8/1952",101.4
"15/11/1952",110.6
"15/2/1953",116.7
"15/5/1953",117.5
"15/8/1953",120.1
"15/11/1953",118.7
"15/2/1954",115.1
"15/5/1954",113.9
"15/8/1954",117
"15/11/1954",116.7
"15/2/1955",118.8
"15/5/1955",126.3
"15/8/1955",132.7
"15/11/1955",136.3
"15/2/1956",133.8
"15/5/1956",135.9
"15/8/1956",137
"15/11/1956",136.7
"15/2/1957",137.6
"15/5/1957",137.3
"15/8/1957",140.2
"15/11/1957",136.5
"15/2/1958",126.7
"15/5/1958",121.2
"15/8/1958",119.4
"15/11/1958",123.8
"15/2/1959",127.7
"15/5/1959",131.6
"15/8/1959",135.8
"15/11/1959",135.2
"15/2/1960",140.4
"15/5/1960",142.6
"15/8/1960",139.1
"15/11/1960",138.3
"15/2/1961",135.4
"15/5/1961",138.2
"15/8/1961",139.3
"15/11/1961",144
"15/2/1962",147.3
"15/5/1962",151.7
"15/8/1962",153.7
"15/11/1962",152.6
"15/2/1963",152.4
"15/5/1963",157.3
"15/8/1963",162
"15/11/1963",167.3
"15/2/1964",171.5
"15/5/1964",175.9
"15/8/1964",181.8
"15/11/1964",185.6
"15/2/1965",198.1
"15/5/1965",205.6
"15/8/1965",213.3
"15/11/1965",222.4
"15/2/1966",232.1
"15/5/1966",235.7
"15/8/1966",238.5
"15/11/1966",237.9
"15/2/1967",232.9
"15/5/1967",232.1
"15/8/1967",230.9
"15/11/1967",235.6
"15/2/1968",243.1
"15/5/1968",238.9
"15/8/1968",242
"15/11/1968",249.2
"15/2/1969",256.5
"15/5/1969",259.3
"15/8/1969",266.4
"15/11/1969",264.8
"15/2/1970",263.2
"15/5/1970",261.8
"15/8/1970",263.2
"15/11/1970",253.3
"15/2/1971",255.7
"15/5/1971",259.4
"15/8/1971",260.4
"15/11/1971",266.1
"15/2/1972",275
"15/5/1972",279.6
"15/8/1972",283.9
"15/11/1972",298.6
"15/2/1973",312.7
"15/5/1973",325.4
"15/8/1973",330.9
"15/11/1973",333.5
"15/2/1974",333.1
"15/5/1974",332.4
"15/8/1974",328.5
"15/11/1974",319.4
"15/2/1975",299.8
"15/5/1975",292
"15/8/1975",294.7
"15/11/1975",297.4
"15/2/1976",302.9
"15/5/1976",306.5
"15/8/1976",313.2
"15/11/1976",319.4
"15/2/1977",331.8
"15/5/1977",341.3
"15/8/1977",348.6
"15/11/1977",360.4
"15/2/1978",363.9
"15/5/1978",394.6
"15/8/1978",408.6
"15/11/1978",421.9
"15/2/1979",431.3
"15/5/1979",429.9
"15/8/1979",443.3
"15/11/1979",444.5
"15/2/1980",449.3
"15/5/1980",426.5
"15/8/1980",429.6
"15/11/1980",438.7
"15/2/1981",445.7
"15/5/1981",454.7
"15/8/1981",465.7
"15/11/1981",477
"15/2/1982",465.5
"15/5/1982",448.9
"15/8/1982",433.8
"15/11/1982",425
"15/2/1983",417.2
"15/5/1983",422.2
"15/8/1983",441.2
"15/11/1983",469.8
"15/2/1984",485.1
"15/5/1984",509.3
"15/8/1984",526.1
"15/11/1984",538.9
"15/2/1985",545.1
"15/5/1985",552.9
"15/8/1985",544.4
"15/11/1985",553.8
"15/2/1986",546.2
"15/5/1986",532.5
"15/8/1986",524.7
"15/11/1986",530
"15/2/1987",515.5
"15/5/1987",527.9
"15/8/1987",544.9
"15/11/1987",543.7
"15/2/1988",547.8
"15/5/1988",561.3
"15/8/1988",564.2
"15/11/1988",570.1
"15/2/1989",579.8
"15/5/1989",588
"15/8/1989",604.9
"15/11/1989",596
"15/2/1990",603.9
"15/5/1990",593.5
"15/8/1990",597.2
"15/11/1990",585.8
"15/2/1991",570.7
"15/5/1991",565.3
"15/8/1991",559.9
"15/11/1991",556.9
"15/2/1992",554.5
"15/5/1992",576.5
"15/8/1992",588.2
"15/11/1992",606
"15/2/1993",609.6
"15/5/1993",625.9
"15/8/1993",632.8
"15/11/1993",659.3
"15/2/1994",665.9
"15/5/1994",679.3
"15/8/1994",692
"15/11/1994",722.6
"15/2/1995",752.1
"15/5/1995",757.4
"15/8/1995",762.5
"15/11/1995",777.9
"15/2/1996",797.1
"15/5/1996",820
"15/8/1996",847.3
"15/11/1996",870.1
"15/2/1997",892.2
"15/5/1997",914.3
"15/8/1997",961.1
"15/11/1997",969
"15/2/1998",1001.6
"15/5/1998",1032.5
"15/8/1998",1042.4
"15/11/1998",1074.7
"15/2/1999",1094
"15/5/1999",1127.3
"15/8/1999",1154.4
"15/11/1999",1157.3
"15/2/2000",1196.7
"15/5/2000",1238.6
"15/8/2000",1245.2
"15/11/2000",1247.9
"15/2/2001",1234.4
"15/5/2001",1190.2
"15/8/2001",1169.3
"15/11/2001",1128.2
"15/2/2002",1090.3
"15/5/2002",1073.3
"15/8/2002",1068
"15/11/2002",1054.5
"15/2/2003",1047.5
"15/5/2003",1074.5
"15/8/2003",1098.8
"15/11/2003",1106.5
"15/2/2004",1099.1
"15/5/2004",1127.5
"15/8/2004",1160.7
"15/11/2004",1189.7
"15/2/2005",1199.5
"15/5/2005",1214.1
"15/8/2005",1239.5
"15/11/2005",1250
"15/2/2006",1289.7
"15/5/2006",1303.2
"15/8/2006",1319.4
"15/11/2006",1314.8
"15/2/2007",1321.7
