"Start","15/2/1970"
"End","15/2/2008"
"Frequency","D"
"Name","US CAPITAL TAX ANDTRANSFER RECEIPTS (AR) CURA"
"Code","USOCFCAXB"
"CURRENCY","U$"
"15/2/1970",4800
"15/5/1970",4800
"15/8/1970",4700
"15/11/1970",4800
"15/2/1971",5000
"15/5/1971",5000
"15/8/1971",5500
"15/11/1971",7700
"15/2/1972",7700
"15/5/1972",6000
"15/8/1972",6400
"15/11/1972",7000
"15/2/1973",7300
"15/5/1973",6100
"15/8/1973",6300
"15/11/1973",6700
"15/2/1974",6700
"15/5/1974",6400
"15/8/1974",6200
"15/11/1974",5900
"15/2/1975",5900
"15/5/1975",6500
"15/8/1975",6700
"15/11/1975",6700
"15/2/1976",6800
"15/5/1976",7100
"15/8/1976",7200
"15/11/1976",7900
"15/2/1977",14200
"15/5/1977",7900
"15/8/1977",7700
"15/11/1977",7400
"15/2/1978",7200
"15/5/1978",7100
"15/8/1978",7200
"15/11/1978",7300
"15/2/1979",7400
"15/5/1979",7300
"15/8/1979",7500
"15/11/1979",7900
"15/2/1980",8200
"15/5/1980",8700
"15/8/1980",9300
"15/11/1980",8900
"15/2/1981",8700
"15/5/1981",9100
"15/8/1981",9500
"15/11/1981",9800
"15/2/1982",11500
"15/5/1982",10300
"15/8/1982",10000
"15/11/1982",8600
"15/2/1983",8300
"15/5/1983",8400
"15/8/1983",8900
"15/11/1983",7600
"15/2/1984",8700
"15/5/1984",8200
"15/8/1984",8200
"15/11/1984",8300
"15/2/1985",8900
"15/5/1985",8600
"15/8/1985",9400
"15/11/1985",8900
"15/2/1986",9500
"15/5/1986",10000
"15/8/1986",10500
"15/11/1986",10100
"15/2/1987",10700
"15/5/1987",10600
"15/8/1987",10900
"15/11/1987",10100
"15/2/1988",10600
"15/5/1988",10400
"15/8/1988",11700
"15/11/1988",11800
"15/2/1989",11500
"15/5/1989",12600
"15/8/1989",12300
"15/11/1989",13300
"15/2/1990",13600
"15/5/1990",18700
"15/8/1990",15600
"15/11/1990",15100
"15/2/1991",15500
"15/5/1991",15000
"15/8/1991",16500
"15/11/1991",15400
"15/2/1992",15700
"15/5/1992",15000
"15/8/1992",16000
"15/11/1992",16400
"15/2/1993",16500
"15/5/1993",17300
"15/8/1993",17600
"15/11/1993",19100
"15/2/1994",20400
"15/5/1994",21300
"15/8/1994",19600
"15/11/1994",19600
"15/2/1995",19300
"15/5/1995",19100
"15/8/1995",20600
"15/11/1995",21200
"15/2/1996",21600
"15/5/1996",23000
"15/8/1996",24100
"15/11/1996",23800
"15/2/1997",25700
"15/5/1997",26300
"15/8/1997",27500
"15/11/1997",28400
"15/2/1998",30700
"15/5/1998",32300
"15/8/1998",32500
"15/11/1998",34200
"15/2/1999",35200
"15/5/1999",36500
"15/8/1999",35800
"15/11/1999",39300
"15/2/2000",36000
"15/5/2000",35300
"15/8/2000",35400
"15/11/2000",35800
"15/2/2001",36200
"15/5/2001",38400
"15/8/2001",34300
"15/11/2001",34100
"15/2/2002",34900
"15/5/2002",32600
"15/8/2002",33800
"15/11/2002",29700
"15/2/2003",29000
"15/5/2003",26700
"15/8/2003",26800
"15/11/2003",29800
"15/2/2004",29000
"15/5/2004",30000
"15/8/2004",32400
"15/11/2004",29700
"15/2/2005",29200
"15/5/2005",30100
"15/8/2005",30100
"15/11/2005",31400
"15/2/2006",33700
"15/5/2006",32500
"15/8/2006",31100
"15/11/2006",31600
"15/2/2007",26800
"15/5/2007",30775.3
"15/8/2007",31094.14
"15/11/2007",31444.46
"15/2/2008",31814.81
