"Start","15/2/1970"
"End","15/2/2008"
"Frequency","D"
"Name","US CORE INFLATION INDEX SADJ"
"Code","USOCFCORE"
"CURRENCY",
"15/2/1970",26.82
"15/5/1970",27.09
"15/8/1970",27.39
"15/11/1970",27.78
"15/2/1971",28.12
"15/5/1971",28.45
"15/8/1971",28.71
"15/11/1971",28.87
"15/2/1972",29.16
"15/5/1972",29.36
"15/8/1972",29.58
"15/11/1972",29.76
"15/2/1973",29.96
"15/5/1973",30.35
"15/8/1973",30.73
"15/11/1973",31.09
"15/2/1974",31.61
"15/5/1974",32.36
"15/8/1974",33.27
"15/11/1974",34.07
"15/2/1975",34.71
"15/5/1975",35.27
"15/8/1975",35.8
"15/11/1975",36.39
"15/2/1976",36.94
"15/5/1976",37.38
"15/8/1976",37.97
"15/11/1976",38.57
"15/2/1977",39.2
"15/5/1977",39.78
"15/8/1977",40.44
"15/11/1977",41.04
"15/2/1978",41.7
"15/5/1978",42.4
"15/8/1978",43.09
"15/11/1978",43.84
"15/2/1979",44.39
"15/5/1979",45.33
"15/8/1979",46.14
"15/11/1979",47.08
"15/2/1980",48.22
"15/5/1980",49.27
"15/8/1980",50.37
"15/11/1980",51.61
"15/2/1981",52.73
"15/5/1981",53.71
"15/8/1981",54.71
"15/11/1981",55.7
"15/2/1982",56.53
"15/5/1982",57.3
"15/8/1982",58.22
"15/11/1982",59.06
"15/2/1983",59.88
"15/5/1983",60.33
"15/8/1983",61.3
"15/11/1983",61.78
"15/2/1984",62.39
"15/5/1984",63.13
"15/8/1984",63.72
"15/11/1984",64.18
"15/2/1985",64.98
"15/5/1985",65.49
"15/8/1985",66.05
"15/11/1985",66.59
"15/2/1986",67.32
"15/5/1986",67.9
"15/8/1986",68.55
"15/11/1986",69.21
"15/2/1987",69.79
"15/5/1987",70.39
"15/8/1987",71.09
"15/11/1987",71.81
"15/2/1988",72.57
"15/5/1988",73.46
"15/8/1988",74.26
"15/11/1988",75.06
"15/2/1989",75.92
"15/5/1989",76.56
"15/8/1989",77.16
"15/11/1989",77.89
"15/2/1990",78.81
"15/5/1990",79.85
"15/8/1990",80.65
"15/11/1990",81.31
"15/2/1991",82.24
"15/5/1991",82.87
"15/8/1991",83.65
"15/11/1991",84.41
"15/2/1992",85.24
"15/5/1992",85.84
"15/8/1992",86.43
"15/11/1992",87.01
"15/2/1993",87.53
"15/5/1993",88.19
"15/8/1993",88.6
"15/11/1993",89.01
"15/2/1994",89.46
"15/5/1994",90.06
"15/8/1994",90.77
"15/11/1994",91.2
"15/2/1995",91.67
"15/5/1995",92.18
"15/8/1995",92.64
"15/11/1995",93.07
"15/2/1996",93.51
"15/5/1996",93.91
"15/8/1996",94.29
"15/11/1996",94.79
"15/2/1997",95.15
"15/5/1997",95.58
"15/8/1997",95.78
"15/11/1997",96.07
"15/2/1998",96.41
"15/5/1998",96.69
"15/8/1998",97.04
"15/11/1998",97.45
"15/2/1999",97.75
"15/5/1999",98.16
"15/8/1999",98.51
"15/11/1999",98.96
"15/2/2000",99.56
"15/5/2000",99.87
"15/8/2000",100.1
"15/11/2000",100.47
"15/2/2001",101.17
"15/5/2001",101.69
"15/8/2001",102.05
"15/11/2001",102.71
"15/2/2002",103.03
"15/5/2002",103.5
"15/8/2002",103.98
"15/11/2002",104.3
"15/2/2003",104.59
"15/5/2003",104.92
"15/8/2003",105.38
"15/11/2003",105.81
"15/2/2004",106.45
"15/5/2004",107.11
"15/8/2004",107.55
"15/11/2004",108.15
"15/2/2005",108.79
"15/5/2005",109.3
"15/8/2005",109.73
"15/11/2005",110.42
"15/2/2006",110.98
"15/5/2006",111.74
"15/8/2006",112.34
"15/11/2006",112.84
"15/2/2007",113.47
"15/5/2007",114.09
"15/8/2007",114.71
"15/11/2007",115.33
"15/2/2008",115.93
