"Start","15/2/1970"
"End","15/2/2008"
"Frequency","D"
"Name","US GDP (REAL) (AR)CONA"
"Code","USOCFGDPD"
"CURRENCY","U$"
"15/2/1970",3760000
"15/5/1970",3767100
"15/8/1970",3800500
"15/11/1970",3759800
"15/2/1971",3864100
"15/5/1971",3885900
"15/8/1971",3916700
"15/11/1971",3927900
"15/2/1972",3997700
"15/5/1972",4092100
"15/8/1972",4131100
"15/11/1972",4198700
"15/2/1973",4305300
"15/5/1973",4355100
"15/8/1973",4331900
"15/11/1973",4373300
"15/2/1974",4335400
"15/5/1974",4347900
"15/8/1974",4305800
"15/11/1974",4288900
"15/2/1975",4237600
"15/5/1975",4268600
"15/8/1975",4340900
"15/11/1975",4397800
"15/2/1976",4496800
"15/5/1976",4530300
"15/8/1976",4552000
"15/11/1976",4584600
"15/2/1977",4640000
"15/5/1977",4731100
"15/8/1977",4815800
"15/11/1977",4815300
"15/2/1978",4830800
"15/5/1978",5021200
"15/8/1978",5070700
"15/11/1978",5137400
"15/2/1979",5147400
"15/5/1979",5152300
"15/8/1979",5189400
"15/11/1979",5204700
"15/2/1980",5221300
"15/5/1980",5115900
"15/8/1980",5107400
"15/11/1980",5202100
"15/2/1981",5307500
"15/5/1981",5266100
"15/8/1981",5329800
"15/11/1981",5263400
"15/2/1982",5177100
"15/5/1982",5204900
"15/8/1982",5185200
"15/11/1982",5189800
"15/2/1983",5253800
"15/5/1983",5372300
"15/8/1983",5478400
"15/11/1983",5590500
"15/2/1984",5699800
"15/5/1984",5797900
"15/8/1984",5854300
"15/11/1984",5902400
"15/2/1985",5956900
"15/5/1985",6007800
"15/8/1985",6101700
"15/11/1985",6148600
"15/2/1986",6207400
"15/5/1986",6232000
"15/8/1986",6291700
"15/11/1986",6323400
"15/2/1987",6365000
"15/5/1987",6435000
"15/8/1987",6493400
"15/11/1987",6606800
"15/2/1988",6639100
"15/5/1988",6723500
"15/8/1988",6759400
"15/11/1988",6848600
"15/2/1989",6918100
"15/5/1989",6963500
"15/8/1989",7013100
"15/11/1989",7030900
"15/2/1990",7112100
"15/5/1990",7130300
"15/8/1990",7130800
"15/11/1990",7076900
"15/2/1991",7040800
"15/5/1991",7086500
"15/8/1991",7120700
"15/11/1991",7154100
"15/2/1992",7228200
"15/5/1992",7297900
"15/8/1992",7369500
"15/11/1992",7450700
"15/2/1993",7459700
"15/5/1993",7497500
"15/8/1993",7536000
"15/11/1993",7637400
"15/2/1994",7715100
"15/5/1994",7815700
"15/8/1994",7859500
"15/11/1994",7951600
"15/2/1995",7973700
"15/5/1995",7988000
"15/8/1995",8053100
"15/11/1995",8112000
"15/2/1996",8169200
"15/5/1996",8303100
"15/8/1996",8372700
"15/11/1996",8470600
"15/2/1997",8536100
"15/5/1997",8665800
"15/8/1997",8773700
"15/11/1997",8838400
"15/2/1998",8936200
"15/5/1998",8995300
"15/8/1998",9098900
"15/11/1998",9237100
"15/2/1999",9315500
"15/5/1999",9392600
"15/8/1999",9502200
"15/11/1999",9671100
"15/2/2000",9695600
"15/5/2000",9847900
"15/8/2000",9836600
"15/11/2000",9887700
"15/2/2001",9875600
"15/5/2001",9905900
"15/8/2001",9871100
"15/11/2001",9910000
"15/2/2002",9977300
"15/5/2002",10031600
"15/8/2002",10090700
"15/11/2002",10095800
"15/2/2003",10126000
"15/5/2003",10212700
"15/8/2003",10398700
"15/11/2003",10467000
"15/2/2004",10566300
"15/5/2004",10671500
"15/8/2004",10753300
"15/11/2004",10822900
"15/2/2005",10913800
"15/5/2005",11001800
"15/8/2005",11115100
"15/11/2005",11163800
"15/2/2006",11316400
"15/5/2006",11388100
"15/8/2006",11443500
"15/11/2006",11513000
"15/2/2007",11549100
"15/5/2007",11621480
"15/8/2007",11687380
"15/11/2007",11759260
"15/2/2008",11831600
