"Start","15/2/1970"
"End","15/2/2008"
"Frequency","D"
"Name","US HOURS WORKED PEREMPLOYEE IN TOTAL ECONOMY (AR) VOLA"
"Code","USOCFHRBO"
"CURRENCY",
"15/2/1970",1824.09
"15/5/1970",1815.82
"15/8/1970",1810.09
"15/11/1970",1806
"15/2/1971",1803.54
"15/5/1971",1802.28
"15/8/1971",1802.2
"15/11/1971",1803.98
"15/2/1972",1807.61
"15/5/1972",1809.56
"15/8/1972",1809.85
"15/11/1972",1808.99
"15/2/1973",1806.97
"15/5/1973",1804.2
"15/8/1973",1800.67
"15/11/1973",1796.16
"15/2/1974",1790.69
"15/5/1974",1785.1
"15/8/1974",1779.39
"15/11/1974",1772.83
"15/2/1975",1765.42
"15/5/1975",1760.67
"15/8/1975",1758.58
"15/11/1975",1759.33
"15/2/1976",1762.91
"15/5/1976",1764.74
"15/8/1976",1764.81
"15/11/1976",1763.54
"15/2/1977",1760.91
"15/5/1977",1759.1
"15/8/1977",1758.12
"15/11/1977",1757.87
"15/2/1978",1758.33
"15/5/1978",1757.97
"15/8/1978",1756.77
"15/11/1978",1754.93
"15/2/1979",1752.47
"15/5/1979",1749.72
"15/8/1979",1746.68
"15/11/1979",1743.14
"15/2/1980",1739.1
"15/5/1980",1735.46
"15/8/1980",1732.22
"15/11/1980",1729.21
"15/2/1981",1726.44
"15/5/1981",1723.99
"15/8/1981",1721.85
"15/11/1981",1719.72
"15/2/1982",1717.58
"15/5/1982",1717.28
"15/8/1982",1718.83
"15/11/1982",1722.3
"15/2/1983",1727.69
"15/5/1983",1732.7
"15/8/1983",1737.31
"15/11/1983",1742.3
"15/2/1984",1747.66
"15/5/1984",1751.13
"15/8/1984",1752.71
"15/11/1984",1752.49
"15/2/1985",1750.48
"15/5/1985",1748.35
"15/8/1985",1746.09
"15/11/1985",1743.08
"15/2/1986",1739.33
"15/5/1986",1736.89
"15/8/1986",1735.79
"15/11/1986",1735.99
"15/2/1987",1737.52
"15/5/1987",1738.33
"15/8/1987",1738.41
"15/11/1987",1737.74
"15/2/1988",1736.32
"15/5/1988",1736.37
"15/8/1988",1737.9
"15/11/1988",1741.4
"15/2/1989",1746.88
"15/5/1989",1749.11
"15/8/1989",1748.09
"15/11/1989",1743.93
"15/2/1990",1736.63
"15/5/1990",1730.74
"15/8/1990",1726.28
"15/11/1990",1722.35
"15/2/1991",1718.97
"15/5/1991",1716.83
"15/8/1991",1715.91
"15/11/1991",1716.3
"15/2/1992",1717.99
"15/5/1992",1719.84
"15/8/1992",1721.85
"15/11/1992",1724.32
"15/2/1993",1727.27
"15/5/1993",1729.92
"15/8/1993",1732.29
"15/11/1993",1734.52
"15/2/1994",1736.63
"15/5/1994",1738.4
"15/8/1994",1739.83
"15/11/1994",1741.14
"15/2/1995",1742.31
"15/5/1995",1742.31
"15/8/1995",1741.13
"15/11/1995",1738.26
"15/2/1996",1733.69
"15/5/1996",1731.59
"15/8/1996",1731.95
"15/11/1996",1734.77
"15/2/1997",1740.04
"15/5/1997",1743.7
"15/8/1997",1745.74
"15/11/1997",1746.53
"15/2/1998",1746.06
"15/5/1998",1746.25
"15/8/1998",1747.1
"15/11/1998",1748.59
"15/2/1999",1750.72
"15/5/1999",1751.66
"15/8/1999",1751.4
"15/11/1999",1750.23
"15/2/2000",1748.14
"15/5/2000",1745.3
"15/8/2000",1741.72
"15/11/2000",1736.85
"15/2/2001",1730.68
"15/5/2001",1726.34
"15/8/2001",1723.84
"15/11/2001",1723.14
"15/2/2002",1724.26
"15/5/2002",1724.19
"15/8/2002",1722.93
"15/11/2002",1720.61
"15/2/2003",1717.24
"15/5/2003",1715.01
"15/8/2003",1713.91
"15/11/2003",1713.84
"15/2/2004",1714.8
"15/5/2004",1715.24
"15/8/2004",1715.17
"15/11/2004",1714.79
"15/2/2005",1714.1
"15/5/2005",1713.4
"15/8/2005",1712.68
"15/11/2005",1711.82
"15/2/2006",1711.82
"15/5/2006",1711.82
"15/8/2006",1711.82
"15/11/2006",1711.82
"15/2/2007",1711.39
"15/5/2007",1710.96
"15/8/2007",1710.54
"15/11/2007",1710.11
"15/2/2008",1709.68
