"Start","15/2/1970"
"End","15/2/2008"
"Frequency","D"
"Name","US TREND OF HOURS WORKED PER EMPLOYEE IN TOTAL ECONOMY (AR) VOLA"
"Code","USOCFHRTO"
"CURRENCY",
"15/2/1970",1829.7
"15/5/1970",1826.52
"15/8/1970",1823.4
"15/11/1970",1820.36
"15/2/1971",1817.41
"15/5/1971",1814.55
"15/8/1971",1811.76
"15/11/1971",1809.05
"15/2/1972",1806.4
"15/5/1972",1803.78
"15/8/1972",1801.19
"15/11/1972",1798.61
"15/2/1973",1796.03
"15/5/1973",1793.44
"15/8/1973",1790.85
"15/11/1973",1788.26
"15/2/1974",1785.68
"15/5/1974",1783.12
"15/8/1974",1780.59
"15/11/1974",1778.11
"15/2/1975",1775.7
"15/5/1975",1773.36
"15/8/1975",1771.1
"15/11/1975",1768.92
"15/2/1976",1766.83
"15/5/1976",1764.81
"15/8/1976",1762.85
"15/11/1976",1760.95
"15/2/1977",1759.09
"15/5/1977",1757.27
"15/8/1977",1755.48
"15/11/1977",1753.71
"15/2/1978",1751.97
"15/5/1978",1750.24
"15/8/1978",1748.53
"15/11/1978",1746.84
"15/2/1979",1745.18
"15/5/1979",1743.56
"15/8/1979",1741.99
"15/11/1979",1740.49
"15/2/1980",1739.08
"15/5/1980",1737.77
"15/8/1980",1736.59
"15/11/1980",1735.54
"15/2/1981",1734.66
"15/5/1981",1733.95
"15/8/1981",1733.42
"15/11/1981",1733.08
"15/2/1982",1732.93
"15/5/1982",1732.96
"15/8/1982",1733.16
"15/11/1982",1733.52
"15/2/1983",1734.01
"15/5/1983",1734.59
"15/8/1983",1735.24
"15/11/1983",1735.92
"15/2/1984",1736.6
"15/5/1984",1737.25
"15/8/1984",1737.85
"15/11/1984",1738.38
"15/2/1985",1738.82
"15/5/1985",1739.16
"15/8/1985",1739.41
"15/11/1985",1739.57
"15/2/1986",1739.65
"15/5/1986",1739.64
"15/8/1986",1739.56
"15/11/1986",1739.42
"15/2/1987",1739.21
"15/5/1987",1738.95
"15/8/1987",1738.62
"15/11/1987",1738.24
"15/2/1988",1737.81
"15/5/1988",1737.32
"15/8/1988",1736.78
"15/11/1988",1736.19
"15/2/1989",1735.54
"15/5/1989",1734.85
"15/8/1989",1734.11
"15/11/1989",1733.35
"15/2/1990",1732.58
"15/5/1990",1731.83
"15/8/1990",1731.12
"15/11/1990",1730.48
"15/2/1991",1729.94
"15/5/1991",1729.5
"15/8/1991",1729.2
"15/11/1991",1729.04
"15/2/1992",1729.02
"15/5/1992",1729.14
"15/8/1992",1729.4
"15/11/1992",1729.78
"15/2/1993",1730.28
"15/5/1993",1730.87
"15/8/1993",1731.54
"15/11/1993",1732.27
"15/2/1994",1733.04
"15/5/1994",1733.84
"15/8/1994",1734.65
"15/11/1994",1735.46
"15/2/1995",1736.26
"15/5/1995",1737.05
"15/8/1995",1737.8
"15/11/1995",1738.53
"15/2/1996",1739.22
"15/5/1996",1739.89
"15/8/1996",1740.52
"15/11/1996",1741.1
"15/2/1997",1741.62
"15/5/1997",1742.08
"15/8/1997",1742.44
"15/11/1997",1742.71
"15/2/1998",1742.86
"15/5/1998",1742.89
"15/8/1998",1742.78
"15/11/1998",1742.53
"15/2/1999",1742.12
"15/5/1999",1741.56
"15/8/1999",1740.85
"15/11/1999",1739.98
"15/2/2000",1738.98
"15/5/2000",1737.84
"15/8/2000",1736.59
"15/11/2000",1735.26
"15/2/2001",1733.85
"15/5/2001",1732.4
"15/8/2001",1730.92
"15/11/2001",1729.44
"15/2/2002",1727.98
"15/5/2002",1726.53
"15/8/2002",1725.13
"15/11/2002",1723.77
"15/2/2003",1722.47
"15/5/2003",1721.23
"15/8/2003",1720.06
"15/11/2003",1718.97
"15/2/2004",1717.94
"15/5/2004",1717
"15/8/2004",1716.11
"15/11/2004",1715.3
"15/2/2005",1714.54
"15/5/2005",1713.84
"15/8/2005",1713.19
"15/11/2005",1712.59
"15/2/2006",1712.13
"15/5/2006",1711.72
"15/8/2006",1711.35
"15/11/2006",1711.01
"15/2/2007",1710.71
"15/5/2007",1710.44
"15/8/2007",1710.19
"15/11/2007",1709.97
"15/2/2008",1709.78
